cell_id,Bubo capensis,Bubo capensis dillonii/mackinderi,Bubo capensis capensis
847a419ffffffff,1.0,1.0,0.0
847a451ffffffff,1.0,1.0,0.0
847a453ffffffff,10.0,9.0,0.0
847a457ffffffff,2.0,0.0,0.0
847acc5ffffffff,1.0,0.0,0.0
84ada03ffffffff,2.0,0.0,0.0
84ada29ffffffff,2.0,0.0,0.0
84bc431ffffffff,3.0,0.0,0.0
84bc437ffffffff,4.0,0.0,3.0
84bc461ffffffff,1.0,0.0,0.0
84bc49dffffffff,6.0,0.0,3.0
84bc4ddffffffff,2.0,0.0,0.0
84bc549ffffffff,2.0,0.0,0.0
84bc595ffffffff,3.0,0.0,0.0
84bc5c9ffffffff,2.0,0.0,1.0
84bc5cdffffffff,1.0,0.0,0.0
84bc697ffffffff,9.0,0.0,0.0
84bc6b1ffffffff,1.0,0.0,1.0
84bcc37ffffffff,1.0,0.0,0.0
84bcd09ffffffff,2.0,0.0,0.0
84bcd1dffffffff,36.0,0.0,3.0
84bce2dffffffff,4.0,0.0,0.0
84bce61ffffffff,2.0,0.0,0.0
84bce63ffffffff,5.0,0.0,0.0
84bce95ffffffff,1.0,0.0,0.0
84bcf5bffffffff,2.0,0.0,0.0
