cell_id,Phaethon lepturus,Phaethon lepturus lepturus,Phaethon lepturus fulvus,Phaethon lepturus europae,Phaethon lepturus catesbyi,Phaethon lepturus dorotheae,Phaethon lepturus ascensionis
842a043ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
842a059ffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
842a101ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
842a141ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
842a323ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
842a4c1ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
842a4c9ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
842aad1ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
842ac21ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
842ac23ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
842ac69ffffffff,197.0,0.0,0.0,0.0,27.0,0.0,0.0
842ac6bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
842ac6dffffffff,41.0,0.0,0.0,0.0,0.0,0.0,0.0
842adc3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
842adc9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
842af11ffffffff,1.0,0.0,0.0,0.0,1.0,0.0,0.0
842af19ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
842af63ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
842af6bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
842b2e1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
842b89bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
842f5d1ffffffff,1.0,0.0,0.0,0.0,0.0,1.0,0.0
84351b5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8436d8dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8436da9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8436dadffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8441035ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8441315ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
844415dffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
844432bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8444849ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84448c1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84448c3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84448c9ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
84448cdffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84448d9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84448ddffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8444a15ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8444a1dffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8444a57ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8444a9bffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8444aa3ffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
8444ab5ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8444ab7ffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0
8444ab9ffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
