cell_id,Alaudala somalica,Alaudala somalica [somalica Group],Alaudala somalica athensis
83529bfffffffff,2.0,2.0,0.0
8352d3fffffffff,2.0,1.0,0.0
8352d9fffffffff,2.0,0.0,0.0
837a5afffffffff,7.0,5.0,0.0
837a61fffffffff,6.0,0.0,2.0
837a63fffffffff,5.0,0.0,3.0
837a68fffffffff,46.0,0.0,18.0
837a6dfffffffff,6.0,0.0,3.0
837a6efffffffff,33.0,0.0,11.0
837ac8fffffffff,1.0,0.0,0.0
837ae8fffffffff,91.0,13.0,0.0
837ae9fffffffff,1.0,1.0,0.0
837aedfffffffff,16.0,0.0,0.0
839692fffffffff,93.0,0.0,58.0
839693fffffffff,23.0,0.0,11.0
83969afffffffff,3.0,0.0,2.0
