cell_id,Gulosus aristotelis,Gulosus aristotelis aristotelis,Gulosus aristotelis desmarestii,Gulosus aristotelis riggenbachi
830130fffffffff,1.0,0.0,0.0,0.0
830755fffffffff,2.0,2.0,0.0,0.0
830758fffffffff,2.0,2.0,0.0,0.0
83075dfffffffff,8.0,0.0,0.0,0.0
83075efffffffff,2.0,0.0,0.0,0.0
830773fffffffff,1.0,1.0,0.0,0.0
830993fffffffff,6.0,0.0,0.0,0.0
830998fffffffff,3.0,0.0,0.0,0.0
830999fffffffff,3.0,0.0,0.0,0.0
831805fffffffff,7.0,3.0,0.0,0.0
83182cfffffffff,5.0,0.0,0.0,0.0
83182efffffffff,6.0,0.0,0.0,0.0
831846fffffffff,2.0,0.0,0.0,0.0
831849fffffffff,27.0,0.0,0.0,0.0
83184afffffffff,1.0,0.0,0.0,0.0
83184bfffffffff,6.0,0.0,0.0,0.0
83185bfffffffff,78.0,8.0,1.0,0.0
831862fffffffff,4.0,0.0,0.0,0.0
831870fffffffff,2.0,0.0,0.0,0.0
831876fffffffff,3.0,1.0,0.0,0.0
831901fffffffff,5.0,0.0,0.0,0.0
83190cfffffffff,2.0,0.0,0.0,0.0
831940fffffffff,1.0,0.0,0.0,0.0
831941fffffffff,8.0,4.0,0.0,0.0
831942fffffffff,7.0,2.0,0.0,0.0
831943fffffffff,21.0,0.0,0.0,0.0
831948fffffffff,1.0,0.0,0.0,0.0
83194afffffffff,1.0,0.0,0.0,0.0
83194cfffffffff,2.0,0.0,0.0,0.0
83194dfffffffff,7.0,1.0,0.0,0.0
83194efffffffff,5.0,1.0,0.0,0.0
831955fffffffff,2.0,0.0,0.0,0.0
831959fffffffff,7.0,2.0,0.0,0.0
83195cfffffffff,4.0,0.0,0.0,0.0
83195dfffffffff,3.0,0.0,0.0,0.0
831e12fffffffff,7.0,0.0,2.0,0.0
831e9afffffffff,1.0,0.0,0.0,0.0
831ea0fffffffff,1.0,0.0,0.0,0.0
831eb4fffffffff,2.0,0.0,0.0,0.0
831ec3fffffffff,1.0,0.0,1.0,0.0
831ec9fffffffff,3.0,0.0,0.0,0.0
831ecafffffffff,3.0,0.0,0.0,0.0
831ed1fffffffff,1.0,0.0,0.0,0.0
831ee9fffffffff,2.0,0.0,0.0,0.0
831eebfffffffff,3.0,0.0,0.0,0.0
831f21fffffffff,1.0,1.0,0.0,0.0
831f24fffffffff,1.0,0.0,0.0,0.0
831f2afffffffff,1.0,0.0,0.0,0.0
831f32fffffffff,2.0,0.0,0.0,0.0
831fa0fffffffff,2.0,0.0,0.0,0.0
831fa3fffffffff,4.0,0.0,0.0,0.0
831fa4fffffffff,2.0,0.0,0.0,0.0
831fb5fffffffff,2.0,0.0,0.0,0.0
832d19fffffffff,4.0,0.0,4.0,0.0
832da0fffffffff,2.0,0.0,0.0,0.0
832db0fffffffff,27.0,0.0,8.0,0.0
832db6fffffffff,2.0,0.0,0.0,0.0
833820fffffffff,2.0,0.0,0.0,0.0
83386afffffffff,1.0,0.0,1.0,0.0
833910fffffffff,42.0,0.0,0.0,0.0
833915fffffffff,7.0,5.0,0.0,0.0
833919fffffffff,45.0,0.0,12.0,0.0
83391afffffffff,10.0,0.0,6.0,0.0
83391bfffffffff,9.0,0.0,1.0,0.0
833920fffffffff,34.0,0.0,0.0,0.0
833922fffffffff,5.0,0.0,0.0,0.0
833925fffffffff,5.0,0.0,0.0,0.0
833926fffffffff,7.0,0.0,0.0,0.0
833931fffffffff,4.0,0.0,0.0,0.0
833933fffffffff,51.0,1.0,0.0,0.0
833942fffffffff,4.0,0.0,4.0,0.0
833943fffffffff,24.0,0.0,23.0,0.0
833944fffffffff,2.0,0.0,2.0,0.0
833950fffffffff,3.0,0.0,0.0,0.0
833951fffffffff,17.0,0.0,17.0,0.0
833955fffffffff,5.0,0.0,1.0,0.0
833956fffffffff,17.0,0.0,3.0,0.0
83395cfffffffff,55.0,0.0,51.0,0.0
833969fffffffff,2.0,0.0,0.0,0.0
833991fffffffff,2.0,0.0,0.0,2.0
833f4dfffffffff,5.0,0.0,5.0,0.0
