cell_id,Cypsiurus gracilis,Cypsiurus gracilis griveaudi,Cypsiurus gracilis gracilis
84a2049ffffffff,10.0,0.0,6.0
84a213dffffffff,1.0,0.0,0.0
84a2143ffffffff,302.0,0.0,133.0
84a2147ffffffff,9.0,0.0,6.0
84a2151ffffffff,1.0,0.0,1.0
84a215dffffffff,20.0,0.0,8.0
84a2165ffffffff,2.0,0.0,2.0
84a2169ffffffff,2.0,0.0,0.0
84a216bffffffff,2.0,0.0,2.0
84a2203ffffffff,2.0,0.0,0.0
84a2227ffffffff,47.0,0.0,20.0
84a2235ffffffff,2.0,0.0,2.0
84a2303ffffffff,1.0,0.0,0.0
84a2307ffffffff,2.0,0.0,0.0
84a2319ffffffff,5.0,0.0,3.0
84a231bffffffff,146.0,0.0,79.0
84a2335ffffffff,1.0,0.0,1.0
84a233dffffffff,3.0,0.0,1.0
84a2355ffffffff,1.0,0.0,1.0
84a2357ffffffff,22.0,0.0,9.0
84a2365ffffffff,2.0,0.0,0.0
84a2a49ffffffff,66.0,0.0,17.0
84a2a69ffffffff,4.0,0.0,3.0
84a2ae1ffffffff,11.0,0.0,6.0
84a2ae9ffffffff,3.0,0.0,2.0
84a2aedffffffff,26.0,0.0,13.0
84a3043ffffffff,9.0,0.0,0.0
84a3047ffffffff,10.0,5.0,0.0
84a304dffffffff,2.0,2.0,0.0
84a3083ffffffff,4.0,0.0,2.0
84a3087ffffffff,2.0,0.0,0.0
84a308bffffffff,6.0,0.0,3.0
84a3093ffffffff,6.0,0.0,2.0
84a3097ffffffff,1.0,0.0,0.0
84a30a5ffffffff,2.0,0.0,2.0
84a30c3ffffffff,11.0,0.0,0.0
84a30c7ffffffff,1.0,0.0,0.0
84a30cbffffffff,23.0,0.0,4.0
84a30d5ffffffff,2.0,0.0,0.0
84a30ddffffffff,26.0,0.0,3.0
84a30e7ffffffff,4.0,0.0,0.0
84a3189ffffffff,18.0,0.0,7.0
84a318dffffffff,14.0,0.0,3.0
84a3191ffffffff,34.0,0.0,24.0
84a3195ffffffff,2.0,0.0,2.0
84a319bffffffff,1.0,0.0,1.0
84a319dffffffff,176.0,0.0,64.0
84a31b1ffffffff,6.0,0.0,2.0
84a31b3ffffffff,2.0,0.0,2.0
84a31bbffffffff,13.0,0.0,4.0
84a31c3ffffffff,2.0,0.0,0.0
84a31c7ffffffff,4.0,0.0,0.0
84a31d5ffffffff,152.0,0.0,68.0
84a31d7ffffffff,4.0,0.0,3.0
84a3227ffffffff,4.0,2.0,0.0
84a3319ffffffff,8.0,3.0,0.0
84a331dffffffff,11.0,2.0,0.0
84a3351ffffffff,17.0,2.0,0.0
84a3357ffffffff,3.0,2.0,0.0
84a352dffffffff,1.0,0.0,0.0
84a354dffffffff,1.0,0.0,0.0
84a3565ffffffff,41.0,0.0,14.0
84a3567ffffffff,57.0,0.0,24.0
84a356dffffffff,1.0,0.0,0.0
84a372dffffffff,1.0,0.0,0.0
84a3761ffffffff,15.0,0.0,4.0
84a3765ffffffff,10.0,0.0,0.0
84a3767ffffffff,2.0,0.0,2.0
84a3769ffffffff,3.0,0.0,2.0
84a38b3ffffffff,55.0,0.0,26.0
84a38b7ffffffff,172.0,0.0,72.0
84a38cbffffffff,11.0,0.0,7.0
84a38ddffffffff,6.0,0.0,3.0
84a38ebffffffff,2.0,0.0,0.0
84a3993ffffffff,28.0,0.0,12.0
84a3997ffffffff,2.0,0.0,1.0
84a399bffffffff,24.0,0.0,8.0
84a3a95ffffffff,2.0,0.0,2.0
84a3ab1ffffffff,3.0,0.0,3.0
84a3ab3ffffffff,2.0,0.0,0.0
84a3ab7ffffffff,19.0,0.0,12.0
84a3abbffffffff,6.0,0.0,3.0
84a3ad7ffffffff,1.0,0.0,1.0
84a3addffffffff,2.0,0.0,2.0
