cell_id,Quiscalus mexicanus,Quiscalus mexicanus [graysoni Group],Quiscalus mexicanus [mexicanus Group]
8212cffffffffff,38.0,0.0,0.0
8212d7fffffffff,8.0,0.0,0.0
8212dffffffffff,3.0,0.0,0.0
822607fffffffff,9.0,0.0,0.0
82260ffffffffff,41.0,0.0,0.0
822617fffffffff,25.0,0.0,0.0
82261ffffffffff,9.0,0.0,0.0
822627fffffffff,8.0,0.0,0.0
82262ffffffffff,25.0,0.0,0.0
822647fffffffff,97.0,0.0,0.0
822657fffffffff,233.0,0.0,4.0
82265ffffffffff,88.0,0.0,0.0
822667fffffffff,59.0,0.0,0.0
822677fffffffff,10.0,0.0,0.0
822687fffffffff,117.0,0.0,0.0
82268ffffffffff,259.0,0.0,0.0
822697fffffffff,88.0,0.0,0.0
82269ffffffffff,64.0,0.0,0.0
8226a7fffffffff,13.0,0.0,0.0
8226affffffffff,139.0,0.0,3.0
8226b7fffffffff,6.0,0.0,0.0
8226c7fffffffff,11.0,0.0,0.0
8226cffffffffff,6.0,0.0,0.0
8226d7fffffffff,24.0,0.0,0.0
8226dffffffffff,7.0,0.0,0.0
8226e7fffffffff,35.0,0.0,0.0
8226effffffffff,104.0,0.0,0.0
8226f7fffffffff,98.0,0.0,0.0
822707fffffffff,5.0,0.0,0.0
82275ffffffffff,4.0,0.0,0.0
822767fffffffff,1.0,0.0,0.0
82278ffffffffff,15.0,0.0,0.0
822797fffffffff,9.0,0.0,0.0
82279ffffffffff,9.0,0.0,0.0
8227affffffffff,2.0,0.0,0.0
822807fffffffff,28.0,0.0,0.0
822817fffffffff,218.0,4.0,0.0
82281ffffffffff,52.0,0.0,0.0
822837fffffffff,1710.0,153.0,0.0
822887fffffffff,106.0,0.0,0.0
82288ffffffffff,20.0,4.0,0.0
822897fffffffff,96.0,0.0,0.0
82289ffffffffff,10.0,1.0,0.0
8228a7fffffffff,29.0,0.0,0.0
8228affffffffff,95.0,0.0,0.0
8228b7fffffffff,138.0,0.0,0.0
8228d7fffffffff,75.0,0.0,0.0
8228dffffffffff,14.0,4.0,0.0
8228f7fffffffff,107.0,0.0,0.0
82291ffffffffff,14.0,7.0,0.0
822987fffffffff,37.0,0.0,0.0
82298ffffffffff,19.0,0.0,0.0
822997fffffffff,38.0,0.0,0.0
82299ffffffffff,3.0,0.0,0.0
8229a7fffffffff,135.0,1.0,0.0
8229affffffffff,57.0,2.0,0.0
8229b7fffffffff,19.0,0.0,0.0
822ab7fffffffff,5.0,0.0,0.0
82391ffffffffff,8.0,0.0,0.0
82441ffffffffff,46.0,0.0,2.0
824427fffffffff,13.0,0.0,13.0
824447fffffffff,567.0,0.0,0.0
82444ffffffffff,107.0,0.0,0.0
824467fffffffff,3.0,0.0,0.0
82446ffffffffff,58.0,0.0,2.0
824477fffffffff,12.0,0.0,0.0
8244a7fffffffff,2.0,0.0,0.0
824507fffffffff,17.0,0.0,14.0
82450ffffffffff,1966.0,0.0,1966.0
82451ffffffffff,34.0,0.0,34.0
824527fffffffff,23.0,0.0,13.0
82452ffffffffff,74.0,0.0,43.0
824577fffffffff,496.0,0.0,496.0
8245b7fffffffff,8.0,0.0,0.0
82464ffffffffff,11.0,0.0,0.0
824807fffffffff,1.0,0.0,0.0
82480ffffffffff,4.0,0.0,0.0
82482ffffffffff,1.0,0.0,0.0
824837fffffffff,6.0,0.0,0.0
824847fffffffff,2.0,0.0,0.0
82485ffffffffff,116.0,22.0,0.0
824877fffffffff,66.0,0.0,0.0
824887fffffffff,6.0,0.0,0.0
82488ffffffffff,2.0,0.0,0.0
824897fffffffff,52.0,0.0,0.0
82489ffffffffff,6.0,0.0,0.0
8248affffffffff,1.0,0.0,0.0
8248b7fffffffff,121.0,0.0,0.0
8248c7fffffffff,20.0,0.0,0.0
8248cffffffffff,4.0,0.0,0.0
8248d7fffffffff,2.0,0.0,0.0
8248dffffffffff,172.0,0.0,0.0
8248effffffffff,105.0,0.0,0.0
8248f7fffffffff,8.0,0.0,0.0
824987fffffffff,125.0,0.0,124.0
82498ffffffffff,7.0,0.0,7.0
824997fffffffff,332.0,0.0,215.0
82499ffffffffff,17.0,0.0,13.0
8249a7fffffffff,7.0,7.0,0.0
8249affffffffff,12.0,12.0,0.0
8249b7fffffffff,3.0,2.0,1.0
824cc7fffffffff,67.0,0.0,0.0
824cd7fffffffff,5.0,0.0,0.0
824ceffffffffff,77.0,0.0,1.0
825f5ffffffffff,4.0,0.0,0.0
826617fffffffff,2.0,0.0,0.0
82661ffffffffff,141.0,0.0,0.0
826627fffffffff,1.0,0.0,0.0
8266a7fffffffff,25.0,0.0,1.0
8266b7fffffffff,73.0,0.0,35.0
8266d7fffffffff,3.0,0.0,0.0
8266e7fffffffff,34.0,0.0,0.0
8266f7fffffffff,1.0,0.0,0.0
826737fffffffff,35.0,0.0,0.0
826757fffffffff,8.0,0.0,0.0
826777fffffffff,35.0,0.0,0.0
82679ffffffffff,8.0,0.0,0.0
826d07fffffffff,2.0,0.0,0.0
826d27fffffffff,65.0,0.0,52.0
826d2ffffffffff,24.0,0.0,0.0
826d37fffffffff,2.0,0.0,0.0
826d67fffffffff,1.0,0.0,0.0
826d6ffffffffff,172.0,0.0,126.0
828e67fffffffff,27.0,0.0,0.0
82b2c7fffffffff,22.0,0.0,0.0
82b2dffffffffff,3.0,0.0,0.0
82b307fffffffff,71.0,0.0,0.0
