cell_id,Phapitreron amethystinus,Phapitreron amethystinus amethystinus/imeldae,Phapitreron amethystinus maculipectus,Phapitreron amethystinus frontalis
836841fffffffff,9.0,0.0,0.0,0.0
836842fffffffff,6.0,0.0,0.0,0.0
836843fffffffff,81.0,14.0,0.0,0.0
836844fffffffff,58.0,2.0,0.0,0.0
836845fffffffff,1.0,0.0,0.0,0.0
836846fffffffff,35.0,0.0,0.0,0.0
83684efffffffff,162.0,14.0,0.0,0.0
836855fffffffff,11.0,0.0,0.0,0.0
836856fffffffff,3.0,3.0,0.0,0.0
836858fffffffff,26.0,1.0,0.0,0.0
83685cfffffffff,72.0,16.0,0.0,0.0
83685dfffffffff,129.0,16.0,0.0,0.0
83685efffffffff,192.0,67.0,0.0,0.0
836865fffffffff,24.0,24.0,0.0,0.0
83686efffffffff,32.0,6.0,0.0,0.0
836875fffffffff,3.0,0.0,0.0,0.0
836943fffffffff,23.0,0.0,0.0,0.0
83694cfffffffff,7.0,2.0,0.0,0.0
83694efffffffff,251.0,35.0,0.0,0.0
836968fffffffff,4.0,0.0,0.0,0.0
83696afffffffff,3.0,1.0,0.0,0.0
83696bfffffffff,1.0,0.0,0.0,0.0
83696cfffffffff,7.0,0.0,0.0,0.0
83696dfffffffff,1.0,0.0,0.0,0.0
