cell_id,Calidris ptilocnemis,Calidris ptilocnemis ptilocnemis,Calidris ptilocnemis quarta,Calidris ptilocnemis tschuktschorum,Calidris ptilocnemis couesi,Calidris ptilocnemis quarta/tschuktschorum/couesi
820c17fffffffff,24.0,0.0,0.0,17.0,0.0,0.0
820c47fffffffff,48.0,6.0,0.0,0.0,0.0,0.0
820c57fffffffff,108.0,0.0,0.0,0.0,0.0,2.0
820c5ffffffffff,17.0,0.0,0.0,0.0,0.0,0.0
820c77fffffffff,22.0,0.0,0.0,0.0,0.0,0.0
820c87fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
820ca7fffffffff,25.0,0.0,0.0,19.0,0.0,0.0
820ccffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
820cdffffffffff,15.0,0.0,0.0,0.0,0.0,0.0
820cf7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
820d8ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82129ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8212b7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
821397fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82139ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
821d27fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8222d7fffffffff,3.0,0.0,0.0,0.0,1.0,2.0
8222dffffffffff,87.0,61.0,0.0,5.0,1.0,2.0
822807fffffffff,46.0,0.0,0.0,1.0,1.0,0.0
82281ffffffffff,21.0,0.0,0.0,0.0,0.0,0.0
822837fffffffff,698.0,0.0,0.0,18.0,0.0,3.0
8228c7fffffffff,52.0,0.0,0.0,0.0,0.0,5.0
8228d7fffffffff,153.0,0.0,0.0,0.0,0.0,4.0
8228dffffffffff,57.0,0.0,0.0,0.0,0.0,0.0
8228f7fffffffff,20.0,0.0,0.0,0.0,0.0,0.0
82291ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8229a7fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8229affffffffff,1.0,0.0,0.0,0.0,0.0,0.0
822e17fffffffff,17.0,0.0,1.0,0.0,0.0,0.0
