cell_id,Formicarius nigricapillus,Formicarius nigricapillus nigricapillus,Formicarius nigricapillus destructus
8466165ffffffff,1.0,0.0,0.0
84661b1ffffffff,1.0,0.0,0.0
84661bdffffffff,1.0,0.0,0.0
84661c7ffffffff,2.0,0.0,0.0
84661cdffffffff,4.0,0.0,0.0
84661ebffffffff,23.0,0.0,0.0
8466b4dffffffff,1.0,0.0,0.0
8466d0bffffffff,305.0,0.0,0.0
8466d35ffffffff,1.0,0.0,0.0
8466d55ffffffff,2.0,0.0,0.0
848f2a9ffffffff,4.0,0.0,0.0
848f2abffffffff,2.0,0.0,0.0
848f2b9ffffffff,2.0,0.0,0.0
848f2cdffffffff,16.0,0.0,0.0
