cell_id,Myiopagis viridicata,Myiopagis viridicata minima/jaliscensis,Myiopagis viridicata [viridicata Group]
8444249ffffffff,1.0,0.0,0.0
8445011ffffffff,3.0,0.0,0.0
8445019ffffffff,48.0,0.0,1.0
8445053ffffffff,1.0,0.0,0.0
8445059ffffffff,2.0,0.0,0.0
844505bffffffff,81.0,0.0,0.0
8445081ffffffff,2.0,0.0,2.0
8445083ffffffff,81.0,0.0,6.0
8445085ffffffff,73.0,0.0,12.0
8445087ffffffff,227.0,0.0,45.0
8445089ffffffff,3.0,0.0,3.0
844508bffffffff,1.0,0.0,0.0
844508dffffffff,33.0,0.0,2.0
8445091ffffffff,2.0,0.0,2.0
8445095ffffffff,9.0,0.0,9.0
8445099ffffffff,21.0,0.0,0.0
844509bffffffff,39.0,0.0,16.0
84450a1ffffffff,78.0,0.0,4.0
84450a3ffffffff,104.0,0.0,27.0
84450a5ffffffff,6.0,0.0,0.0
84450a7ffffffff,4.0,0.0,0.0
84450a9ffffffff,7.0,0.0,0.0
84450abffffffff,11.0,0.0,3.0
84450adffffffff,45.0,0.0,13.0
84450b1ffffffff,14.0,0.0,6.0
84450b5ffffffff,33.0,0.0,4.0
84450b9ffffffff,8.0,0.0,0.0
84450bdffffffff,41.0,0.0,4.0
84450c1ffffffff,11.0,0.0,0.0
84450c5ffffffff,42.0,0.0,3.0
84450cdffffffff,22.0,0.0,5.0
84450d1ffffffff,18.0,0.0,13.0
84450d3ffffffff,206.0,0.0,95.0
84450d5ffffffff,52.0,0.0,36.0
84450ddffffffff,8.0,0.0,0.0
84450e1ffffffff,9.0,0.0,0.0
84450e3ffffffff,91.0,0.0,2.0
84450ebffffffff,117.0,0.0,24.0
844519bffffffff,3.0,0.0,0.0
8445203ffffffff,13.0,0.0,0.0
8445205ffffffff,2.0,0.0,0.0
8445207ffffffff,19.0,0.0,0.0
844520bffffffff,4.0,0.0,0.0
844520dffffffff,6.0,0.0,0.0
8445211ffffffff,27.0,0.0,0.0
8445213ffffffff,80.0,0.0,0.0
8445215ffffffff,438.0,0.0,4.0
8445217ffffffff,208.0,0.0,0.0
8445219ffffffff,5.0,0.0,0.0
844521dffffffff,16.0,0.0,0.0
8445221ffffffff,14.0,0.0,0.0
8445225ffffffff,39.0,0.0,0.0
8445233ffffffff,411.0,0.0,21.0
844523bffffffff,75.0,0.0,5.0
8445249ffffffff,12.0,0.0,0.0
8445253ffffffff,2.0,0.0,0.0
8445257ffffffff,12.0,0.0,0.0
8445263ffffffff,3.0,0.0,0.0
8445283ffffffff,17.0,0.0,0.0
8445285ffffffff,20.0,0.0,0.0
8445287ffffffff,63.0,0.0,15.0
8445289ffffffff,571.0,0.0,2.0
844528dffffffff,78.0,0.0,3.0
8445291ffffffff,10.0,0.0,2.0
8445297ffffffff,2.0,0.0,0.0
8445299ffffffff,1.0,0.0,0.0
844529bffffffff,2.0,0.0,0.0
