cell_id,Psaltriparus minimus,Psaltriparus minimus [minimus Group],Psaltriparus minimus plumbeus,Psaltriparus minimus [melanotis Group]
8426811ffffffff,2.0,0.0,0.0,0.0
8426813ffffffff,13.0,0.0,2.0,0.0
8426815ffffffff,7.0,0.0,0.0,0.0
8426819ffffffff,2.0,0.0,0.0,0.0
842681bffffffff,38.0,0.0,3.0,4.0
8426831ffffffff,5.0,0.0,0.0,0.0
8426833ffffffff,3.0,0.0,0.0,0.0
8426853ffffffff,1.0,0.0,0.0,0.0
8426859ffffffff,1.0,0.0,0.0,0.0
8426881ffffffff,12.0,0.0,7.0,0.0
8426885ffffffff,1.0,0.0,0.0,0.0
8426887ffffffff,13.0,0.0,0.0,0.0
842688dffffffff,5.0,0.0,0.0,0.0
8426891ffffffff,20.0,0.0,0.0,0.0
8426893ffffffff,73.0,0.0,2.0,0.0
8426899ffffffff,2.0,0.0,0.0,0.0
842689dffffffff,1.0,0.0,1.0,0.0
84268a5ffffffff,1.0,0.0,0.0,0.0
84268abffffffff,2.0,0.0,2.0,0.0
84268b1ffffffff,2.0,0.0,0.0,0.0
84268c1ffffffff,5.0,0.0,0.0,0.0
84268c5ffffffff,2.0,0.0,0.0,0.0
84268c7ffffffff,137.0,0.0,3.0,0.0
84268cdffffffff,91.0,0.0,5.0,0.0
84268d3ffffffff,2.0,0.0,0.0,0.0
84268e1ffffffff,2.0,0.0,0.0,0.0
84268e7ffffffff,2.0,0.0,0.0,0.0
84268ebffffffff,8.0,0.0,0.0,0.0
8426903ffffffff,3.0,0.0,0.0,0.0
8426905ffffffff,2.0,0.0,0.0,0.0
842690dffffffff,11.0,0.0,5.0,0.0
8426913ffffffff,1.0,0.0,1.0,0.0
8426923ffffffff,2.0,0.0,0.0,0.0
8426929ffffffff,38.0,0.0,0.0,0.0
8426937ffffffff,2.0,0.0,0.0,0.0
8426939ffffffff,2.0,0.0,0.0,0.0
8426947ffffffff,2.0,0.0,0.0,0.0
842694dffffffff,2.0,0.0,0.0,0.0
8426951ffffffff,2.0,0.0,0.0,0.0
8426957ffffffff,1.0,0.0,1.0,0.0
8426959ffffffff,9.0,0.0,0.0,0.0
8426961ffffffff,6.0,0.0,6.0,0.0
8426963ffffffff,6.0,0.0,1.0,0.0
8426965ffffffff,1.0,0.0,0.0,0.0
8426967ffffffff,27.0,0.0,9.0,0.0
8426969ffffffff,4.0,0.0,0.0,0.0
842696bffffffff,13.0,0.0,4.0,0.0
8426987ffffffff,13.0,0.0,0.0,0.0
8426989ffffffff,2.0,0.0,0.0,0.0
8426991ffffffff,3.0,0.0,0.0,0.0
8426995ffffffff,3.0,0.0,0.0,0.0
8426997ffffffff,2.0,0.0,0.0,0.0
842699dffffffff,1.0,0.0,0.0,0.0
84269a1ffffffff,1.0,0.0,0.0,0.0
84269adffffffff,2.0,0.0,2.0,0.0
84269b9ffffffff,7.0,0.0,2.0,0.0
84269c1ffffffff,2.0,0.0,0.0,0.0
84269d1ffffffff,2.0,0.0,0.0,0.0
84269d5ffffffff,3.0,0.0,0.0,0.0
84269d9ffffffff,1.0,0.0,0.0,0.0
84269ddffffffff,3.0,0.0,3.0,0.0
84269e9ffffffff,5.0,0.0,4.0,0.0
84269edffffffff,4.0,0.0,4.0,0.0
8426a85ffffffff,1.0,0.0,0.0,0.0
8426aa1ffffffff,40.0,0.0,0.0,0.0
8426aa5ffffffff,8.0,0.0,0.0,0.0
8426aabffffffff,1.0,0.0,0.0,0.0
8426ae7ffffffff,2.0,0.0,0.0,0.0
8426b33ffffffff,4.0,0.0,0.0,0.0
8426d09ffffffff,2.0,0.0,0.0,0.0
8426d15ffffffff,2.0,0.0,0.0,0.0
8426d2dffffffff,2.0,0.0,0.0,0.0
8426d33ffffffff,2.0,0.0,0.0,0.0
8426d39ffffffff,2.0,0.0,0.0,0.0
8426d45ffffffff,25.0,0.0,1.0,0.0
8426d4bffffffff,1.0,0.0,0.0,0.0
8426d4dffffffff,2.0,0.0,0.0,0.0
8426d69ffffffff,2.0,0.0,0.0,0.0
8426d6bffffffff,3.0,0.0,0.0,0.0
8426d8dffffffff,5.0,0.0,0.0,0.0
8426dc3ffffffff,2.0,0.0,0.0,0.0
8426de1ffffffff,2.0,0.0,0.0,0.0
8426de3ffffffff,1.0,0.0,0.0,0.0
8426de7ffffffff,19.0,0.0,0.0,0.0
8426de9ffffffff,7.0,0.0,0.0,0.0
8426f0dffffffff,3.0,0.0,0.0,0.0
8426f25ffffffff,6.0,0.0,0.0,0.0
8426f27ffffffff,9.0,0.0,0.0,0.0
8426f2dffffffff,2.0,0.0,0.0,0.0
8428023ffffffff,1.0,0.0,0.0,0.0
842802bffffffff,1.0,0.0,0.0,0.0
8428063ffffffff,2.0,2.0,0.0,0.0
8428069ffffffff,3.0,3.0,0.0,0.0
842806bffffffff,2.0,2.0,0.0,0.0
842806dffffffff,8.0,8.0,0.0,0.0
