cell_id,Stilpnia cayana,Stilpnia cayana cayana/fulvescens,Stilpnia cayana [flava Group]
835f1cfffffffff,4.0,4.0,0.0
835f42fffffffff,2.0,0.0,0.0
835f44fffffffff,1.0,0.0,0.0
835f71fffffffff,1.0,0.0,0.0
836601fffffffff,29.0,6.0,0.0
836641fffffffff,1.0,0.0,0.0
836660fffffffff,1.0,0.0,0.0
8366e1fffffffff,4.0,0.0,0.0
8366e5fffffffff,2.0,0.0,0.0
836741fffffffff,2.0,0.0,0.0
836743fffffffff,3.0,0.0,0.0
83675cfffffffff,12.0,0.0,0.0
838adbfffffffff,3.0,0.0,0.0
838b1efffffffff,2.0,0.0,0.0
83a829fffffffff,2.0,0.0,0.0
83a88efffffffff,1.0,0.0,1.0
83a940fffffffff,1.0,0.0,0.0
83a943fffffffff,28.0,0.0,0.0
83a946fffffffff,16.0,0.0,0.0
83a95afffffffff,2.0,0.0,0.0
