cell_id,Formicivora acutirostris,Formicivora acutirostris acutirostris,Formicivora acutirostris paludicola
83a831fffffffff,162.0,73.0,0.0
83a833fffffffff,1.0,1.0,0.0
83a835fffffffff,29.0,21.0,0.0
83a918fffffffff,12.0,3.0,0.0
