cell_id,Myzomela cardinalis,Myzomela cardinalis lifuensis,Myzomela cardinalis [cardinalis Group]
849e021ffffffff,8.0,0.0,0.0
849e025ffffffff,20.0,0.0,0.0
849e027ffffffff,2.0,0.0,0.0
849e029ffffffff,4.0,0.0,0.0
849e02dffffffff,40.0,0.0,0.0
849e067ffffffff,17.0,0.0,0.0
849e06dffffffff,3.0,0.0,0.0
849e103ffffffff,5.0,0.0,0.0
849e113ffffffff,4.0,0.0,0.0
849e119ffffffff,4.0,0.0,0.0
849e13dffffffff,19.0,0.0,0.0
849e153ffffffff,2.0,0.0,0.0
849e225ffffffff,1.0,0.0,0.0
849e227ffffffff,7.0,0.0,0.0
849e245ffffffff,365.0,0.0,0.0
849e261ffffffff,18.0,0.0,0.0
849e269ffffffff,5.0,0.0,0.0
849e311ffffffff,1.0,0.0,0.0
849e31bffffffff,4.0,0.0,0.0
849e8cbffffffff,7.0,0.0,0.0
849ead9ffffffff,1.0,0.0,0.0
849ec01ffffffff,2.0,0.0,0.0
849ec03ffffffff,9.0,0.0,0.0
849ec39ffffffff,1.0,0.0,0.0
849ed19ffffffff,1.0,0.0,0.0
849ed51ffffffff,6.0,0.0,1.0
849ed53ffffffff,1.0,0.0,0.0
849ed57ffffffff,1.0,0.0,0.0
849ed59ffffffff,4.0,0.0,0.0
849ef37ffffffff,1.0,0.0,0.0
849f0a7ffffffff,2.0,0.0,0.0
849f50bffffffff,1.0,0.0,0.0
849f515ffffffff,2.0,0.0,0.0
849f523ffffffff,12.0,0.0,0.0
849f529ffffffff,37.0,0.0,0.0
849f569ffffffff,2.0,0.0,0.0
849f56bffffffff,2.0,0.0,0.0
