cell_id,Turdus simillimus,Turdus simillimus simillimus/bourdilloni,Turdus simillimus nigropileus,Turdus simillimus kinnisii
823c97fffffffff,20.0,0.0,0.0,0.0
823ca7fffffffff,5.0,0.0,0.0,0.0
823cb7fffffffff,83.0,0.0,8.0,0.0
823d97fffffffff,78.0,0.0,4.0,0.0
823d9ffffffffff,245.0,0.0,2.0,0.0
8242c7fffffffff,94.0,0.0,0.0,0.0
8242cffffffffff,5.0,0.0,0.0,0.0
8242dffffffffff,43.0,0.0,0.0,0.0
8242effffffffff,11.0,0.0,0.0,0.0
826007fffffffff,635.0,0.0,5.0,0.0
826017fffffffff,818.0,0.0,3.0,0.0
82601ffffffffff,188.0,0.0,0.0,0.0
826027fffffffff,117.0,3.0,0.0,0.0
826037fffffffff,4721.0,45.0,34.0,0.0
82608ffffffffff,1267.0,0.0,0.0,0.0
826097fffffffff,53.0,0.0,0.0,0.0
82609ffffffffff,124.0,0.0,0.0,0.0
8260a7fffffffff,193.0,0.0,0.0,0.0
8260affffffffff,714.0,0.0,0.0,0.0
8260b7fffffffff,12.0,0.0,0.0,0.0
8260f7fffffffff,6.0,0.0,0.0,0.0
826107fffffffff,262.0,0.0,0.0,45.0
826117fffffffff,11.0,0.0,0.0,1.0
82619ffffffffff,2.0,0.0,0.0,0.0
