cell_id,Pyrrhura picta,Pyrrhura picta eisenmanni,Pyrrhura picta subandina,Pyrrhura picta caeruleiceps,Pyrrhura picta emma,Pyrrhura picta picta
825f07fffffffff,137.0,0.0,0.0,0.0,0.0,7.0
825f0ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0
825f17fffffffff,71.0,0.0,0.0,0.0,0.0,0.0
825f1ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
825f2ffffffffff,885.0,0.0,0.0,0.0,0.0,0.0
825f37fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
825f47fffffffff,38.0,0.0,0.0,0.0,0.0,2.0
825f4ffffffffff,115.0,0.0,0.0,0.0,22.0,0.0
825f5ffffffffff,1.0,0.0,0.0,0.0,1.0,0.0
825f6ffffffffff,59.0,0.0,0.0,0.0,0.0,0.0
825f77fffffffff,25.0,0.0,0.0,0.0,0.0,0.0
82662ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
826667fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82666ffffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8266a7fffffffff,20.0,15.0,0.0,0.0,0.0,0.0
826747fffffffff,172.0,0.0,0.0,0.0,33.0,0.0
82674ffffffffff,510.0,0.0,0.0,0.0,179.0,0.0
826757fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
82675ffffffffff,119.0,0.0,0.0,0.0,14.0,0.0
82804ffffffffff,21.0,0.0,0.0,0.0,0.0,0.0
82806ffffffffff,9.0,0.0,0.0,0.0,0.0,0.0
828a9ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
828adffffffffff,29.0,0.0,0.0,0.0,0.0,0.0
828af7fffffffff,84.0,0.0,0.0,0.0,0.0,11.0
