cell_id,Myiarchus tyrannulus,Myiarchus tyrannulus magister,Myiarchus tyrannulus [cooperi Group],Myiarchus tyrannulus brachyurus,Myiarchus tyrannulus tyrannulus/bahiae
822987fffffffff,225.0,0.0,0.0,0.0,0.0
822997fffffffff,280.0,0.0,0.0,0.0,0.0
8229a7fffffffff,881.0,0.0,0.0,0.0,0.0
8229affffffffff,1.0,0.0,0.0,0.0,0.0
8229b7fffffffff,2354.0,157.0,0.0,0.0,0.0
824427fffffffff,5.0,0.0,0.0,0.0,0.0
824507fffffffff,327.0,0.0,22.0,0.0,0.0
82450ffffffffff,3974.0,0.0,992.0,0.0,0.0
82451ffffffffff,29.0,0.0,10.0,0.0,0.0
824527fffffffff,2928.0,0.0,30.0,0.0,0.0
82452ffffffffff,9622.0,0.0,621.0,0.0,0.0
824537fffffffff,1603.0,0.0,0.0,0.0,0.0
824577fffffffff,300.0,0.0,62.0,0.0,0.0
824807fffffffff,84.0,0.0,0.0,0.0,0.0
82480ffffffffff,477.0,68.0,0.0,0.0,0.0
824817fffffffff,38.0,0.0,0.0,0.0,0.0
82481ffffffffff,11.0,0.0,0.0,0.0,0.0
824837fffffffff,2113.0,0.0,0.0,0.0,0.0
824857fffffffff,21.0,3.0,0.0,0.0,0.0
82485ffffffffff,5.0,0.0,0.0,0.0,0.0
824887fffffffff,2160.0,0.0,0.0,0.0,0.0
82488ffffffffff,491.0,0.0,0.0,0.0,0.0
824897fffffffff,2054.0,0.0,0.0,0.0,0.0
82489ffffffffff,920.0,0.0,0.0,0.0,0.0
8248a7fffffffff,245.0,0.0,0.0,0.0,0.0
8248affffffffff,615.0,0.0,0.0,0.0,0.0
8248b7fffffffff,8613.0,0.0,0.0,0.0,0.0
8248c7fffffffff,6025.0,982.0,0.0,0.0,0.0
8248cffffffffff,265.0,8.0,0.0,0.0,0.0
8248e7fffffffff,404.0,39.0,0.0,0.0,0.0
8248effffffffff,26333.0,808.0,0.0,0.0,0.0
8248f7fffffffff,1.0,0.0,0.0,0.0,0.0
824987fffffffff,38.0,0.0,0.0,0.0,0.0
82498ffffffffff,10.0,0.0,0.0,0.0,0.0
824997fffffffff,694.0,0.0,120.0,0.0,0.0
82499ffffffffff,44.0,0.0,0.0,0.0,0.0
8249a7fffffffff,104.0,0.0,0.0,0.0,0.0
8249affffffffff,739.0,41.0,0.0,0.0,0.0
8249b7fffffffff,312.0,0.0,0.0,0.0,0.0
825e67fffffffff,4.0,0.0,0.0,0.0,0.0
825f0ffffffffff,95.0,0.0,0.0,0.0,0.0
825f17fffffffff,5.0,0.0,0.0,0.0,0.0
825f1ffffffffff,37.0,0.0,0.0,0.0,0.0
825f27fffffffff,6.0,0.0,0.0,0.0,0.0
825f2ffffffffff,311.0,0.0,0.0,0.0,1.0
825f47fffffffff,45.0,0.0,0.0,0.0,2.0
825f4ffffffffff,73.0,0.0,0.0,0.0,0.0
825f5ffffffffff,1056.0,0.0,0.0,0.0,0.0
825f6ffffffffff,8.0,0.0,0.0,0.0,0.0
825f77fffffffff,7.0,0.0,0.0,0.0,0.0
826607fffffffff,219.0,0.0,0.0,0.0,0.0
82660ffffffffff,228.0,0.0,0.0,0.0,0.0
826617fffffffff,18.0,0.0,0.0,0.0,0.0
82661ffffffffff,138.0,0.0,0.0,0.0,0.0
826627fffffffff,2033.0,0.0,0.0,0.0,179.0
82662ffffffffff,77.0,0.0,0.0,0.0,2.0
826637fffffffff,261.0,0.0,0.0,0.0,3.0
826647fffffffff,29.0,0.0,0.0,0.0,0.0
826657fffffffff,383.0,0.0,0.0,0.0,0.0
82665ffffffffff,4.0,0.0,0.0,0.0,0.0
826667fffffffff,93.0,0.0,0.0,0.0,6.0
82666ffffffffff,4.0,0.0,0.0,0.0,0.0
826677fffffffff,273.0,0.0,0.0,0.0,0.0
8266b7fffffffff,79.0,0.0,0.0,0.0,0.0
8266c7fffffffff,4.0,0.0,0.0,0.0,0.0
8266e7fffffffff,623.0,0.0,0.0,0.0,0.0
8266effffffffff,18.0,0.0,0.0,0.0,0.0
8266f7fffffffff,16.0,0.0,0.0,0.0,0.0
826747fffffffff,1701.0,0.0,0.0,0.0,14.0
82674ffffffffff,474.0,0.0,0.0,0.0,32.0
826757fffffffff,1255.0,0.0,0.0,0.0,0.0
82675ffffffffff,252.0,0.0,0.0,0.0,13.0
82676ffffffffff,39.0,0.0,0.0,0.0,0.0
826777fffffffff,114.0,0.0,0.0,0.0,0.0
826797fffffffff,10.0,0.0,0.0,0.0,0.0
826d07fffffffff,542.0,0.0,131.0,0.0,0.0
826d17fffffffff,750.0,0.0,0.0,0.0,0.0
826d27fffffffff,575.0,0.0,92.0,0.0,0.0
826d2ffffffffff,1299.0,0.0,66.0,0.0,0.0
826d37fffffffff,1447.0,0.0,91.0,0.0,0.0
826d67fffffffff,1661.0,0.0,0.0,0.0,0.0
826d6ffffffffff,7104.0,0.0,0.0,0.0,0.0
826d77fffffffff,460.0,0.0,0.0,0.0,0.0
828007fffffffff,31.0,0.0,0.0,0.0,2.0
82800ffffffffff,18.0,0.0,0.0,0.0,2.0
828017fffffffff,188.0,0.0,0.0,0.0,5.0
82801ffffffffff,1.0,0.0,0.0,0.0,0.0
828027fffffffff,17.0,0.0,0.0,0.0,0.0
828037fffffffff,177.0,0.0,0.0,0.0,8.0
828047fffffffff,7.0,0.0,0.0,0.0,0.0
82804ffffffffff,12.0,0.0,0.0,0.0,0.0
828057fffffffff,23.0,0.0,0.0,0.0,0.0
828067fffffffff,5.0,0.0,0.0,0.0,0.0
82806ffffffffff,5.0,0.0,0.0,0.0,0.0
828077fffffffff,2.0,0.0,0.0,0.0,0.0
8280a7fffffffff,1.0,0.0,0.0,0.0,0.0
828107fffffffff,136.0,0.0,0.0,0.0,9.0
82810ffffffffff,16.0,0.0,0.0,0.0,6.0
828117fffffffff,12.0,0.0,0.0,0.0,1.0
82811ffffffffff,37.0,0.0,0.0,0.0,0.0
828127fffffffff,214.0,0.0,0.0,0.0,14.0
82812ffffffffff,31.0,0.0,0.0,0.0,2.0
828137fffffffff,119.0,0.0,0.0,0.0,8.0
828147fffffffff,46.0,0.0,0.0,0.0,0.0
82814ffffffffff,10.0,0.0,0.0,0.0,0.0
828157fffffffff,10.0,0.0,0.0,0.0,0.0
82815ffffffffff,3.0,0.0,0.0,0.0,0.0
828167fffffffff,19.0,0.0,0.0,0.0,0.0
828177fffffffff,90.0,0.0,0.0,0.0,0.0
828187fffffffff,6.0,0.0,0.0,0.0,0.0
82818ffffffffff,120.0,0.0,0.0,0.0,0.0
82819ffffffffff,4.0,0.0,0.0,0.0,0.0
8281a7fffffffff,9.0,0.0,0.0,0.0,0.0
8281affffffffff,190.0,0.0,0.0,0.0,2.0
828a07fffffffff,8.0,0.0,0.0,0.0,2.0
828a27fffffffff,4.0,0.0,0.0,0.0,0.0
828a2ffffffffff,3.0,0.0,0.0,0.0,0.0
828a87fffffffff,16.0,0.0,0.0,0.0,0.0
828a9ffffffffff,16.0,0.0,0.0,0.0,4.0
828aaffffffffff,13.0,0.0,0.0,0.0,0.0
828adffffffffff,47.0,0.0,0.0,0.0,1.0
828af7fffffffff,70.0,0.0,0.0,0.0,10.0
828b07fffffffff,16.0,0.0,0.0,0.0,0.0
828b0ffffffffff,109.0,0.0,0.0,0.0,0.0
828b17fffffffff,15.0,0.0,0.0,0.0,0.0
828b1ffffffffff,3.0,0.0,0.0,0.0,0.0
828b27fffffffff,369.0,0.0,0.0,0.0,0.0
828b2ffffffffff,96.0,0.0,0.0,0.0,0.0
828b37fffffffff,57.0,0.0,0.0,0.0,0.0
828b47fffffffff,46.0,0.0,0.0,0.0,0.0
828b57fffffffff,17.0,0.0,0.0,0.0,0.0
828b5ffffffffff,10.0,0.0,0.0,0.0,0.0
828b67fffffffff,11.0,0.0,0.0,0.0,0.0
828b77fffffffff,72.0,0.0,0.0,0.0,0.0
828b87fffffffff,33.0,0.0,0.0,0.0,5.0
828b8ffffffffff,1.0,0.0,0.0,0.0,0.0
828b9ffffffffff,74.0,0.0,0.0,0.0,3.0
828ba7fffffffff,69.0,0.0,0.0,0.0,0.0
828bb7fffffffff,278.0,0.0,0.0,0.0,35.0
828e67fffffffff,2.0,0.0,0.0,0.0,0.0
828f47fffffffff,109.0,0.0,0.0,0.0,0.0
828f57fffffffff,244.0,0.0,0.0,0.0,29.0
828f77fffffffff,5.0,0.0,0.0,0.0,2.0
82a597fffffffff,7.0,0.0,0.0,0.0,2.0
82a807fffffffff,47.0,0.0,0.0,0.0,3.0
82a80ffffffffff,79.0,0.0,0.0,0.0,0.0
82a817fffffffff,302.0,0.0,0.0,0.0,26.0
82a81ffffffffff,1759.0,0.0,0.0,0.0,4.0
82a82ffffffffff,32.0,0.0,0.0,0.0,0.0
82a837fffffffff,1.0,0.0,0.0,0.0,0.0
82a847fffffffff,475.0,0.0,0.0,0.0,33.0
82a84ffffffffff,21.0,0.0,0.0,0.0,0.0
82a857fffffffff,52.0,0.0,0.0,0.0,0.0
82a85ffffffffff,1007.0,0.0,0.0,0.0,97.0
82a867fffffffff,149.0,0.0,0.0,0.0,0.0
82a86ffffffffff,63.0,0.0,0.0,0.0,0.0
82a877fffffffff,82.0,0.0,0.0,0.0,1.0
82a887fffffffff,193.0,0.0,0.0,0.0,9.0
82a88ffffffffff,228.0,0.0,0.0,0.0,4.0
82a897fffffffff,146.0,0.0,0.0,0.0,10.0
82a89ffffffffff,25.0,0.0,0.0,0.0,0.0
82a8a7fffffffff,80.0,0.0,0.0,0.0,5.0
82a8affffffffff,303.0,0.0,0.0,0.0,7.0
82a8b7fffffffff,6.0,0.0,0.0,0.0,0.0
82a8c7fffffffff,207.0,0.0,0.0,0.0,0.0
82a8d7fffffffff,139.0,0.0,0.0,0.0,7.0
82a8dffffffffff,70.0,0.0,0.0,0.0,0.0
82a8e7fffffffff,73.0,0.0,0.0,0.0,0.0
82a8effffffffff,13.0,0.0,0.0,0.0,0.0
82a8f7fffffffff,44.0,0.0,0.0,0.0,0.0
82a947fffffffff,619.0,0.0,0.0,0.0,0.0
82a94ffffffffff,508.0,0.0,0.0,0.0,0.0
82a957fffffffff,7.0,0.0,0.0,0.0,0.0
82a95ffffffffff,133.0,0.0,0.0,0.0,0.0
82a967fffffffff,141.0,0.0,0.0,0.0,0.0
82a96ffffffffff,662.0,0.0,0.0,0.0,0.0
82a977fffffffff,22.0,0.0,0.0,0.0,0.0
82b20ffffffffff,2.0,0.0,0.0,0.0,0.0
82b247fffffffff,14.0,0.0,0.0,0.0,0.0
82b24ffffffffff,3.0,0.0,0.0,0.0,0.0
82b257fffffffff,33.0,0.0,0.0,0.0,0.0
82b25ffffffffff,64.0,0.0,0.0,0.0,0.0
82b267fffffffff,38.0,0.0,0.0,0.0,0.0
82b26ffffffffff,17.0,0.0,0.0,0.0,0.0
82b277fffffffff,49.0,0.0,0.0,0.0,0.0
82b2e7fffffffff,6.0,0.0,0.0,0.0,0.0
82b2effffffffff,29.0,0.0,0.0,0.0,0.0
82b327fffffffff,4.0,0.0,0.0,0.0,0.0
82b32ffffffffff,1.0,0.0,0.0,0.0,0.0
82b347fffffffff,588.0,0.0,0.0,0.0,0.0
82b34ffffffffff,193.0,0.0,0.0,0.0,0.0
82b357fffffffff,50.0,0.0,0.0,0.0,0.0
82b35ffffffffff,890.0,0.0,0.0,0.0,0.0
82b367fffffffff,170.0,0.0,0.0,0.0,0.0
82b36ffffffffff,232.0,0.0,0.0,0.0,0.0
82c2cffffffffff,47.0,0.0,0.0,0.0,0.0
