cell_id,Phrygilus gayi,Phrygilus gayi minor,Phrygilus gayi gayi/caniceps
82b207fffffffff,10.0,0.0,0.0
82b227fffffffff,90.0,21.0,0.0
82b257fffffffff,4.0,0.0,0.0
82b277fffffffff,2.0,0.0,0.0
82b2c7fffffffff,6957.0,54.0,9.0
82b2cffffffffff,33.0,0.0,0.0
82b2dffffffffff,24.0,0.0,0.0
82b2e7fffffffff,312.0,5.0,0.0
82b2effffffffff,14.0,0.0,0.0
82b35ffffffffff,2.0,0.0,0.0
82c327fffffffff,1.0,0.0,1.0
82ce9ffffffffff,14.0,0.0,0.0
82cea7fffffffff,2.0,0.0,0.0
82cf17fffffffff,1.0,0.0,0.0
82cfa7fffffffff,7.0,0.0,0.0
82df47fffffffff,4.0,0.0,0.0
82df6ffffffffff,7.0,0.0,3.0
