cell_id,Tyto javanica,Tyto javanica [javanica Group],Tyto javanica crassirostris
823c0ffffffffff,8.0,0.0,0.0
823c1ffffffffff,2.0,0.0,0.0
823c5ffffffffff,10.0,0.0,0.0
823c8ffffffffff,1.0,0.0,0.0
823caffffffffff,5.0,0.0,0.0
823cb7fffffffff,2.0,0.0,0.0
823ce7fffffffff,6.0,0.0,0.0
823cf7fffffffff,12.0,0.0,0.0
823d37fffffffff,3.0,0.0,0.0
823d87fffffffff,2.0,0.0,0.0
823da7fffffffff,2.0,0.0,0.0
8242cffffffffff,1.0,0.0,0.0
8242dffffffffff,1.0,0.0,0.0
8242effffffffff,2.0,0.0,0.0
826007fffffffff,12.0,0.0,0.0
82600ffffffffff,1.0,0.0,0.0
826017fffffffff,9.0,0.0,0.0
826027fffffffff,16.0,0.0,0.0
826037fffffffff,6.0,0.0,0.0
82608ffffffffff,6.0,1.0,0.0
8260affffffffff,4.0,0.0,0.0
8260b7fffffffff,3.0,0.0,0.0
82648ffffffffff,1.0,0.0,0.0
826507fffffffff,3.0,0.0,0.0
82650ffffffffff,7.0,0.0,0.0
82651ffffffffff,10.0,0.0,0.0
826527fffffffff,33.0,2.0,0.0
82659ffffffffff,3.0,2.0,0.0
826817fffffffff,1.0,0.0,0.0
8272dffffffffff,7.0,0.0,0.0
829487fffffffff,2.0,2.0,0.0
82948ffffffffff,2.0,0.0,0.0
829a17fffffffff,2.0,0.0,0.0
829c27fffffffff,4.0,0.0,0.0
829d0ffffffffff,2.0,0.0,0.0
829d47fffffffff,1.0,0.0,0.0
829d6ffffffffff,1.0,0.0,0.0
829e07fffffffff,1.0,0.0,0.0
829e17fffffffff,2.0,1.0,0.0
82b8a7fffffffff,2.0,0.0,0.0
82b917fffffffff,4.0,0.0,0.0
82b997fffffffff,2.0,0.0,0.0
82bb5ffffffffff,29.0,7.0,0.0
82be0ffffffffff,8.0,6.0,0.0
82be1ffffffffff,3.0,3.0,0.0
82be47fffffffff,5.0,5.0,0.0
82be4ffffffffff,4.0,2.0,0.0
82be57fffffffff,6.0,0.0,0.0
82be67fffffffff,14.0,7.0,0.0
82be6ffffffffff,2.0,1.0,0.0
82be77fffffffff,14.0,1.0,0.0
82bee7fffffffff,7.0,5.0,0.0
