cell_id,Milvus migrans,Milvus migrans [migrans Group],Milvus migrans lineatus/formosanus,Milvus migrans aegyptius/parasitus
8408889ffffffff,2.0,0.0,0.0,0.0
84089a9ffffffff,1.0,0.0,0.0,0.0
84089b1ffffffff,3.0,0.0,0.0,0.0
84089bbffffffff,3.0,1.0,0.0,0.0
84089d7ffffffff,2.0,0.0,0.0,0.0
8408d19ffffffff,4.0,0.0,0.0,0.0
8408d83ffffffff,2.0,2.0,0.0,0.0
8408d8bffffffff,4.0,0.0,0.0,0.0
8408da9ffffffff,1.0,0.0,0.0,0.0
8408ea1ffffffff,1.0,0.0,0.0,0.0
840a337ffffffff,14.0,0.0,13.0,0.0
840a967ffffffff,2.0,0.0,0.0,0.0
840aa6dffffffff,1.0,0.0,1.0,0.0
840ab3dffffffff,2.0,0.0,0.0,0.0
840b893ffffffff,1.0,0.0,1.0,0.0
840b917ffffffff,2.0,0.0,0.0,0.0
840b931ffffffff,4.0,0.0,0.0,0.0
840b933ffffffff,2.0,0.0,0.0,0.0
840b935ffffffff,4.0,0.0,0.0,0.0
840b937ffffffff,2.0,0.0,0.0,0.0
840b93dffffffff,2.0,0.0,0.0,0.0
840b9a7ffffffff,8.0,0.0,2.0,0.0
840bb01ffffffff,20.0,0.0,0.0,0.0
840bb03ffffffff,10.0,0.0,4.0,0.0
840bb05ffffffff,3.0,0.0,0.0,0.0
840bb07ffffffff,1.0,0.0,0.0,0.0
840bb0dffffffff,7.0,0.0,0.0,0.0
840bb1dffffffff,2.0,0.0,2.0,0.0
840bb39ffffffff,1.0,0.0,0.0,0.0
840bb63ffffffff,1.0,0.0,0.0,0.0
840bb6bffffffff,1.0,0.0,0.0,0.0
8410167ffffffff,16.0,0.0,0.0,0.0
8410231ffffffff,4.0,0.0,0.0,0.0
841023dffffffff,1.0,1.0,0.0,0.0
841081dffffffff,1.0,0.0,0.0,0.0
8410895ffffffff,1.0,0.0,0.0,0.0
8410897ffffffff,3.0,0.0,0.0,0.0
8410935ffffffff,2.0,0.0,0.0,0.0
84109b5ffffffff,1.0,0.0,0.0,0.0
8410a11ffffffff,1.0,0.0,0.0,0.0
8410a19ffffffff,10.0,0.0,0.0,0.0
8410a1dffffffff,1.0,0.0,0.0,0.0
8410b39ffffffff,4.0,0.0,0.0,0.0
8410c03ffffffff,2.0,0.0,0.0,0.0
8410c05ffffffff,7.0,0.0,0.0,0.0
8410c07ffffffff,6.0,0.0,0.0,0.0
8410c21ffffffff,4.0,0.0,0.0,0.0
8410c23ffffffff,67.0,0.0,0.0,0.0
8410c27ffffffff,14.0,0.0,0.0,0.0
8410c35ffffffff,13.0,0.0,0.0,0.0
8410d03ffffffff,2.0,0.0,0.0,0.0
8410d21ffffffff,5.0,0.0,0.0,0.0
8410d2bffffffff,2.0,0.0,0.0,0.0
8410d5bffffffff,1.0,0.0,0.0,0.0
8410dc1ffffffff,19.0,0.0,0.0,0.0
8410dc9ffffffff,92.0,0.0,0.0,0.0
8410dcdffffffff,14.0,0.0,0.0,0.0
8410de1ffffffff,2.0,0.0,0.0,0.0
8410de5ffffffff,3.0,0.0,0.0,0.0
8410ee1ffffffff,8.0,0.0,0.0,0.0
8410f01ffffffff,3.0,0.0,0.0,0.0
8410f0dffffffff,6.0,2.0,0.0,0.0
8410f29ffffffff,9.0,0.0,0.0,0.0
8410f2bffffffff,3.0,0.0,0.0,0.0
8411001ffffffff,2.0,0.0,0.0,0.0
8411015ffffffff,1.0,0.0,0.0,0.0
8411023ffffffff,2.0,0.0,0.0,0.0
841102bffffffff,6.0,0.0,0.0,0.0
8411061ffffffff,4.0,0.0,0.0,0.0
841106bffffffff,4.0,0.0,0.0,0.0
8411169ffffffff,3.0,0.0,0.0,0.0
8411199ffffffff,2.0,0.0,0.0,0.0
8411217ffffffff,1.0,0.0,0.0,0.0
841126bffffffff,2.0,2.0,0.0,0.0
