cell_id,Dryocopus lineatus,Dryocopus lineatus [lineatus Group],Dryocopus lineatus fuscipennis
8444249ffffffff,18.0,0.0,0.0
8445011ffffffff,3.0,0.0,0.0
8445019ffffffff,64.0,0.0,0.0
844501bffffffff,79.0,4.0,0.0
8445053ffffffff,35.0,0.0,0.0
8445057ffffffff,1.0,0.0,0.0
8445059ffffffff,19.0,0.0,0.0
844505bffffffff,277.0,0.0,0.0
8445081ffffffff,5.0,0.0,0.0
8445083ffffffff,149.0,6.0,0.0
8445085ffffffff,108.0,3.0,0.0
8445087ffffffff,354.0,15.0,0.0
844508bffffffff,2.0,0.0,0.0
844508dffffffff,81.0,3.0,0.0
8445091ffffffff,13.0,3.0,0.0
8445093ffffffff,4.0,2.0,0.0
8445095ffffffff,3.0,0.0,0.0
8445097ffffffff,4.0,0.0,0.0
8445099ffffffff,88.0,0.0,0.0
844509bffffffff,94.0,12.0,0.0
844509dffffffff,10.0,0.0,0.0
84450a1ffffffff,264.0,0.0,0.0
84450a3ffffffff,75.0,4.0,0.0
84450a5ffffffff,56.0,0.0,0.0
84450a7ffffffff,27.0,2.0,0.0
84450a9ffffffff,115.0,0.0,0.0
84450abffffffff,63.0,6.0,0.0
84450adffffffff,18.0,0.0,0.0
84450b1ffffffff,125.0,5.0,0.0
84450b5ffffffff,70.0,3.0,0.0
84450b9ffffffff,37.0,0.0,0.0
84450bdffffffff,24.0,0.0,0.0
84450c1ffffffff,27.0,2.0,0.0
84450c3ffffffff,3.0,0.0,0.0
84450c5ffffffff,58.0,0.0,0.0
84450c7ffffffff,9.0,0.0,0.0
84450cbffffffff,1.0,0.0,0.0
84450cdffffffff,46.0,2.0,0.0
84450d1ffffffff,15.0,9.0,0.0
84450d3ffffffff,199.0,62.0,0.0
84450d5ffffffff,81.0,37.0,0.0
84450d7ffffffff,7.0,0.0,0.0
84450d9ffffffff,2.0,0.0,0.0
84450dbffffffff,2.0,0.0,0.0
84450ddffffffff,13.0,0.0,0.0
84450e1ffffffff,2.0,0.0,0.0
84450e3ffffffff,363.0,19.0,0.0
84450e7ffffffff,5.0,0.0,0.0
84450ebffffffff,172.0,11.0,0.0
844519bffffffff,4.0,1.0,0.0
8445201ffffffff,2.0,0.0,0.0
8445203ffffffff,42.0,0.0,0.0
8445205ffffffff,165.0,0.0,0.0
8445207ffffffff,78.0,0.0,0.0
8445209ffffffff,30.0,0.0,0.0
844520bffffffff,11.0,0.0,0.0
844520dffffffff,101.0,0.0,0.0
8445211ffffffff,8.0,0.0,0.0
8445213ffffffff,78.0,0.0,0.0
8445215ffffffff,877.0,0.0,0.0
8445217ffffffff,213.0,0.0,0.0
8445219ffffffff,7.0,0.0,0.0
844521bffffffff,3.0,0.0,0.0
844521dffffffff,87.0,0.0,0.0
8445221ffffffff,104.0,0.0,0.0
8445223ffffffff,6.0,0.0,0.0
8445225ffffffff,393.0,0.0,0.0
844522bffffffff,53.0,0.0,0.0
844522dffffffff,8.0,0.0,0.0
8445231ffffffff,10.0,0.0,0.0
8445233ffffffff,576.0,0.0,0.0
844523bffffffff,121.0,0.0,0.0
8445241ffffffff,65.0,0.0,0.0
8445243ffffffff,289.0,0.0,0.0
8445245ffffffff,49.0,0.0,0.0
8445247ffffffff,279.0,0.0,0.0
8445249ffffffff,48.0,0.0,0.0
844524bffffffff,60.0,0.0,0.0
844524dffffffff,18.0,0.0,0.0
8445251ffffffff,23.0,0.0,0.0
8445253ffffffff,3.0,0.0,0.0
8445255ffffffff,105.0,0.0,0.0
8445257ffffffff,72.0,0.0,0.0
844525bffffffff,55.0,0.0,0.0
844525dffffffff,11.0,0.0,0.0
8445261ffffffff,49.0,0.0,0.0
8445263ffffffff,450.0,0.0,0.0
8445265ffffffff,2.0,0.0,0.0
8445267ffffffff,15.0,0.0,0.0
8445269ffffffff,8.0,0.0,0.0
844526bffffffff,234.0,0.0,0.0
844526dffffffff,20.0,0.0,0.0
8445281ffffffff,28.0,0.0,0.0
8445283ffffffff,44.0,2.0,0.0
8445285ffffffff,43.0,2.0,0.0
8445287ffffffff,190.0,17.0,0.0
8445289ffffffff,373.0,0.0,0.0
844528dffffffff,106.0,6.0,0.0
8445297ffffffff,14.0,0.0,0.0
844529bffffffff,10.0,0.0,0.0
84452a1ffffffff,49.0,2.0,0.0
84452a3ffffffff,9.0,0.0,0.0
84452a5ffffffff,303.0,0.0,0.0
84452a7ffffffff,33.0,0.0,0.0
84452a9ffffffff,272.0,0.0,0.0
84452abffffffff,45.0,4.0,0.0
84452adffffffff,1476.0,0.0,0.0
84452b3ffffffff,5.0,0.0,0.0
84452b5ffffffff,28.0,4.0,0.0
84452b9ffffffff,78.0,4.0,0.0
84452bdffffffff,141.0,9.0,0.0
84452c1ffffffff,38.0,0.0,0.0
84452c3ffffffff,522.0,38.0,0.0
84452c5ffffffff,103.0,12.0,0.0
