cell_id,Chroicocephalus novaehollandiae,Chroicocephalus novaehollandiae novaehollandiae/forsteri,Chroicocephalus novaehollandiae scopulinus
82941ffffffffff,2.0,0.0,0.0
82944ffffffffff,4.0,0.0,0.0
829457fffffffff,1907.0,821.0,0.0
82945ffffffffff,5.0,3.0,0.0
829487fffffffff,1986.0,769.0,0.0
829497fffffffff,115.0,28.0,0.0
8294affffffffff,91.0,34.0,0.0
8294c7fffffffff,9.0,8.0,0.0
8294e7fffffffff,46.0,11.0,0.0
8294f7fffffffff,2.0,2.0,0.0
829c07fffffffff,308.0,177.0,0.0
829c0ffffffffff,2.0,0.0,0.0
829c1ffffffffff,265.0,138.0,0.0
829c27fffffffff,2695.0,1385.0,0.0
829c47fffffffff,26.0,19.0,0.0
829c5ffffffffff,93.0,57.0,0.0
829c67fffffffff,2.0,0.0,0.0
829c6ffffffffff,3.0,0.0,0.0
829c77fffffffff,80.0,31.0,0.0
829ce7fffffffff,44.0,11.0,0.0
829ceffffffffff,121.0,103.0,0.0
829cf7fffffffff,121.0,86.0,0.0
829d07fffffffff,295.0,69.0,0.0
829d0ffffffffff,525.0,229.0,0.0
829d27fffffffff,755.0,308.0,0.0
829d2ffffffffff,52.0,19.0,0.0
829d47fffffffff,4.0,2.0,0.0
829d4ffffffffff,117.0,44.0,0.0
829d57fffffffff,2.0,2.0,0.0
829d6ffffffffff,22.0,9.0,0.0
829d77fffffffff,5.0,4.0,0.0
829e2ffffffffff,5.0,5.0,0.0
829f57fffffffff,150.0,75.0,0.0
82a607fffffffff,45.0,25.0,0.0
82a617fffffffff,522.0,419.0,0.0
82a627fffffffff,197.0,74.0,0.0
82a637fffffffff,116.0,99.0,0.0
82a6a7fffffffff,168.0,65.0,0.0
82a707fffffffff,230.0,107.0,0.0
82a717fffffffff,2.0,1.0,0.0
82a71ffffffffff,105.0,51.0,0.0
82a727fffffffff,2258.0,1408.0,0.0
82a737fffffffff,63.0,34.0,0.0
82a79ffffffffff,118.0,53.0,0.0
82b827fffffffff,3.0,3.0,0.0
82b82ffffffffff,4.0,3.0,0.0
82b837fffffffff,58.0,21.0,0.0
82b847fffffffff,4.0,2.0,0.0
82b867fffffffff,76.0,48.0,0.0
82b887fffffffff,30.0,16.0,0.0
82b89ffffffffff,6.0,4.0,0.0
82b917fffffffff,2034.0,698.0,0.0
82b91ffffffffff,120.0,63.0,0.0
82b937fffffffff,139.0,37.0,0.0
82b95ffffffffff,16.0,12.0,0.0
82b987fffffffff,34.0,15.0,0.0
82b98ffffffffff,9.0,0.0,0.0
82b997fffffffff,11.0,7.0,0.0
82b99ffffffffff,14.0,12.0,0.0
82b9a7fffffffff,61.0,25.0,0.0
82b9affffffffff,94.0,43.0,0.0
82b9b7fffffffff,19.0,4.0,0.0
82ba27fffffffff,84.0,0.0,70.0
82bb0ffffffffff,1256.0,0.0,592.0
82bb2ffffffffff,7496.0,0.0,4939.0
82bb37fffffffff,241.0,0.0,147.0
82bb57fffffffff,7347.0,0.0,4868.0
82bb5ffffffffff,440.0,0.0,320.0
82bb77fffffffff,1321.0,0.0,729.0
82be0ffffffffff,16423.0,9334.0,0.0
82be1ffffffffff,2178.0,778.0,0.0
82be2ffffffffff,909.0,387.0,0.0
82be47fffffffff,1170.0,591.0,0.0
82be4ffffffffff,1258.0,447.0,0.0
82be57fffffffff,328.0,147.0,0.0
82be5ffffffffff,147.0,66.0,0.0
82be67fffffffff,14353.0,7708.0,0.0
82be6ffffffffff,2701.0,1355.0,0.0
82be77fffffffff,5407.0,2675.0,0.0
82be8ffffffffff,5671.0,2616.0,0.0
82beaffffffffff,2752.0,1240.0,0.0
82bec7fffffffff,2.0,0.0,0.0
82becffffffffff,58.0,15.0,0.0
82bed7fffffffff,4.0,0.0,0.0
82bee7fffffffff,56.0,27.0,0.0
82beeffffffffff,11.0,2.0,0.0
82bef7fffffffff,355.0,185.0,0.0
82bf4ffffffffff,6413.0,2642.0,0.0
82bf5ffffffffff,101.0,48.0,0.0
82bf6ffffffffff,1816.0,1175.0,0.0
82c987fffffffff,868.0,577.0,0.0
82c997fffffffff,1838.0,942.0,0.0
82c99ffffffffff,639.0,351.0,0.0
82c9b7fffffffff,768.0,481.0,0.0
82d44ffffffffff,101.0,0.0,70.0
82d46ffffffffff,106.0,0.0,74.0
82d897fffffffff,415.0,235.0,0.0
82d8b7fffffffff,69.0,32.0,0.0
82da07fffffffff,73.0,0.0,47.0
82da1ffffffffff,138.0,0.0,94.0
82da87fffffffff,3398.0,0.0,1955.0
82da8ffffffffff,461.0,0.0,345.0
82da97fffffffff,1896.0,0.0,1210.0
82daaffffffffff,2487.0,0.0,1524.0
82dab7fffffffff,370.0,0.0,259.0
