cell_id,Pachycephala simplex,Pachycephala simplex simplex/brunnescens,Pachycephala simplex [griseiceps Group]
837289fffffffff,1.0,0.0,0.0
837290fffffffff,35.0,0.0,10.0
837291fffffffff,3.0,0.0,0.0
8372a0fffffffff,6.0,0.0,4.0
8372a2fffffffff,20.0,0.0,8.0
8372d2fffffffff,46.0,0.0,10.0
8372d5fffffffff,3.0,0.0,0.0
8372d9fffffffff,16.0,0.0,0.0
8372dafffffffff,2.0,0.0,0.0
8372dbfffffffff,37.0,0.0,0.0
8372f2fffffffff,29.0,0.0,12.0
837398fffffffff,2.0,0.0,1.0
83739afffffffff,105.0,0.0,29.0
83739bfffffffff,48.0,0.0,14.0
839443fffffffff,1.0,0.0,0.0
83944bfffffffff,2.0,0.0,0.0
839450fffffffff,258.0,82.0,0.0
839451fffffffff,884.0,245.0,0.0
839453fffffffff,15.0,8.0,0.0
839455fffffffff,14.0,2.0,0.0
839458fffffffff,2.0,0.0,0.0
83945cfffffffff,18.0,6.0,0.0
83945efffffffff,3.0,2.0,0.0
8394edfffffffff,3.0,3.0,0.0
839c00fffffffff,24.0,0.0,3.0
839c04fffffffff,3.0,0.0,0.0
839c05fffffffff,144.0,0.0,24.0
839c0afffffffff,1.0,0.0,0.0
839c19fffffffff,525.0,0.0,127.0
839c20fffffffff,55.0,0.0,5.0
839c21fffffffff,43.0,0.0,3.0
839c23fffffffff,1607.0,0.0,178.0
839c25fffffffff,31.0,0.0,7.0
839c58fffffffff,2.0,0.0,0.0
839c5afffffffff,17.0,15.0,0.0
839c85fffffffff,6.0,0.0,0.0
839c8bfffffffff,16.0,0.0,0.0
839c99fffffffff,26.0,0.0,0.0
839c9dfffffffff,11.0,0.0,11.0
839ca6fffffffff,2.0,0.0,0.0
839caafffffffff,4.0,0.0,0.0
839caefffffffff,138.0,8.0,16.0
839cb5fffffffff,44.0,0.0,0.0
839cc2fffffffff,2.0,0.0,2.0
839cd3fffffffff,20.0,0.0,2.0
839ce4fffffffff,7.0,0.0,0.0
839cf5fffffffff,25.0,0.0,7.0
