cell_id,Elaenia albiceps,Elaenia albiceps [albiceps Group],Elaenia albiceps chilensis,Elaenia albiceps modesta
8366c2fffffffff,17.0,0.0,0.0,0.0
8366d0fffffffff,9.0,0.0,0.0,0.0
8366d1fffffffff,39.0,4.0,0.0,0.0
8366d3fffffffff,1623.0,166.0,0.0,0.0
8366dafffffffff,4.0,2.0,0.0,0.0
8366defffffffff,847.0,126.0,0.0,0.0
838005fffffffff,1.0,0.0,1.0,0.0
838010fffffffff,28.0,0.0,18.0,0.0
838011fffffffff,3.0,0.0,2.0,0.0
838013fffffffff,1.0,0.0,0.0,0.0
838030fffffffff,26.0,0.0,4.0,0.0
838032fffffffff,2.0,0.0,2.0,0.0
838036fffffffff,5.0,0.0,5.0,0.0
8380a4fffffffff,2.0,0.0,2.0,0.0
838102fffffffff,4.0,0.0,2.0,0.0
838119fffffffff,3.0,0.0,0.0,0.0
83811cfffffffff,2.0,0.0,2.0,0.0
838121fffffffff,2.0,0.0,0.0,0.0
838124fffffffff,4.0,0.0,2.0,0.0
83812dfffffffff,2.0,0.0,0.0,0.0
838130fffffffff,16.0,0.0,5.0,0.0
838132fffffffff,1.0,0.0,0.0,0.0
838133fffffffff,20.0,0.0,9.0,0.0
838136fffffffff,4.0,0.0,1.0,0.0
838142fffffffff,2.0,0.0,2.0,0.0
838143fffffffff,3.0,0.0,2.0,0.0
838144fffffffff,6.0,0.0,6.0,0.0
838145fffffffff,2.0,0.0,2.0,0.0
838181fffffffff,6.0,0.0,4.0,0.0
838185fffffffff,1.0,0.0,1.0,0.0
838188fffffffff,4.0,0.0,4.0,0.0
83818afffffffff,2.0,0.0,0.0,0.0
83818bfffffffff,2.0,0.0,2.0,0.0
83818cfffffffff,1.0,0.0,0.0,0.0
83818dfffffffff,3.0,0.0,3.0,0.0
83818efffffffff,8.0,0.0,6.0,0.0
8381adfffffffff,15.0,0.0,6.0,0.0
838b05fffffffff,1.0,0.0,0.0,0.0
838b0cfffffffff,1.0,0.0,0.0,0.0
838b20fffffffff,72.0,0.0,0.0,0.0
838b21fffffffff,48.0,1.0,0.0,0.0
838b22fffffffff,27.0,0.0,1.0,0.0
838b23fffffffff,2.0,0.0,0.0,0.0
838b24fffffffff,10.0,0.0,0.0,0.0
838b25fffffffff,8.0,0.0,0.0,0.0
838b2cfffffffff,141.0,0.0,0.0,0.0
838b2dfffffffff,7.0,0.0,0.0,0.0
838b2efffffffff,8.0,0.0,0.0,0.0
838b31fffffffff,2.0,0.0,2.0,0.0
838b60fffffffff,5.0,0.0,0.0,0.0
838b61fffffffff,806.0,0.0,0.0,0.0
838b62fffffffff,5.0,0.0,0.0,0.0
838b63fffffffff,3.0,0.0,0.0,0.0
838b65fffffffff,6.0,0.0,0.0,0.0
838b66fffffffff,1.0,0.0,0.0,0.0
838b6cfffffffff,170.0,0.0,0.0,0.0
838b74fffffffff,24.0,0.0,0.0,0.0
838b75fffffffff,11.0,0.0,0.0,0.0
838b96fffffffff,8.0,0.0,0.0,0.0
838ba6fffffffff,3.0,0.0,0.0,0.0
838bb5fffffffff,105.0,0.0,0.0,0.0
838e45fffffffff,8.0,0.0,0.0,0.0
