cell_id,Horornis flavolivaceus,Horornis flavolivaceus [vulcanius Group],Horornis flavolivaceus [flavolivaceus Group],Horornis flavolivaceus intricatus/oblitus
843c02dffffffff,3.0,0.0,0.0,0.0
843c0a5ffffffff,4.0,0.0,1.0,0.0
843c0b5ffffffff,1.0,0.0,0.0,0.0
843c199ffffffff,2.0,0.0,0.0,0.0
843c1c3ffffffff,2.0,0.0,0.0,0.0
843c1d3ffffffff,28.0,0.0,0.0,0.0
843c1d5ffffffff,2.0,0.0,0.0,0.0
843c581ffffffff,14.0,0.0,0.0,0.0
843c5a1ffffffff,2.0,0.0,1.0,0.0
843c5a9ffffffff,12.0,0.0,0.0,0.0
843ce4bffffffff,2.0,0.0,0.0,0.0
843ce57ffffffff,1.0,0.0,0.0,0.0
843ced1ffffffff,1.0,0.0,0.0,0.0
843d139ffffffff,2.0,0.0,0.0,0.0
843d1a9ffffffff,3.0,0.0,0.0,0.0
843d1e7ffffffff,1.0,0.0,1.0,0.0
843d1edffffffff,2.0,0.0,0.0,0.0
843d33dffffffff,1.0,0.0,0.0,0.0
843d35dffffffff,5.0,0.0,0.0,0.0
843da95ffffffff,2.0,0.0,0.0,0.0
843da97ffffffff,1.0,0.0,0.0,0.0
8468119ffffffff,6.0,6.0,0.0,0.0
