cell_id,Basileuterus rufifrons,Basileuterus rufifrons [rufifrons Group],Basileuterus rufifrons salvini
84499ddffffffff,6.0,0.0,0.0
84499e3ffffffff,11.0,4.0,0.0
84499ebffffffff,2.0,0.0,0.0
8449a23ffffffff,6.0,0.0,0.0
8449a27ffffffff,9.0,0.0,0.0
8449a2bffffffff,1.0,0.0,0.0
8449a3dffffffff,1.0,0.0,0.0
8449a81ffffffff,40.0,2.0,0.0
8449a83ffffffff,58.0,4.0,0.0
8449a85ffffffff,340.0,11.0,0.0
8449a87ffffffff,8.0,0.0,0.0
8449a8bffffffff,5.0,0.0,0.0
8449a8dffffffff,10.0,0.0,0.0
8449a91ffffffff,131.0,10.0,0.0
8449a93ffffffff,155.0,3.0,0.0
8449a95ffffffff,11.0,0.0,0.0
8449a97ffffffff,37.0,3.0,0.0
8449aa1ffffffff,37.0,2.0,0.0
8449aa3ffffffff,128.0,9.0,0.0
8449aa7ffffffff,8.0,1.0,0.0
8449aa9ffffffff,18.0,2.0,0.0
8449aabffffffff,28.0,0.0,0.0
8449ab1ffffffff,157.0,7.0,0.0
8449ab3ffffffff,16.0,0.0,0.0
8449ab5ffffffff,109.0,0.0,0.0
8449ab9ffffffff,13.0,0.0,0.0
8449abbffffffff,8.0,0.0,0.0
8449abdffffffff,3.0,0.0,0.0
8449ad7ffffffff,1.0,0.0,0.0
8449b03ffffffff,9.0,0.0,0.0
8449b0bffffffff,4.0,0.0,0.0
8449b0dffffffff,2.0,0.0,0.0
8449b15ffffffff,15.0,0.0,0.0
8449b17ffffffff,1.0,0.0,0.0
8449b19ffffffff,39.0,0.0,0.0
8449b1dffffffff,12.0,0.0,0.0
8449b21ffffffff,27.0,0.0,0.0
8449b23ffffffff,2.0,0.0,0.0
8449b25ffffffff,6.0,0.0,0.0
8449b27ffffffff,4.0,0.0,0.0
8449b2bffffffff,19.0,0.0,0.0
8449b2dffffffff,44.0,0.0,0.0
8449b31ffffffff,4.0,0.0,0.0
8449b33ffffffff,312.0,0.0,0.0
8449b35ffffffff,20.0,7.0,0.0
8449b37ffffffff,143.0,22.0,0.0
8449b3bffffffff,18.0,0.0,0.0
8449b53ffffffff,7.0,0.0,0.0
8449b57ffffffff,55.0,0.0,0.0
8449b65ffffffff,6.0,0.0,0.0
8449b67ffffffff,7.0,0.0,0.0
846d049ffffffff,20.0,0.0,0.0
846d04bffffffff,25.0,4.0,0.0
846d059ffffffff,79.0,6.0,0.0
846d05bffffffff,24.0,2.0,0.0
846d14bffffffff,1.0,0.0,0.0
846d159ffffffff,2.0,0.0,0.0
846d15dffffffff,4.0,0.0,0.0
846d203ffffffff,16.0,0.0,3.0
846d207ffffffff,39.0,0.0,0.0
846d20bffffffff,2.0,0.0,0.0
846d215ffffffff,3.0,0.0,0.0
846d217ffffffff,13.0,2.0,0.0
846d219ffffffff,3.0,0.0,0.0
846d21bffffffff,76.0,0.0,21.0
846d21dffffffff,9.0,0.0,0.0
846d221ffffffff,2.0,0.0,0.0
846d223ffffffff,23.0,2.0,5.0
846d22bffffffff,18.0,0.0,8.0
846d231ffffffff,80.0,3.0,0.0
846d235ffffffff,2.0,0.0,0.0
846d237ffffffff,4.0,0.0,0.0
846d239ffffffff,102.0,16.0,0.0
846d23bffffffff,71.0,0.0,0.0
846d23dffffffff,304.0,27.0,8.0
846d257ffffffff,4.0,0.0,0.0
846d267ffffffff,2.0,0.0,0.0
846d281ffffffff,31.0,0.0,0.0
846d283ffffffff,235.0,126.0,0.0
846d285ffffffff,4.0,4.0,0.0
846d287ffffffff,2.0,0.0,0.0
846d289ffffffff,2.0,0.0,0.0
846d28bffffffff,2.0,2.0,0.0
846d28dffffffff,15.0,2.0,0.0
846d291ffffffff,66.0,6.0,0.0
846d295ffffffff,35.0,1.0,0.0
846d299ffffffff,118.0,9.0,24.0
846d2a9ffffffff,65.0,23.0,0.0
846d2abffffffff,4.0,2.0,0.0
846d2adffffffff,2.0,0.0,0.0
846d2b9ffffffff,80.0,36.0,0.0
846d2c5ffffffff,4.0,0.0,0.0
846d2c7ffffffff,3.0,0.0,0.0
846d2d1ffffffff,624.0,0.0,405.0
846d2d3ffffffff,191.0,7.0,106.0
846d2d5ffffffff,2.0,0.0,2.0
846d2d7ffffffff,1327.0,117.0,494.0
846d2d9ffffffff,5.0,0.0,5.0
846d2e3ffffffff,10.0,1.0,0.0
846d2e5ffffffff,96.0,22.0,0.0
846d2e7ffffffff,5.0,0.0,0.0
846d2e9ffffffff,41.0,4.0,0.0
846d2ebffffffff,98.0,4.0,11.0
846d303ffffffff,11.0,0.0,0.0
846d305ffffffff,288.0,0.0,0.0
846d307ffffffff,29.0,0.0,0.0
846d30dffffffff,355.0,0.0,0.0
846d315ffffffff,51.0,0.0,0.0
846d317ffffffff,1.0,0.0,0.0
846d319ffffffff,103.0,2.0,33.0
846d321ffffffff,2.0,0.0,0.0
846d323ffffffff,13.0,0.0,0.0
846d325ffffffff,1.0,0.0,0.0
846d329ffffffff,7.0,0.0,0.0
846d32bffffffff,2475.0,65.0,0.0
846d32dffffffff,6.0,0.0,0.0
846d333ffffffff,4.0,0.0,0.0
846d335ffffffff,33.0,0.0,0.0
846d337ffffffff,461.0,2.0,0.0
846d339ffffffff,4.0,0.0,0.0
846d33bffffffff,5.0,0.0,0.0
846d33dffffffff,267.0,2.0,0.0
846d34bffffffff,25.0,0.0,0.0
846d35bffffffff,4.0,2.0,0.0
846d35dffffffff,273.0,6.0,9.0
846d361ffffffff,7.0,0.0,0.0
846d363ffffffff,17.0,0.0,0.0
846d365ffffffff,36.0,8.0,0.0
846d367ffffffff,17.0,0.0,0.0
846d369ffffffff,14.0,0.0,0.0
846d36bffffffff,4.0,0.0,0.0
846d36dffffffff,90.0,2.0,0.0
