cell_id,Myrmornis torquata,Myrmornis torquata stictoptera,Myrmornis torquata torquata
835f01fffffffff,1.0,0.0,0.0
835f03fffffffff,19.0,0.0,0.0
835f06fffffffff,1.0,0.0,0.0
835f12fffffffff,1.0,0.0,0.0
835f13fffffffff,1.0,0.0,0.0
835f14fffffffff,7.0,0.0,0.0
835f15fffffffff,1.0,0.0,0.0
835f2bfffffffff,15.0,0.0,0.0
835f2cfffffffff,1.0,0.0,0.0
835f40fffffffff,1.0,0.0,0.0
835f42fffffffff,8.0,0.0,0.0
835f54fffffffff,13.0,0.0,0.0
835f70fffffffff,1.0,0.0,0.0
836610fffffffff,3.0,0.0,0.0
836611fffffffff,1.0,0.0,0.0
836613fffffffff,115.0,8.0,0.0
836616fffffffff,68.0,6.0,0.0
8366a5fffffffff,2.0,1.0,0.0
838065fffffffff,5.0,0.0,0.0
838068fffffffff,1.0,0.0,0.0
838074fffffffff,5.0,0.0,0.0
83814afffffffff,44.0,0.0,2.0
83814dfffffffff,1.0,0.0,0.0
83814efffffffff,24.0,0.0,1.0
838a10fffffffff,1.0,0.0,0.0
838a80fffffffff,1.0,0.0,0.0
838a82fffffffff,1.0,0.0,0.0
838a83fffffffff,1.0,0.0,0.0
838a8afffffffff,2.0,0.0,0.0
838a9cfffffffff,6.0,0.0,0.0
838aaafffffffff,6.0,0.0,0.0
838aadfffffffff,2.0,0.0,0.0
838af6fffffffff,41.0,0.0,2.0
838b9dfffffffff,5.0,0.0,0.0
