cell_id,Myiomela leucura,Myiomela leucura leucura/montium,Myiomela leucura cambodiana
843c02dffffffff,1.0,0.0,0.0
843c0a5ffffffff,4.0,0.0,0.0
843c19bffffffff,10.0,0.0,0.0
843c1a9ffffffff,1.0,1.0,0.0
843c1d3ffffffff,3.0,0.0,0.0
843c333ffffffff,3.0,0.0,0.0
843c537ffffffff,2.0,0.0,0.0
843c5bdffffffff,4.0,0.0,0.0
843cc41ffffffff,3.0,0.0,0.0
843cc55ffffffff,1.0,0.0,0.0
843ce03ffffffff,2.0,0.0,0.0
843ce4dffffffff,16.0,0.0,0.0
843ce85ffffffff,1.0,0.0,0.0
843ced5ffffffff,2.0,0.0,0.0
843cf2dffffffff,7.0,0.0,0.0
843d1e7ffffffff,42.0,0.0,0.0
843dad1ffffffff,2.0,0.0,0.0
84404c5ffffffff,3.0,3.0,0.0
8440e11ffffffff,5.0,5.0,0.0
8441035ffffffff,5.0,0.0,0.0
8441037ffffffff,27.0,0.0,0.0
84411cbffffffff,4.0,0.0,0.0
844b845ffffffff,2.0,0.0,0.0
844ba05ffffffff,5.0,0.0,0.0
844ba07ffffffff,2.0,0.0,0.0
844ba0bffffffff,4.0,0.0,0.0
844ba21ffffffff,2.0,0.0,0.0
844ba25ffffffff,7.0,0.0,0.0
844ba27ffffffff,2.0,0.0,0.0
844ba2bffffffff,16.0,0.0,0.0
846500bffffffff,82.0,0.0,0.0
8465039ffffffff,17.0,0.0,0.0
84651c1ffffffff,5.0,0.0,0.0
8465b61ffffffff,1.0,0.0,0.0
