cell_id,Anthus cinnamomeus,Anthus cinnamomeus camaroonensis,Anthus cinnamomeus eximius,Anthus cinnamomeus [cinnamomeus Group],Anthus cinnamomeus latistriatus,Anthus cinnamomeus grotei
825207fffffffff,27.0,0.0,0.0,0.0,0.0,0.0
825287fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
825297fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
82529ffffffffff,54.0,0.0,0.0,10.0,0.0,0.0
8252d7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
826a5ffffffffff,19.0,0.0,0.0,0.0,0.0,0.0
826ac7fffffffff,489.0,0.0,0.0,69.0,0.0,0.0
826acffffffffff,208.0,0.0,0.0,16.0,0.0,0.0
826adffffffffff,234.0,0.0,0.0,11.0,0.0,0.0
826aeffffffffff,86.0,0.0,0.0,8.0,0.0,0.0
827a47fffffffff,164.0,0.0,0.0,0.0,0.0,0.0
827a4ffffffffff,60.0,0.0,0.0,0.0,0.0,0.0
827a5ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0
827a67fffffffff,411.0,0.0,0.0,2.0,0.0,0.0
827a6ffffffffff,1548.0,0.0,0.0,20.0,0.0,0.0
827acffffffffff,112.0,0.0,0.0,15.0,0.0,0.0
827adffffffffff,11.0,0.0,0.0,0.0,0.0,0.0
827aeffffffffff,23.0,0.0,0.0,7.0,0.0,0.0
827b4ffffffffff,33.0,0.0,0.0,1.0,0.0,0.0
827b5ffffffffff,255.0,0.0,0.0,0.0,0.0,0.0
827b6ffffffffff,23.0,0.0,0.0,0.0,0.0,0.0
8282d7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
828307fffffffff,6.0,0.0,0.0,3.0,0.0,0.0
828317fffffffff,4.0,0.0,0.0,1.0,0.0,0.0
82831ffffffffff,1.0,0.0,0.0,1.0,0.0,0.0
828327fffffffff,14.0,0.0,0.0,5.0,0.0,0.0
828337fffffffff,8.0,0.0,0.0,3.0,0.0,0.0
829607fffffffff,31.0,0.0,0.0,3.0,0.0,0.0
82960ffffffffff,9.0,0.0,0.0,0.0,0.0,0.0
829617fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
829627fffffffff,59.0,0.0,0.0,1.0,0.0,0.0
82962ffffffffff,86.0,0.0,0.0,7.0,0.0,0.0
829637fffffffff,13.0,0.0,0.0,0.0,0.0,0.0
829667fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
829677fffffffff,16.0,0.0,0.0,1.0,0.0,0.0
829687fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
829697fffffffff,637.0,0.0,0.0,99.0,0.0,0.0
82969ffffffffff,16.0,0.0,0.0,1.0,0.0,0.0
8296a7fffffffff,74.0,0.0,0.0,8.0,0.0,0.0
8296affffffffff,5.0,0.0,0.0,2.0,0.0,0.0
8296b7fffffffff,69.0,0.0,0.0,3.0,0.0,0.0
829707fffffffff,55.0,0.0,0.0,4.0,0.0,0.0
82970ffffffffff,20.0,0.0,0.0,0.0,0.0,0.0
829717fffffffff,171.0,0.0,0.0,0.0,0.0,0.0
82971ffffffffff,32.0,0.0,0.0,2.0,0.0,0.0
829727fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
82972ffffffffff,195.0,0.0,0.0,35.0,0.0,0.0
829737fffffffff,14.0,0.0,0.0,0.0,0.0,0.0
829747fffffffff,211.0,0.0,0.0,11.0,0.0,0.0
82974ffffffffff,265.0,0.0,0.0,57.0,0.0,0.0
829757fffffffff,82.0,0.0,0.0,8.0,0.0,0.0
82975ffffffffff,195.0,0.0,0.0,20.0,0.0,0.0
829777fffffffff,16.0,0.0,0.0,0.0,0.0,0.0
82978ffffffffff,27.0,0.0,0.0,0.0,0.0,0.0
82979ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8297a7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8297affffffffff,18.0,0.0,0.0,0.0,0.0,0.0
82ac87fffffffff,549.0,0.0,0.0,0.0,0.0,0.0
82ac8ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82ac97fffffffff,58.0,0.0,0.0,11.0,0.0,0.0
82ac9ffffffffff,11.0,0.0,0.0,0.0,0.0,0.0
82aca7fffffffff,122.0,0.0,0.0,0.0,0.0,0.0
82acb7fffffffff,13.0,0.0,0.0,0.0,0.0,0.0
82ad17fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
82ad37fffffffff,775.0,0.0,0.0,210.0,0.0,0.0
82ad87fffffffff,4.0,0.0,0.0,2.0,0.0,0.0
