cell_id,Henicorhina leucosticta,Henicorhina leucosticta [prostheleuca Group],Henicorhina leucosticta pittieri/costaricensis,Henicorhina leucosticta inornata/eucharis,Henicorhina leucosticta [leucosticta Group]
834501fffffffff,26.0,0.0,0.0,0.0,0.0
834505fffffffff,117.0,0.0,0.0,0.0,0.0
83450afffffffff,6.0,0.0,0.0,0.0,0.0
83450cfffffffff,13.0,0.0,0.0,0.0,0.0
83450efffffffff,10.0,0.0,0.0,0.0,0.0
834520fffffffff,913.0,0.0,0.0,0.0,0.0
834521fffffffff,1362.0,0.0,0.0,0.0,0.0
834522fffffffff,1117.0,0.0,0.0,0.0,0.0
834523fffffffff,1451.0,0.0,0.0,0.0,0.0
834524fffffffff,51.0,0.0,0.0,0.0,0.0
834525fffffffff,184.0,0.0,0.0,0.0,0.0
834526fffffffff,914.0,0.0,0.0,0.0,0.0
834528fffffffff,593.0,4.0,0.0,0.0,0.0
834529fffffffff,6.0,0.0,0.0,0.0,0.0
83452afffffffff,1321.0,0.0,0.0,0.0,0.0
83452bfffffffff,23.0,0.0,0.0,0.0,0.0
83452cfffffffff,784.0,11.0,0.0,0.0,0.0
83452dfffffffff,427.0,20.0,0.0,0.0,0.0
83452efffffffff,8980.0,4.0,0.0,0.0,0.0
834530fffffffff,98.0,0.0,0.0,0.0,0.0
834531fffffffff,91.0,0.0,0.0,0.0,0.0
834532fffffffff,104.0,0.0,0.0,0.0,0.0
834534fffffffff,143.0,0.0,0.0,0.0,0.0
834535fffffffff,303.0,0.0,0.0,0.0,0.0
834536fffffffff,152.0,0.0,0.0,0.0,0.0
834564fffffffff,75.0,2.0,0.0,0.0,0.0
834990fffffffff,20.0,0.0,0.0,0.0,0.0
834991fffffffff,6.0,0.0,0.0,0.0,0.0
834993fffffffff,2.0,2.0,0.0,0.0,0.0
834996fffffffff,424.0,44.0,0.0,0.0,0.0
834998fffffffff,1.0,0.0,0.0,0.0,0.0
83499cfffffffff,5.0,0.0,0.0,0.0,0.0
83499efffffffff,5.0,0.0,0.0,0.0,0.0
