cell_id,Henicorhina leucosticta,Henicorhina leucosticta [prostheleuca Group],Henicorhina leucosticta pittieri/costaricensis,Henicorhina leucosticta inornata/eucharis,Henicorhina leucosticta [leucosticta Group]
834520fffffffff,1.0,1.0,0.0,0.0,0.0
834525fffffffff,1.0,0.0,0.0,0.0,0.0
834526fffffffff,21.0,0.0,0.0,0.0,0.0
83452dfffffffff,1.0,0.0,0.0,0.0,0.0
83452efffffffff,3.0,3.0,0.0,0.0,0.0
834990fffffffff,7.0,7.0,0.0,0.0,0.0
834996fffffffff,17.0,0.0,0.0,0.0,0.0
83499cfffffffff,16.0,0.0,0.0,0.0,0.0
835f01fffffffff,1.0,0.0,0.0,0.0,1.0
835f40fffffffff,2.0,0.0,0.0,0.0,0.0
835f42fffffffff,2.0,0.0,0.0,0.0,0.0
836610fffffffff,2.0,0.0,0.0,0.0,0.0
836619fffffffff,2.0,0.0,0.0,0.0,2.0
83661bfffffffff,2.0,0.0,0.0,0.0,0.0
8366a0fffffffff,12.0,0.0,0.0,0.0,0.0
8366b0fffffffff,4.0,0.0,4.0,0.0,0.0
8366b4fffffffff,6.0,0.0,2.0,0.0,0.0
8366b5fffffffff,5.0,0.0,2.0,0.0,0.0
8366d0fffffffff,9.0,0.0,0.0,9.0,0.0
8366d3fffffffff,31.0,0.0,0.0,0.0,2.0
8366defffffffff,4.0,0.0,0.0,0.0,0.0
83679afffffffff,1.0,0.0,1.0,0.0,0.0
836d21fffffffff,3.0,0.0,0.0,0.0,0.0
836d22fffffffff,2.0,2.0,0.0,0.0,0.0
836d23fffffffff,4.0,0.0,0.0,0.0,0.0
836d2bfffffffff,6.0,4.0,0.0,0.0,0.0
836d30fffffffff,6.0,4.0,0.0,0.0,0.0
836d31fffffffff,1.0,0.0,0.0,0.0,0.0
836d35fffffffff,5.0,2.0,0.0,0.0,0.0
836d68fffffffff,4.0,0.0,0.0,0.0,0.0
836d69fffffffff,20.0,0.0,14.0,0.0,0.0
838a45fffffffff,1.0,0.0,0.0,0.0,0.0
838af0fffffffff,1.0,0.0,0.0,0.0,0.0
838e64fffffffff,2.0,0.0,0.0,0.0,0.0
838f2cfffffffff,5.0,0.0,0.0,0.0,0.0
838f71fffffffff,2.0,0.0,0.0,0.0,0.0
