cell_id,Fulica alai,Fulica alai (Red-shielded),Fulica alai (White-shielded)
834648fffffffff,5.0,2.0,3.0
834649fffffffff,3.0,0.0,1.0
83464efffffffff,3.0,0.0,3.0
835d11fffffffff,2.0,1.0,1.0
835d16fffffffff,17.0,0.0,7.0
