cell_id,Onychorhynchus coronatus,Onychorhynchus coronatus mexicanus/fraterculus,Onychorhynchus coronatus occidentalis,Onychorhynchus coronatus coronatus/castelnaui
834501fffffffff,2.0,0.0,0.0,0.0
834505fffffffff,15.0,0.0,0.0,0.0
834508fffffffff,49.0,0.0,0.0,0.0
83450afffffffff,80.0,3.0,0.0,0.0
83450bfffffffff,6.0,0.0,0.0,0.0
83450cfffffffff,81.0,13.0,0.0,0.0
83450dfffffffff,46.0,0.0,0.0,0.0
83450efffffffff,152.0,28.0,0.0,0.0
834520fffffffff,92.0,0.0,0.0,0.0
834521fffffffff,125.0,6.0,0.0,0.0
834522fffffffff,183.0,14.0,0.0,0.0
834523fffffffff,170.0,22.0,0.0,0.0
834525fffffffff,46.0,0.0,0.0,0.0
834526fffffffff,26.0,0.0,0.0,0.0
834528fffffffff,373.0,113.0,0.0,0.0
834529fffffffff,3.0,0.0,0.0,0.0
83452afffffffff,548.0,107.0,0.0,0.0
83452bfffffffff,104.0,12.0,0.0,0.0
83452cfffffffff,269.0,32.0,0.0,0.0
83452dfffffffff,230.0,44.0,0.0,0.0
83452efffffffff,1908.0,201.0,0.0,0.0
834530fffffffff,19.0,0.0,0.0,0.0
834531fffffffff,14.0,0.0,0.0,0.0
834532fffffffff,3.0,0.0,0.0,0.0
834534fffffffff,19.0,0.0,0.0,0.0
834535fffffffff,2.0,0.0,0.0,0.0
834536fffffffff,18.0,0.0,0.0,0.0
834576fffffffff,1.0,0.0,0.0,0.0
835f10fffffffff,2.0,0.0,0.0,0.0
835f11fffffffff,2.0,0.0,0.0,0.0
835f1cfffffffff,2.0,0.0,0.0,0.0
835f28fffffffff,1.0,0.0,0.0,0.0
835f2bfffffffff,9.0,0.0,0.0,0.0
835f42fffffffff,1.0,0.0,0.0,0.0
835f50fffffffff,4.0,0.0,0.0,0.0
835f54fffffffff,2.0,0.0,0.0,0.0
835f71fffffffff,1.0,0.0,0.0,0.0
835f75fffffffff,3.0,0.0,0.0,0.0
836608fffffffff,12.0,0.0,0.0,0.0
83660afffffffff,3.0,0.0,0.0,0.0
83660efffffffff,2.0,0.0,0.0,0.0
836610fffffffff,373.0,43.0,0.0,0.0
836611fffffffff,9.0,0.0,0.0,0.0
836612fffffffff,9.0,1.0,0.0,0.0
836613fffffffff,51.0,8.0,0.0,0.0
836616fffffffff,444.0,66.0,0.0,0.0
836619fffffffff,1.0,0.0,0.0,0.0
83661bfffffffff,2.0,0.0,0.0,0.0
83661cfffffffff,2.0,0.0,0.0,0.0
83661efffffffff,18.0,0.0,0.0,0.0
836620fffffffff,5.0,2.0,0.0,0.0
836621fffffffff,5.0,0.0,0.0,0.0
836622fffffffff,11.0,4.0,0.0,0.0
836641fffffffff,44.0,0.0,0.0,0.0
83664efffffffff,4.0,0.0,0.0,4.0
83665afffffffff,14.0,0.0,0.0,2.0
83665bfffffffff,11.0,0.0,0.0,7.0
83666bfffffffff,2.0,0.0,0.0,0.0
8366a0fffffffff,1.0,0.0,0.0,0.0
8366a2fffffffff,1.0,0.0,0.0,0.0
8366a3fffffffff,44.0,0.0,0.0,0.0
8366a5fffffffff,249.0,29.0,0.0,0.0
8366b0fffffffff,58.0,0.0,0.0,0.0
8366b4fffffffff,29.0,0.0,0.0,0.0
8366b5fffffffff,233.0,2.0,0.0,0.0
8366d8fffffffff,13.0,0.0,0.0,8.0
8366dcfffffffff,21.0,0.0,0.0,3.0
8366ddfffffffff,2.0,0.0,0.0,0.0
8366e4fffffffff,2.0,0.0,0.0,0.0
8366e8fffffffff,2.0,0.0,0.0,0.0
8366e9fffffffff,5.0,0.0,0.0,0.0
8366eafffffffff,5.0,0.0,0.0,5.0
8366ecfffffffff,3.0,0.0,0.0,0.0
8366eefffffffff,2.0,0.0,0.0,0.0
836794fffffffff,2.0,0.0,0.0,0.0
836796fffffffff,31.0,0.0,0.0,0.0
83679afffffffff,234.0,0.0,0.0,0.0
83679bfffffffff,48.0,2.0,0.0,0.0
836d04fffffffff,6.0,4.0,0.0,0.0
836d05fffffffff,23.0,17.0,0.0,0.0
836d20fffffffff,26.0,0.0,0.0,0.0
836d21fffffffff,98.0,18.0,0.0,0.0
836d22fffffffff,24.0,2.0,0.0,0.0
836d23fffffffff,27.0,5.0,0.0,0.0
836d2cfffffffff,212.0,70.0,0.0,0.0
836d2dfffffffff,34.0,0.0,0.0,0.0
836d2efffffffff,2.0,0.0,0.0,0.0
836d30fffffffff,25.0,1.0,0.0,0.0
836d31fffffffff,12.0,0.0,0.0,0.0
836d35fffffffff,4.0,2.0,0.0,0.0
836d65fffffffff,11.0,0.0,0.0,0.0
836d68fffffffff,258.0,0.0,0.0,0.0
836d69fffffffff,1376.0,0.0,0.0,0.0
836d6afffffffff,2.0,0.0,0.0,0.0
836d6bfffffffff,291.0,0.0,0.0,0.0
836d6dfffffffff,436.0,0.0,0.0,0.0
838046fffffffff,26.0,0.0,0.0,14.0
838049fffffffff,1.0,0.0,0.0,0.0
838061fffffffff,2.0,0.0,0.0,0.0
838062fffffffff,2.0,0.0,0.0,0.0
838065fffffffff,14.0,0.0,0.0,10.0
83806bfffffffff,1.0,0.0,0.0,1.0
838074fffffffff,4.0,0.0,0.0,0.0
838143fffffffff,2.0,0.0,0.0,1.0
83814afffffffff,34.0,0.0,0.0,9.0
83814dfffffffff,24.0,0.0,0.0,21.0
83814efffffffff,31.0,0.0,0.0,3.0
838159fffffffff,7.0,0.0,0.0,0.0
83815afffffffff,2.0,0.0,0.0,1.0
83815dfffffffff,39.0,0.0,0.0,11.0
838163fffffffff,3.0,0.0,0.0,0.0
838a00fffffffff,1.0,0.0,0.0,1.0
838a05fffffffff,1.0,0.0,0.0,1.0
838a10fffffffff,6.0,0.0,0.0,0.0
838a15fffffffff,9.0,0.0,0.0,1.0
838a1afffffffff,3.0,0.0,0.0,3.0
838a21fffffffff,4.0,0.0,0.0,0.0
838a2cfffffffff,2.0,0.0,0.0,2.0
838a31fffffffff,7.0,0.0,0.0,2.0
838a33fffffffff,2.0,0.0,0.0,2.0
838a45fffffffff,28.0,0.0,0.0,4.0
838a56fffffffff,2.0,0.0,0.0,2.0
838a5afffffffff,1.0,0.0,0.0,1.0
838a63fffffffff,5.0,0.0,0.0,4.0
838a68fffffffff,2.0,0.0,0.0,0.0
838a69fffffffff,2.0,0.0,0.0,0.0
838a6dfffffffff,53.0,0.0,0.0,0.0
838a70fffffffff,4.0,0.0,0.0,0.0
838a80fffffffff,7.0,0.0,0.0,5.0
838a90fffffffff,1.0,0.0,0.0,0.0
838a9cfffffffff,10.0,0.0,0.0,4.0
838aacfffffffff,4.0,0.0,0.0,0.0
838aadfffffffff,4.0,0.0,0.0,2.0
