cell_id,Calidris ptilocnemis,Calidris ptilocnemis ptilocnemis,Calidris ptilocnemis quarta,Calidris ptilocnemis tschuktschorum,Calidris ptilocnemis couesi,Calidris ptilocnemis quarta/tschuktschorum/couesi
830c14fffffffff,24.0,0.0,0.0,17.0,0.0,0.0
830c41fffffffff,44.0,4.0,0.0,0.0,0.0,0.0
830c42fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830c45fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
830c50fffffffff,38.0,0.0,0.0,0.0,0.0,0.0
830c51fffffffff,57.0,0.0,0.0,0.0,0.0,2.0
830c52fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830c55fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
830c5afffffffff,17.0,0.0,0.0,0.0,0.0,0.0
830c73fffffffff,22.0,0.0,0.0,0.0,0.0,0.0
830c80fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830ca4fffffffff,25.0,0.0,0.0,19.0,0.0,0.0
830ccdfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830cdefffffffff,15.0,0.0,0.0,0.0,0.0,0.0
830cf4fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830d89fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83129bfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8312b0fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8312b4fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
831393fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83139efffffffff,1.0,0.0,0.0,0.0,0.0,0.0
831d24fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8322d0fffffffff,3.0,0.0,0.0,0.0,1.0,2.0
8322dbfffffffff,87.0,61.0,0.0,5.0,1.0,2.0
832802fffffffff,17.0,0.0,0.0,1.0,1.0,0.0
832803fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
832806fffffffff,28.0,0.0,0.0,0.0,0.0,0.0
832819fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
83281bfffffffff,4.0,0.0,0.0,0.0,0.0,0.0
83281cfffffffff,10.0,0.0,0.0,0.0,0.0,0.0
832830fffffffff,491.0,0.0,0.0,18.0,0.0,3.0
832831fffffffff,71.0,0.0,0.0,0.0,0.0,0.0
832834fffffffff,58.0,0.0,0.0,0.0,0.0,0.0
832835fffffffff,80.0,0.0,0.0,0.0,0.0,0.0
8328c6fffffffff,52.0,0.0,0.0,0.0,0.0,5.0
8328d1fffffffff,138.0,0.0,0.0,0.0,0.0,4.0
8328d5fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
8328d8fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8328d9fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8328dcfffffffff,12.0,0.0,0.0,0.0,0.0,0.0
8328ddfffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8328defffffffff,28.0,0.0,0.0,0.0,0.0,0.0
8328f1fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8328f5fffffffff,17.0,0.0,0.0,0.0,0.0,0.0
8329a1fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8329adfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
832e12fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
832eacfffffffff,9.0,0.0,1.0,0.0,0.0,0.0
