cell_id,Myiopagis olallai,Myiopagis olallai coopmansi,Myiopagis olallai incognita,Myiopagis olallai olallai
8266dffffffffff,261.0,0.0,0.0,24.0
828f77fffffffff,217.0,0.0,0.0,15.0
