cell_id,Cisticola textrix,Cisticola textrix [major Group],Cisticola textrix textrix
839670fffffffff,1.0,0.0,0.0
83972dfffffffff,2.0,0.0,0.0
83bc89fffffffff,3.0,0.0,0.0
83bcc2fffffffff,2.0,0.0,0.0
83bcc3fffffffff,2.0,0.0,0.0
83bcc6fffffffff,2.0,0.0,0.0
83bcd4fffffffff,1.0,1.0,0.0
83bcdcfffffffff,10.0,2.0,0.0
83bcdefffffffff,2.0,2.0,0.0
83bce2fffffffff,3.0,2.0,0.0
83bce6fffffffff,20.0,7.0,0.0
83bcf0fffffffff,1.0,0.0,0.0
83bcf1fffffffff,1.0,0.0,0.0
83bcf2fffffffff,7.0,4.0,0.0
83bcf3fffffffff,12.0,9.0,0.0
83bcf5fffffffff,3.0,0.0,0.0
