cell_id,Asthenes fuliginosa,Asthenes fuliginosa fumigata,Asthenes fuliginosa fuliginosa,Asthenes fuliginosa peruviana/plengei
82660ffffffffff,250.0,0.0,0.0,0.0
8266c7fffffffff,27.0,0.0,0.0,0.0
8266d7fffffffff,1256.0,0.0,43.0,0.0
8266dffffffffff,50.0,0.0,0.0,0.0
8266e7fffffffff,1520.0,0.0,0.0,0.0
8266f7fffffffff,1.0,0.0,0.0,0.0
828e67fffffffff,4.0,0.0,0.0,0.0
828f2ffffffffff,5.0,0.0,0.0,0.0
828f47fffffffff,25.0,0.0,0.0,0.0
828f4ffffffffff,20.0,0.0,0.0,0.0
828f57fffffffff,191.0,0.0,0.0,0.0
828f5ffffffffff,197.0,0.0,0.0,0.0
828f77fffffffff,2.0,0.0,0.0,0.0
