cell_id,Phylloscopus collybita,Phylloscopus collybita [collybita Group],Phylloscopus collybita tristis
820747fffffffff,10.0,2.0,0.0
82074ffffffffff,3.0,0.0,0.0
820767fffffffff,37.0,10.0,4.0
820777fffffffff,4.0,0.0,0.0
820887fffffffff,4.0,0.0,2.0
82088ffffffffff,2.0,2.0,0.0
82089ffffffffff,4.0,0.0,4.0
8208cffffffffff,3.0,0.0,3.0
8208d7fffffffff,2.0,0.0,2.0
820987fffffffff,3.0,0.0,1.0
820997fffffffff,3.0,0.0,1.0
82099ffffffffff,3.0,0.0,2.0
8209a7fffffffff,2.0,0.0,0.0
820ca7fffffffff,117.0,0.0,56.0
820d07fffffffff,3.0,0.0,3.0
821137fffffffff,7.0,0.0,0.0
82118ffffffffff,2.0,0.0,2.0
82182ffffffffff,23.0,0.0,20.0
821847fffffffff,3.0,1.0,0.0
82184ffffffffff,143.0,26.0,68.0
82185ffffffffff,96.0,18.0,3.0
821867fffffffff,2.0,0.0,0.0
821877fffffffff,14.0,0.0,14.0
821907fffffffff,1.0,0.0,1.0
82190ffffffffff,2.0,0.0,0.0
821927fffffffff,4.0,0.0,0.0
82192ffffffffff,9.0,0.0,0.0
821947fffffffff,51.0,0.0,48.0
82194ffffffffff,55.0,1.0,46.0
821957fffffffff,6.0,0.0,2.0
82195ffffffffff,25.0,2.0,22.0
82196ffffffffff,2.0,0.0,2.0
821977fffffffff,13.0,0.0,10.0
821e07fffffffff,27.0,7.0,4.0
821e0ffffffffff,14.0,0.0,2.0
821e17fffffffff,8.0,1.0,5.0
821e1ffffffffff,3.0,0.0,1.0
821e27fffffffff,15.0,0.0,2.0
821e2ffffffffff,3.0,0.0,0.0
821e37fffffffff,60.0,21.0,3.0
821e5ffffffffff,9.0,9.0,0.0
821e6ffffffffff,1.0,0.0,0.0
821e87fffffffff,2.0,0.0,2.0
821ea7fffffffff,12.0,3.0,1.0
821eb7fffffffff,2.0,0.0,2.0
821ec7fffffffff,21.0,0.0,0.0
821ecffffffffff,15.0,0.0,0.0
821edffffffffff,6.0,0.0,5.0
821eeffffffffff,5.0,0.0,2.0
821ef7fffffffff,20.0,12.0,0.0
821f07fffffffff,9.0,2.0,1.0
821f0ffffffffff,4.0,2.0,0.0
821f17fffffffff,2.0,0.0,0.0
821f1ffffffffff,10.0,10.0,0.0
821f27fffffffff,3.0,0.0,3.0
821f2ffffffffff,43.0,16.0,18.0
821f37fffffffff,7.0,0.0,6.0
821f57fffffffff,4.0,2.0,0.0
821f5ffffffffff,1.0,0.0,0.0
821f77fffffffff,45.0,5.0,17.0
821f87fffffffff,11.0,0.0,6.0
821f8ffffffffff,9.0,0.0,2.0
821f9ffffffffff,1.0,0.0,1.0
821fa7fffffffff,6.0,0.0,0.0
821faffffffffff,121.0,109.0,8.0
821fb7fffffffff,3.0,0.0,2.0
82201ffffffffff,2.0,0.0,1.0
82208ffffffffff,1.0,0.0,0.0
8220a7fffffffff,2.0,0.0,1.0
8220affffffffff,2.0,0.0,0.0
8220b7fffffffff,1.0,0.0,0.0
8220e7fffffffff,1.0,0.0,0.0
8220f7fffffffff,2.0,0.0,0.0
822407fffffffff,2.0,0.0,2.0
82240ffffffffff,1.0,0.0,1.0
822457fffffffff,3.0,0.0,3.0
822517fffffffff,57.0,0.0,57.0
822c07fffffffff,36.0,0.0,7.0
822c0ffffffffff,93.0,1.0,88.0
822c1ffffffffff,2.0,2.0,0.0
822c27fffffffff,5.0,0.0,1.0
822c2ffffffffff,22.0,0.0,7.0
822c4ffffffffff,1.0,0.0,0.0
822c57fffffffff,4.0,0.0,0.0
822c97fffffffff,13.0,0.0,0.0
822cc7fffffffff,5.0,0.0,4.0
822cd7fffffffff,2.0,0.0,2.0
822ce7fffffffff,14.0,0.0,4.0
822cf7fffffffff,14.0,0.0,6.0
822d17fffffffff,2.0,0.0,0.0
822d27fffffffff,2.0,0.0,0.0
822d37fffffffff,1.0,0.0,0.0
822d5ffffffffff,4.0,0.0,4.0
822d67fffffffff,2.0,0.0,0.0
822da7fffffffff,2.0,2.0,0.0
822db7fffffffff,44.0,9.0,16.0
8230e7fffffffff,5.0,0.0,4.0
8231affffffffff,8.0,0.0,0.0
823427fffffffff,4.0,0.0,0.0
82344ffffffffff,1.0,0.0,0.0
82346ffffffffff,23.0,4.0,0.0
82351ffffffffff,4.0,0.0,0.0
823817fffffffff,2.0,0.0,0.0
82381ffffffffff,1.0,0.0,0.0
823827fffffffff,2.0,0.0,0.0
823867fffffffff,21.0,5.0,0.0
823877fffffffff,39.0,13.0,0.0
8238affffffffff,2.0,0.0,0.0
8238cffffffffff,2.0,0.0,0.0
8238e7fffffffff,1.0,0.0,0.0
8238effffffffff,2.0,0.0,0.0
823907fffffffff,213.0,35.0,10.0
82390ffffffffff,34.0,11.0,0.0
823917fffffffff,68.0,3.0,0.0
82391ffffffffff,66.0,16.0,0.0
823927fffffffff,188.0,23.0,6.0
82392ffffffffff,94.0,6.0,8.0
823937fffffffff,42.0,0.0,6.0
823947fffffffff,89.0,76.0,6.0
823957fffffffff,20.0,0.0,4.0
82395ffffffffff,62.0,33.0,12.0
823967fffffffff,12.0,7.0,0.0
82396ffffffffff,6.0,0.0,5.0
823977fffffffff,235.0,94.0,7.0
82399ffffffffff,4.0,0.0,0.0
823c0ffffffffff,11.0,0.0,0.0
823c1ffffffffff,11.0,0.0,5.0
823c37fffffffff,2.0,0.0,0.0
823c5ffffffffff,1.0,0.0,0.0
823c8ffffffffff,12.0,1.0,0.0
823c97fffffffff,9.0,0.0,0.0
823caffffffffff,5.0,0.0,1.0
823cb7fffffffff,8.0,0.0,3.0
823cc7fffffffff,4.0,0.0,0.0
823ce7fffffffff,10.0,0.0,1.0
823cf7fffffffff,48.0,0.0,4.0
823d07fffffffff,15.0,0.0,5.0
823d17fffffffff,4.0,0.0,0.0
823d1ffffffffff,5.0,0.0,0.0
823d27fffffffff,13.0,0.0,0.0
823d37fffffffff,5.0,0.0,2.0
823d87fffffffff,20.0,0.0,10.0
823d8ffffffffff,10.0,0.0,0.0
823d97fffffffff,2.0,0.0,0.0
823da7fffffffff,53.0,0.0,44.0
823daffffffffff,19.0,2.0,4.0
823db7fffffffff,4.0,2.0,0.0
823e67fffffffff,8.0,0.0,0.0
823e6ffffffffff,25.0,8.0,13.0
823f37fffffffff,17.0,0.0,17.0
823f4ffffffffff,3.0,0.0,0.0
823f67fffffffff,9.0,0.0,0.0
823f6ffffffffff,6.0,0.0,0.0
823f77fffffffff,2.0,0.0,2.0
82404ffffffffff,3.0,0.0,3.0
824107fffffffff,5.0,0.0,4.0
82411ffffffffff,23.0,0.0,11.0
8241b7fffffffff,2.0,0.0,0.0
82424ffffffffff,3.0,0.0,0.0
824257fffffffff,4.0,1.0,3.0
82425ffffffffff,3.0,0.0,3.0
8242c7fffffffff,30.0,0.0,22.0
8242cffffffffff,48.0,0.0,28.0
8242effffffffff,10.0,0.0,7.0
82431ffffffffff,3.0,0.0,3.0
824367fffffffff,1.0,0.0,1.0
82438ffffffffff,2.0,0.0,2.0
824397fffffffff,6.0,0.0,6.0
82439ffffffffff,1.0,0.0,1.0
8243a7fffffffff,3.0,2.0,1.0
8243affffffffff,8.0,4.0,2.0
824b37fffffffff,1.0,0.0,1.0
824b77fffffffff,2.0,0.0,2.0
824ba7fffffffff,11.0,0.0,0.0
825207fffffffff,2.0,0.0,2.0
82524ffffffffff,6.0,0.0,6.0
82526ffffffffff,10.0,0.0,10.0
825347fffffffff,1.0,1.0,0.0
82534ffffffffff,4.0,0.0,0.0
825357fffffffff,3.0,0.0,0.0
8253a7fffffffff,1.0,0.0,1.0
825417fffffffff,2.0,0.0,0.0
825437fffffffff,1.0,0.0,0.0
8254f7fffffffff,2.0,0.0,0.0
8255affffffffff,2.0,0.0,0.0
825907fffffffff,13.0,0.0,0.0
82590ffffffffff,2.0,0.0,0.0
82592ffffffffff,2.0,0.0,0.0
825967fffffffff,3.0,0.0,0.0
825977fffffffff,9.0,0.0,0.0
826007fffffffff,2.0,0.0,0.0
826017fffffffff,1.0,0.0,0.0
82608ffffffffff,27.0,1.0,8.0
82609ffffffffff,28.0,0.0,24.0
8260a7fffffffff,30.0,3.0,0.0
8260affffffffff,22.0,0.0,6.0
8260b7fffffffff,47.0,0.0,0.0
826327fffffffff,2.0,0.0,2.0
826337fffffffff,6.0,0.0,6.0
826487fffffffff,4.0,0.0,0.0
826497fffffffff,2.0,0.0,0.0
82658ffffffffff,2.0,0.0,2.0
827a4ffffffffff,1.0,0.0,0.0
827acffffffffff,7.0,0.0,0.0
