cell_id,Cypseloides niger,Cypseloides niger borealis,Cypseloides niger costaricensis,Cypseloides niger niger
831280fffffffff,5.0,0.0,0.0,0.0
831288fffffffff,4.0,0.0,0.0,0.0
83128bfffffffff,43.0,0.0,0.0,0.0
83128dfffffffff,5.0,0.0,0.0,0.0
83128efffffffff,2.0,0.0,0.0,0.0
83129dfffffffff,3.0,3.0,0.0,0.0
8312a3fffffffff,2.0,0.0,0.0,0.0
8312c0fffffffff,18.0,0.0,0.0,0.0
8312c1fffffffff,4.0,0.0,0.0,0.0
8312c2fffffffff,6.0,0.0,0.0,0.0
8312c3fffffffff,6.0,0.0,0.0,0.0
8312c4fffffffff,3.0,3.0,0.0,0.0
8312cafffffffff,3.0,0.0,0.0,0.0
8312cbfffffffff,38.0,0.0,0.0,0.0
8312d1fffffffff,2.0,0.0,0.0,0.0
8312d2fffffffff,2.0,0.0,0.0,0.0
8312d4fffffffff,3.0,0.0,0.0,0.0
8312d8fffffffff,8.0,0.0,0.0,0.0
8312d9fffffffff,17.0,0.0,0.0,0.0
8312dafffffffff,3.0,0.0,0.0,0.0
8312dbfffffffff,6.0,0.0,0.0,0.0
8312ddfffffffff,13.0,0.0,0.0,0.0
8312e2fffffffff,3.0,0.0,0.0,0.0
8312f1fffffffff,4.0,0.0,0.0,0.0
83139bfffffffff,3.0,0.0,0.0,0.0
832681fffffffff,23.0,2.0,0.0,0.0
832683fffffffff,14.0,0.0,0.0,0.0
832688fffffffff,11.0,0.0,0.0,0.0
83268afffffffff,15.0,0.0,0.0,0.0
83268cfffffffff,3.0,0.0,0.0,0.0
83268efffffffff,3.0,0.0,0.0,0.0
832690fffffffff,98.0,16.0,0.0,0.0
832696fffffffff,165.0,11.0,0.0,0.0
832698fffffffff,21.0,0.0,0.0,0.0
832699fffffffff,8.0,0.0,0.0,0.0
83269cfffffffff,4.0,0.0,0.0,0.0
83269dfffffffff,26.0,0.0,0.0,0.0
8326aafffffffff,1.0,0.0,0.0,0.0
832792fffffffff,1.0,0.0,0.0,0.0
832802fffffffff,42.0,0.0,0.0,0.0
832806fffffffff,3.0,0.0,0.0,0.0
832810fffffffff,113.0,0.0,0.0,0.0
832811fffffffff,5.0,0.0,0.0,0.0
832814fffffffff,11.0,0.0,0.0,0.0
832819fffffffff,18.0,0.0,0.0,0.0
83281afffffffff,68.0,0.0,0.0,0.0
83281bfffffffff,15.0,0.0,0.0,0.0
83281cfffffffff,8.0,0.0,0.0,0.0
83281efffffffff,8.0,0.0,0.0,0.0
832830fffffffff,50.0,0.0,0.0,0.0
832831fffffffff,2.0,0.0,0.0,0.0
832832fffffffff,9.0,0.0,0.0,0.0
832834fffffffff,150.0,0.0,0.0,0.0
832835fffffffff,29.0,0.0,0.0,0.0
832836fffffffff,5.0,0.0,0.0,0.0
832884fffffffff,2.0,0.0,0.0,0.0
832888fffffffff,2.0,0.0,0.0,0.0
832889fffffffff,9.0,0.0,0.0,0.0
83288cfffffffff,5.0,0.0,0.0,0.0
832899fffffffff,37.0,0.0,0.0,0.0
83289afffffffff,2.0,0.0,0.0,0.0
83289bfffffffff,8.0,0.0,0.0,0.0
8328a9fffffffff,12.0,0.0,0.0,0.0
8328aafffffffff,1.0,0.0,0.0,0.0
8328c6fffffffff,2.0,0.0,0.0,0.0
8328d1fffffffff,14.0,0.0,0.0,0.0
8328d2fffffffff,13.0,0.0,0.0,0.0
8328d3fffffffff,13.0,0.0,0.0,0.0
8328d4fffffffff,15.0,0.0,0.0,0.0
8328d5fffffffff,50.0,0.0,0.0,0.0
8328d6fffffffff,11.0,0.0,0.0,0.0
8328dcfffffffff,8.0,0.0,0.0,0.0
8328defffffffff,33.0,1.0,0.0,0.0
8328f0fffffffff,14.0,0.0,0.0,0.0
8328f1fffffffff,4.0,0.0,0.0,0.0
8328f2fffffffff,18.0,0.0,0.0,0.0
8328f4fffffffff,14.0,0.0,0.0,0.0
8328f5fffffffff,13.0,0.0,0.0,0.0
8328f6fffffffff,2.0,0.0,0.0,0.0
832912fffffffff,4.0,0.0,0.0,0.0
83291afffffffff,48.0,0.0,0.0,0.0
832989fffffffff,2.0,0.0,0.0,0.0
83298cfffffffff,31.0,0.0,0.0,0.0
83298dfffffffff,10.0,0.0,0.0,0.0
832995fffffffff,1.0,0.0,0.0,0.0
8329a0fffffffff,303.0,3.0,0.0,0.0
8329a1fffffffff,36.0,0.0,0.0,0.0
8329a3fffffffff,1.0,0.0,0.0,0.0
8329a4fffffffff,53.0,0.0,0.0,0.0
8329a5fffffffff,31.0,0.0,0.0,0.0
8329a9fffffffff,2.0,0.0,0.0,0.0
8329aafffffffff,17.0,0.0,0.0,0.0
8329abfffffffff,8.0,0.0,0.0,0.0
8329acfffffffff,5.0,0.0,0.0,0.0
8329adfffffffff,7.0,0.0,0.0,0.0
8329aefffffffff,9.0,0.0,0.0,0.0
8329b6fffffffff,2.0,0.0,0.0,0.0
832aadfffffffff,2.0,0.0,0.0,0.0
832ab2fffffffff,1.0,0.0,0.0,0.0
834430fffffffff,8.0,0.0,0.0,0.0
834432fffffffff,2.0,0.0,0.0,0.0
834520fffffffff,2.0,0.0,0.0,0.0
834522fffffffff,1.0,0.0,0.0,0.0
834524fffffffff,1.0,0.0,0.0,0.0
83458cfffffffff,4.0,0.0,0.0,0.0
83458efffffffff,49.0,0.0,0.0,0.0
8345b2fffffffff,1.0,0.0,0.0,0.0
83480efffffffff,2.0,0.0,0.0,0.0
834815fffffffff,4.0,0.0,0.0,0.0
834833fffffffff,11.0,0.0,0.0,0.0
