cell_id,Anthus spinoletta,Anthus spinoletta spinoletta,Anthus spinoletta coutellii,Anthus spinoletta blakistoni
8415927ffffffff,4.0,0.0,0.0,0.0
8415b07ffffffff,7.0,0.0,0.0,0.0
8418443ffffffff,2.0,0.0,0.0,0.0
8418455ffffffff,2.0,0.0,0.0,0.0
8418461ffffffff,2.0,0.0,0.0,0.0
841846bffffffff,2.0,0.0,0.0,0.0
841846dffffffff,9.0,0.0,0.0,0.0
8418491ffffffff,10.0,0.0,0.0,0.0
8418493ffffffff,286.0,0.0,0.0,0.0
8418495ffffffff,48.0,0.0,0.0,0.0
8418497ffffffff,84.0,0.0,0.0,0.0
841849dffffffff,16.0,0.0,0.0,0.0
84184b1ffffffff,62.0,0.0,0.0,0.0
84184b3ffffffff,23.0,0.0,0.0,0.0
84184b5ffffffff,6.0,0.0,0.0,0.0
84184b7ffffffff,29.0,0.0,0.0,0.0
84184bbffffffff,26.0,0.0,0.0,0.0
84184bdffffffff,7.0,0.0,0.0,0.0
84184d5ffffffff,8.0,0.0,0.0,0.0
84184ddffffffff,3.0,0.0,0.0,0.0
8418593ffffffff,6.0,0.0,0.0,0.0
8418597ffffffff,24.0,0.0,0.0,0.0
84185b3ffffffff,137.0,0.0,0.0,0.0
84185b5ffffffff,25.0,0.0,0.0,0.0
84185b7ffffffff,11.0,0.0,0.0,0.0
84185bbffffffff,29.0,0.0,0.0,0.0
8418607ffffffff,1.0,0.0,0.0,0.0
841860dffffffff,8.0,0.0,0.0,0.0
8418623ffffffff,2.0,0.0,0.0,0.0
8418629ffffffff,6.0,0.0,0.0,0.0
841862bffffffff,4.0,0.0,0.0,0.0
841863dffffffff,4.0,0.0,0.0,0.0
841866bffffffff,2.0,0.0,0.0,0.0
84186a1ffffffff,2.0,0.0,0.0,0.0
84186a5ffffffff,1.0,0.0,0.0,0.0
84186bdffffffff,1.0,0.0,0.0,0.0
84186c1ffffffff,8.0,0.0,0.0,0.0
84186c3ffffffff,18.0,0.0,0.0,0.0
84186c5ffffffff,11.0,0.0,0.0,0.0
84186c9ffffffff,21.0,0.0,0.0,0.0
84186cbffffffff,15.0,0.0,0.0,0.0
84186ddffffffff,1.0,0.0,0.0,0.0
84186e1ffffffff,2.0,0.0,0.0,0.0
84186edffffffff,2.0,0.0,0.0,0.0
841870dffffffff,8.0,0.0,0.0,0.0
841873bffffffff,8.0,0.0,0.0,0.0
8418741ffffffff,2.0,0.0,0.0,0.0
841875dffffffff,2.0,0.0,0.0,0.0
8419401ffffffff,11.0,0.0,0.0,0.0
8419403ffffffff,10.0,0.0,0.0,0.0
8419405ffffffff,16.0,0.0,0.0,0.0
8419407ffffffff,2.0,0.0,0.0,0.0
8419411ffffffff,37.0,7.0,0.0,0.0
8419413ffffffff,40.0,2.0,0.0,0.0
8419415ffffffff,124.0,9.0,0.0,0.0
841941bffffffff,16.0,2.0,0.0,0.0
8419421ffffffff,2.0,0.0,0.0,0.0
8419431ffffffff,1.0,0.0,0.0,0.0
8419433ffffffff,3.0,0.0,0.0,0.0
8419439ffffffff,6.0,0.0,0.0,0.0
841943bffffffff,4.0,0.0,0.0,0.0
8419465ffffffff,2.0,0.0,0.0,0.0
841946dffffffff,1.0,0.0,0.0,0.0
8419481ffffffff,2.0,0.0,0.0,0.0
8419485ffffffff,11.0,0.0,0.0,0.0
841948bffffffff,4.0,0.0,0.0,0.0
841948dffffffff,35.0,0.0,0.0,0.0
8419499ffffffff,2.0,0.0,0.0,0.0
84194a1ffffffff,20.0,0.0,0.0,0.0
84194a5ffffffff,5.0,0.0,0.0,0.0
84194abffffffff,5.0,0.0,0.0,0.0
84194adffffffff,58.0,0.0,0.0,0.0
84194b7ffffffff,1.0,0.0,0.0,0.0
84194b9ffffffff,16.0,5.0,0.0,0.0
84194bbffffffff,5.0,2.0,0.0,0.0
84194c5ffffffff,27.0,0.0,0.0,0.0
84194d3ffffffff,11.0,0.0,0.0,0.0
84194d5ffffffff,3.0,0.0,0.0,0.0
84194d9ffffffff,16.0,0.0,0.0,0.0
84194dbffffffff,8.0,0.0,0.0,0.0
84194ddffffffff,25.0,0.0,0.0,0.0
84194e3ffffffff,19.0,0.0,0.0,0.0
