cell_id,Poicephalus gulielmi,Poicephalus gulielmi fantiensis,Poicephalus gulielmi gulielmi/massaicus
8458d23ffffffff,1.0,0.0,0.0
8458d35ffffffff,5.0,0.0,0.0
8475085ffffffff,3.0,1.0,0.0
847508bffffffff,1.0,0.0,0.0
847509dffffffff,1.0,0.0,0.0
84750c5ffffffff,5.0,0.0,0.0
84750d1ffffffff,286.0,13.0,0.0
84750d5ffffffff,3.0,0.0,0.0
84750d7ffffffff,1.0,0.0,0.0
84750d9ffffffff,4.0,0.0,0.0
84750ddffffffff,12.0,2.0,0.0
847523bffffffff,3.0,0.0,0.0
8475295ffffffff,85.0,0.0,0.0
84752a1ffffffff,3.0,0.0,0.0
84752a3ffffffff,1.0,0.0,0.0
84752a5ffffffff,5.0,2.0,0.0
84752abffffffff,85.0,2.0,0.0
84752adffffffff,20.0,0.0,0.0
84752b5ffffffff,97.0,6.0,0.0
84752b7ffffffff,1.0,0.0,0.0
84752e9ffffffff,4.0,0.0,0.0
8475a81ffffffff,2.0,0.0,0.0
8475a83ffffffff,1.0,0.0,0.0
8475ae7ffffffff,1.0,0.0,0.0
847a40bffffffff,15.0,0.0,0.0
847a419ffffffff,1.0,0.0,0.0
847a41dffffffff,1.0,0.0,0.0
847a43bffffffff,4.0,0.0,0.0
847a451ffffffff,3.0,0.0,0.0
847a453ffffffff,38.0,0.0,0.0
847a455ffffffff,196.0,0.0,0.0
847a457ffffffff,171.0,0.0,0.0
847a45bffffffff,4.0,0.0,0.0
847a489ffffffff,2.0,0.0,0.0
847a48bffffffff,3.0,0.0,0.0
847a68dffffffff,4.0,0.0,0.0
847a6adffffffff,2.0,0.0,0.0
847a6e7ffffffff,6.0,0.0,0.0
8482335ffffffff,1.0,0.0,0.0
848289bffffffff,1.0,0.0,0.0
84828b5ffffffff,2.0,0.0,0.0
848290bffffffff,2.0,0.0,0.0
8482a81ffffffff,1.0,0.0,0.0
8482d63ffffffff,1.0,0.0,0.0
8482f27ffffffff,1.0,0.0,0.0
848313dffffffff,8.0,0.0,0.0
8483a89ffffffff,6.0,0.0,0.0
8483ac3ffffffff,10.0,0.0,0.0
8496907ffffffff,3.0,0.0,0.0
8496925ffffffff,18.0,0.0,0.0
849692bffffffff,1.0,0.0,0.0
8496935ffffffff,17.0,0.0,0.0
8496937ffffffff,2.0,0.0,0.0
849693dffffffff,3.0,0.0,0.0
