cell_id,Amazona oratrix,Amazona oratrix tresmariae,Amazona oratrix [oratrix Group]
841faa7ffffffff,26.0,0.0,0.0
8429a0bffffffff,45.0,0.0,0.0
8429a1dffffffff,32.0,0.0,0.0
8429a41ffffffff,2.0,0.0,0.0
8429a4dffffffff,3.0,0.0,0.0
8429a57ffffffff,1.0,0.0,0.0
842a107ffffffff,2.0,0.0,0.0
8444131ffffffff,2.0,0.0,0.0
84441e3ffffffff,1.0,0.0,0.0
8444a19ffffffff,2.0,0.0,0.0
8444ae9ffffffff,1.0,0.0,0.0
8445099ffffffff,1.0,0.0,0.0
844509bffffffff,43.0,0.0,0.0
84450e3ffffffff,2.0,0.0,0.0
8445251ffffffff,7.0,0.0,0.0
8445725ffffffff,2.0,0.0,0.0
844880dffffffff,9.0,0.0,0.0
8448a07ffffffff,8.0,0.0,0.0
8448b13ffffffff,1.0,0.0,0.0
8448b15ffffffff,23.0,0.0,0.0
8448b2bffffffff,3.0,0.0,0.0
8448b39ffffffff,36.0,0.0,2.0
8448b3dffffffff,151.0,0.0,2.0
8449951ffffffff,3.0,0.0,0.0
8449959ffffffff,7.0,0.0,0.0
844995bffffffff,11.0,0.0,0.0
8449b33ffffffff,5.0,0.0,0.0
844cee3ffffffff,2.0,0.0,0.0
844cee5ffffffff,1.0,0.0,0.0
844cee7ffffffff,2.0,0.0,0.0
