cell_id,Selasphorus flammula,Selasphorus flammula flammula,Selasphorus flammula torridus,Selasphorus flammula simoni
8466b41ffffffff,113.0,0.0,98.0,0.0
8466b45ffffffff,101.0,0.0,97.0,0.0
8466b4dffffffff,93.0,3.0,62.0,0.0
8466b51ffffffff,3.0,0.0,0.0,0.0
8466b55ffffffff,5.0,0.0,0.0,0.0
8466b5dffffffff,2.0,0.0,0.0,0.0
846d69bffffffff,32.0,0.0,0.0,31.0
