cell_id,Icteria virens,Icteria virens virens,Icteria virens auricollis
8412595ffffffff,2.0,0.0,0.0
8412c21ffffffff,2.0,0.0,0.0
8412c8bffffffff,2.0,0.0,0.0
8412c9bffffffff,24.0,0.0,0.0
8412d19ffffffff,11.0,0.0,0.0
8412d33ffffffff,78.0,0.0,0.0
8412d3bffffffff,2.0,0.0,0.0
8412d81ffffffff,29.0,0.0,0.0
8412d85ffffffff,18.0,0.0,0.0
8412d87ffffffff,2.0,0.0,0.0
8412da1ffffffff,22.0,0.0,0.0
8412da3ffffffff,9.0,0.0,0.0
8412da5ffffffff,17.0,0.0,0.0
8412da7ffffffff,46.0,0.0,0.0
8412da9ffffffff,2.0,0.0,0.0
8412dabffffffff,7.0,0.0,0.0
8412dadffffffff,9.0,0.0,0.0
8412db1ffffffff,14.0,0.0,0.0
8412db3ffffffff,7.0,0.0,0.0
8412db5ffffffff,68.0,0.0,0.0
8412db7ffffffff,6.0,0.0,0.0
8412dbdffffffff,1.0,0.0,0.0
8412de5ffffffff,687.0,0.0,0.0
8412de7ffffffff,2.0,0.0,0.0
8412dedffffffff,18.0,0.0,0.0
8412eb1ffffffff,8.0,0.0,0.0
8412eb3ffffffff,6.0,0.0,0.0
8426001ffffffff,3.0,0.0,0.0
8426007ffffffff,1.0,0.0,0.0
842600bffffffff,3.0,0.0,0.0
8426015ffffffff,2.0,0.0,0.0
8426017ffffffff,2.0,0.0,0.0
8426021ffffffff,2.0,0.0,0.0
8426023ffffffff,2.0,0.0,0.0
8426027ffffffff,2.0,0.0,0.0
8426039ffffffff,3.0,0.0,0.0
842603dffffffff,10.0,0.0,0.0
8426087ffffffff,2.0,0.0,0.0
8426091ffffffff,1.0,0.0,0.0
8426093ffffffff,18.0,0.0,0.0
8426095ffffffff,1.0,0.0,0.0
8426097ffffffff,3.0,0.0,0.0
8426099ffffffff,9.0,0.0,0.0
842609bffffffff,14.0,0.0,0.0
84260b3ffffffff,6.0,0.0,0.0
84260b5ffffffff,1.0,0.0,0.0
84260b9ffffffff,34.0,0.0,0.0
84260bbffffffff,14.0,0.0,0.0
8426103ffffffff,11.0,0.0,0.0
8426105ffffffff,3.0,0.0,0.0
8426107ffffffff,6.0,0.0,0.0
8426109ffffffff,1.0,0.0,0.0
842610bffffffff,13.0,0.0,0.0
842610dffffffff,79.0,0.0,0.0
8426111ffffffff,33.0,0.0,0.0
8426115ffffffff,10.0,0.0,0.0
8426117ffffffff,4.0,0.0,0.0
842611bffffffff,16.0,0.0,0.0
842611dffffffff,40.0,0.0,0.0
8426121ffffffff,1.0,0.0,0.0
8426123ffffffff,4.0,0.0,0.0
8426125ffffffff,2.0,0.0,0.0
8426127ffffffff,98.0,0.0,0.0
8426129ffffffff,3.0,0.0,0.0
842612dffffffff,4.0,0.0,0.0
8426139ffffffff,4.0,0.0,0.0
842614bffffffff,23.0,0.0,0.0
