cell_id,Aramides cajaneus,Aramides cajaneus cajaneus,Aramides cajaneus avicenniae
825f07fffffffff,1.0,1.0,0.0
825f4ffffffffff,1.0,0.0,0.0
826617fffffffff,2.0,0.0,0.0
82661ffffffffff,2.0,0.0,0.0
82662ffffffffff,3.0,0.0,0.0
826667fffffffff,3.0,0.0,0.0
826677fffffffff,5.0,0.0,0.0
8266a7fffffffff,4.0,3.0,0.0
8266b7fffffffff,11.0,3.0,0.0
8266c7fffffffff,5.0,0.0,0.0
8266e7fffffffff,2.0,0.0,0.0
826747fffffffff,1.0,0.0,0.0
82674ffffffffff,8.0,0.0,0.0
826757fffffffff,2.0,0.0,0.0
82675ffffffffff,11.0,0.0,0.0
82679ffffffffff,166.0,0.0,0.0
826d6ffffffffff,206.0,0.0,0.0
828027fffffffff,1.0,0.0,0.0
828b27fffffffff,1.0,1.0,0.0
828b2ffffffffff,3.0,0.0,0.0
828b47fffffffff,2.0,2.0,0.0
828b67fffffffff,6.0,6.0,0.0
82a817fffffffff,5.0,2.0,3.0
82a85ffffffffff,3.0,0.0,0.0
82a8cffffffffff,1.0,0.0,0.0
82a947fffffffff,7.0,0.0,0.0
82a94ffffffffff,2.0,0.0,0.0
82a967fffffffff,12.0,0.0,0.0
82a96ffffffffff,22.0,0.0,0.0
82b25ffffffffff,7.0,0.0,0.0
82b26ffffffffff,10.0,0.0,0.0
82b277fffffffff,2.0,0.0,0.0
82b347fffffffff,4.0,0.0,0.0
82b34ffffffffff,15.0,0.0,0.0
82b35ffffffffff,2.0,0.0,0.0
82c2c7fffffffff,10.0,0.0,0.0
82c2cffffffffff,21.0,0.0,0.0
82c2d7fffffffff,3.0,0.0,0.0
82c2f7fffffffff,1.0,0.0,0.0
