cell_id,Coturnicops noveboracensis,Coturnicops noveboracensis noveboracensis,Coturnicops noveboracensis goldmani
830e49fffffffff,12.0,0.0,0.0
830e4dfffffffff,24.0,0.0,0.0
830e8dfffffffff,1.0,0.0,0.0
830ec1fffffffff,103.0,0.0,0.0
830ec4fffffffff,1.0,0.0,0.0
830ec5fffffffff,3.0,0.0,0.0
830eccfffffffff,35.0,0.0,0.0
830ed9fffffffff,2.0,0.0,0.0
830ee2fffffffff,1.0,1.0,0.0
830ee8fffffffff,28.0,0.0,0.0
830eeafffffffff,48.0,0.0,0.0
830eebfffffffff,103.0,0.0,0.0
83121efffffffff,6.0,0.0,0.0
831251fffffffff,2.0,0.0,0.0
831259fffffffff,8.0,0.0,0.0
83125dfffffffff,3.0,0.0,0.0
83128efffffffff,4.0,0.0,0.0
8312c1fffffffff,6.0,0.0,0.0
8312cbfffffffff,1.0,0.0,0.0
8312ecfffffffff,13.0,0.0,0.0
83260efffffffff,1.0,0.0,0.0
832621fffffffff,9.0,0.0,0.0
832624fffffffff,1.0,0.0,0.0
832625fffffffff,7.0,0.0,0.0
832629fffffffff,1.0,0.0,0.0
83262bfffffffff,8.0,0.0,0.0
832633fffffffff,1.0,0.0,0.0
832634fffffffff,4.0,0.0,0.0
832643fffffffff,3.0,0.0,0.0
832646fffffffff,7.0,0.0,0.0
832648fffffffff,12.0,0.0,0.0
83264efffffffff,9.0,0.0,0.0
832652fffffffff,11.0,0.0,0.0
832656fffffffff,4.0,0.0,0.0
832660fffffffff,2.0,0.0,0.0
832662fffffffff,2.0,0.0,0.0
832664fffffffff,9.0,0.0,0.0
832665fffffffff,2.0,0.0,0.0
832666fffffffff,1.0,0.0,0.0
832668fffffffff,21.0,0.0,0.0
83266afffffffff,12.0,0.0,0.0
832671fffffffff,2.0,0.0,0.0
832674fffffffff,3.0,0.0,0.0
832676fffffffff,2.0,0.0,0.0
83268afffffffff,85.0,2.0,0.0
8326d0fffffffff,2.0,0.0,0.0
8326e5fffffffff,11.0,0.0,0.0
8326e8fffffffff,2.0,0.0,0.0
832702fffffffff,3.0,0.0,0.0
83270efffffffff,6.0,0.0,0.0
832711fffffffff,2.0,0.0,0.0
832718fffffffff,4.0,0.0,0.0
83271dfffffffff,2.0,0.0,0.0
832742fffffffff,5.0,0.0,0.0
832743fffffffff,8.0,0.0,0.0
832744fffffffff,21.0,0.0,0.0
832748fffffffff,36.0,0.0,0.0
832749fffffffff,54.0,0.0,0.0
83274bfffffffff,12.0,0.0,0.0
83274dfffffffff,56.0,0.0,0.0
832752fffffffff,61.0,0.0,0.0
832754fffffffff,4.0,0.0,0.0
832756fffffffff,13.0,0.0,0.0
832758fffffffff,32.0,0.0,0.0
832759fffffffff,5.0,0.0,0.0
83275bfffffffff,2.0,0.0,0.0
83275cfffffffff,62.0,0.0,0.0
83275dfffffffff,3.0,0.0,0.0
832763fffffffff,12.0,0.0,0.0
832766fffffffff,2.0,0.0,0.0
83276afffffffff,8.0,0.0,0.0
83276bfffffffff,1.0,0.0,0.0
83276efffffffff,28.0,0.0,0.0
832771fffffffff,3.0,0.0,0.0
832786fffffffff,5.0,0.0,0.0
8327a2fffffffff,2.0,0.0,0.0
8327a9fffffffff,2.0,0.0,0.0
8327adfffffffff,2.0,0.0,0.0
8327aefffffffff,1.0,0.0,0.0
832810fffffffff,8.0,0.0,0.0
832811fffffffff,3.0,0.0,0.0
832812fffffffff,76.0,3.0,0.0
832814fffffffff,9.0,0.0,0.0
83281efffffffff,28.0,0.0,0.0
832830fffffffff,2.0,0.0,0.0
832893fffffffff,28.0,0.0,0.0
8328a9fffffffff,14.0,0.0,0.0
8328adfffffffff,35.0,0.0,0.0
8328f4fffffffff,1.0,0.0,0.0
8329a0fffffffff,2.0,0.0,0.0
832a10fffffffff,5.0,2.0,0.0
832a13fffffffff,2.0,0.0,0.0
832a15fffffffff,22.0,2.0,0.0
832a30fffffffff,1.0,0.0,0.0
832a31fffffffff,24.0,5.0,0.0
832a86fffffffff,2.0,0.0,0.0
832a8bfffffffff,2.0,0.0,0.0
832a90fffffffff,11.0,0.0,0.0
832a93fffffffff,1.0,0.0,0.0
832a94fffffffff,4.0,0.0,0.0
832a95fffffffff,1.0,0.0,0.0
