cell_id,Edolisoma erythropygium,Edolisoma erythropygium ultimum,Edolisoma erythropygium erythropygium/saturatius,Edolisoma erythropygium nisorium
837680fffffffff,11.0,0.0,0.0,0.0
837682fffffffff,1.0,0.0,0.0,0.0
837684fffffffff,6.0,0.0,0.0,0.0
83768efffffffff,5.0,0.0,0.0,0.0
837699fffffffff,25.0,0.0,0.0,0.0
83769dfffffffff,45.0,0.0,0.0,0.0
839ed3fffffffff,6.0,0.0,0.0,0.0
839ed8fffffffff,3.0,0.0,0.0,0.0
839edafffffffff,16.0,0.0,0.0,0.0
839edcfffffffff,3.0,0.0,0.0,0.0
839edefffffffff,17.0,0.0,0.0,0.0
