cell_id,Amazilia tzacatl,Amazilia tzacatl [tzacatl Group],Amazilia tzacatl handleyi
824507fffffffff,1.0,0.0,0.0
82450ffffffffff,2.0,1.0,0.0
824527fffffffff,45.0,15.0,0.0
82452ffffffffff,42.0,40.0,0.0
82660ffffffffff,8.0,0.0,0.0
826617fffffffff,41.0,17.0,0.0
82661ffffffffff,20.0,14.0,0.0
82662ffffffffff,7.0,2.0,0.0
8266a7fffffffff,14.0,0.0,0.0
8266b7fffffffff,66.0,27.0,0.0
8266d7fffffffff,20.0,10.0,0.0
8266e7fffffffff,29.0,6.0,0.0
8266f7fffffffff,5.0,0.0,0.0
82675ffffffffff,3.0,0.0,0.0
82679ffffffffff,8.0,3.0,0.0
826d27fffffffff,21.0,7.0,0.0
826d2ffffffffff,12.0,10.0,0.0
826d37fffffffff,5.0,4.0,0.0
826d67fffffffff,4.0,0.0,0.0
826d6ffffffffff,76.0,23.0,0.0
828f0ffffffffff,17.0,7.0,0.0
828f77fffffffff,6.0,0.0,0.0
