cell_id,Irena cyanogastra,Irena cyanogastra cyanogastra,Irena cyanogastra ellae,Irena cyanogastra melanochlamys/hoogstraali
836841fffffffff,2.0,0.0,0.0,0.0
836843fffffffff,2.0,0.0,0.0,0.0
836844fffffffff,41.0,0.0,2.0,0.0
83684efffffffff,57.0,0.0,0.0,3.0
836856fffffffff,26.0,0.0,0.0,4.0
83685dfffffffff,9.0,0.0,0.0,0.0
83685efffffffff,26.0,0.0,0.0,6.0
836865fffffffff,23.0,4.0,0.0,0.0
83686efffffffff,42.0,0.0,4.0,0.0
836943fffffffff,36.0,0.0,0.0,0.0
836945fffffffff,1.0,0.0,0.0,0.0
83694afffffffff,1.0,0.0,0.0,0.0
83694bfffffffff,1.0,0.0,0.0,0.0
83694cfffffffff,19.0,9.0,0.0,0.0
83694efffffffff,486.0,13.0,0.0,0.0
83695dfffffffff,2.0,0.0,0.0,0.0
836968fffffffff,12.0,2.0,0.0,0.0
83696bfffffffff,1.0,0.0,0.0,0.0
83696cfffffffff,20.0,0.0,0.0,0.0
83696dfffffffff,25.0,0.0,0.0,0.0
