cell_id,Diopsittaca nobilis,Diopsittaca nobilis nobilis,Diopsittaca nobilis cumanensis/longipennis
845f03dffffffff,2.0,0.0,0.0
845f083ffffffff,55.0,0.0,0.0
845f087ffffffff,2.0,0.0,0.0
845f089ffffffff,2.0,0.0,0.0
845f08bffffffff,5.0,0.0,0.0
845f091ffffffff,3.0,0.0,0.0
845f095ffffffff,334.0,0.0,0.0
845f09dffffffff,11.0,0.0,0.0
845f0d7ffffffff,16.0,0.0,0.0
845f1c3ffffffff,3.0,0.0,0.0
845f1cbffffffff,112.0,0.0,0.0
845f291ffffffff,18.0,0.0,0.0
845f295ffffffff,19.0,0.0,0.0
845f299ffffffff,112.0,0.0,0.0
845f29dffffffff,23.0,0.0,0.0
845f2b1ffffffff,13.0,0.0,0.0
845f2b3ffffffff,20.0,0.0,0.0
845f2bbffffffff,22.0,0.0,0.0
845f2d1ffffffff,43.0,0.0,0.0
845f2d3ffffffff,4.0,0.0,0.0
845f2d7ffffffff,17.0,0.0,0.0
845f2dbffffffff,4.0,0.0,0.0
845f407ffffffff,6.0,0.0,0.0
845f42bffffffff,10.0,0.0,0.0
845f459ffffffff,1.0,0.0,0.0
845f4a9ffffffff,12.0,0.0,0.0
845f4cdffffffff,1.0,0.0,0.0
845f4e3ffffffff,1.0,0.0,0.0
845f4e5ffffffff,17.0,0.0,0.0
845f50bffffffff,10.0,0.0,0.0
845f569ffffffff,4.0,0.0,0.0
845f56bffffffff,3.0,0.0,0.0
845f5d9ffffffff,2.0,0.0,0.0
845f5dbffffffff,1.0,0.0,0.0
845f681ffffffff,2.0,0.0,0.0
845f683ffffffff,4.0,0.0,0.0
845f689ffffffff,1.0,0.0,0.0
845f68bffffffff,15.0,0.0,0.0
845f711ffffffff,1.0,0.0,0.0
845f719ffffffff,2.0,0.0,0.0
845f74bffffffff,4.0,0.0,0.0
845f755ffffffff,4.0,0.0,0.0
845f759ffffffff,39.0,0.0,0.0
845f75dffffffff,26.0,3.0,0.0
84666c5ffffffff,2.0,0.0,0.0
8480051ffffffff,2.0,0.0,0.0
8480053ffffffff,9.0,0.0,0.0
8480089ffffffff,1.0,0.0,0.0
84800c3ffffffff,2.0,0.0,0.0
84800c5ffffffff,1.0,0.0,0.0
84800c7ffffffff,4.0,0.0,0.0
84800cbffffffff,5.0,0.0,0.0
84800e1ffffffff,2.0,0.0,0.0
8480203ffffffff,1.0,0.0,0.0
