cell_id,Colibri cyanotus,Colibri cyanotus cabanidis,Colibri cyanotus cyanotus/crissalis
835f48fffffffff,1.0,0.0,0.0
835f49fffffffff,3.0,0.0,0.0
83660bfffffffff,4.0,0.0,0.0
836618fffffffff,2.0,0.0,2.0
83661bfffffffff,1.0,0.0,1.0
836620fffffffff,5.0,0.0,1.0
836621fffffffff,5.0,0.0,5.0
836622fffffffff,4.0,0.0,0.0
8366a3fffffffff,2.0,0.0,0.0
8366b4fffffffff,573.0,562.0,0.0
8366d3fffffffff,67.0,0.0,8.0
8366defffffffff,7.0,0.0,2.0
8366e6fffffffff,12.0,0.0,3.0
836741fffffffff,28.0,0.0,6.0
83674efffffffff,6.0,0.0,0.0
836d68fffffffff,4.0,0.0,0.0
836d69fffffffff,248.0,238.0,0.0
838b61fffffffff,5.0,0.0,5.0
838b69fffffffff,6.0,0.0,0.0
838b6cfffffffff,1.0,0.0,1.0
838e65fffffffff,1.0,0.0,1.0
838f29fffffffff,2.0,0.0,0.0
838f42fffffffff,4.0,0.0,0.0
838f4afffffffff,4.0,0.0,4.0
838f55fffffffff,1.0,0.0,0.0
838f59fffffffff,2.0,0.0,2.0
