cell_id,Lonchura malacca,Lonchura malacca (Pale-flanked),Lonchura malacca (Cinnamon-flanked)
843c029ffffffff,3.0,0.0,0.0
843c02dffffffff,7.0,0.0,0.0
843c159ffffffff,12.0,0.0,0.0
843c15bffffffff,2.0,0.0,0.0
843c191ffffffff,37.0,0.0,0.0
843c199ffffffff,11.0,0.0,0.0
843c1b5ffffffff,33.0,0.0,0.0
843c1c3ffffffff,22.0,0.0,0.0
843c1c9ffffffff,1.0,0.0,0.0
843c32bffffffff,1.0,0.0,0.0
843c333ffffffff,4.0,0.0,0.0
843c33dffffffff,4.0,0.0,0.0
843c369ffffffff,5.0,0.0,0.0
843c805ffffffff,23.0,0.0,0.0
843c807ffffffff,3.0,0.0,0.0
843c809ffffffff,2.0,0.0,0.0
843c80dffffffff,21.0,0.0,0.0
843c815ffffffff,2.0,0.0,0.0
843c82dffffffff,1.0,0.0,0.0
843c839ffffffff,2.0,0.0,0.0
843c843ffffffff,4.0,0.0,0.0
843c84dffffffff,2.0,0.0,0.0
843c853ffffffff,1.0,0.0,0.0
843c855ffffffff,2.0,0.0,0.0
843c899ffffffff,4.0,0.0,0.0
843c8c1ffffffff,1.0,0.0,0.0
843c8c3ffffffff,2.0,0.0,0.0
843c8cbffffffff,15.0,0.0,0.0
843c8d9ffffffff,58.0,0.0,0.0
843c8dbffffffff,46.0,0.0,0.0
843c8e1ffffffff,6.0,0.0,0.0
843c8e5ffffffff,57.0,0.0,0.0
843c8edffffffff,10.0,0.0,0.0
843c903ffffffff,4.0,0.0,0.0
843c911ffffffff,2.0,0.0,0.0
843c91dffffffff,2.0,0.0,0.0
843c921ffffffff,1.0,0.0,0.0
843c923ffffffff,5.0,0.0,0.0
843c925ffffffff,6.0,0.0,0.0
843c927ffffffff,1.0,0.0,0.0
843c929ffffffff,3.0,0.0,0.0
843c92bffffffff,8.0,0.0,0.0
843c92dffffffff,9.0,0.0,0.0
843c931ffffffff,16.0,0.0,0.0
843c93bffffffff,17.0,0.0,0.0
843c93dffffffff,2.0,0.0,0.0
843c943ffffffff,23.0,0.0,0.0
843c945ffffffff,7.0,0.0,0.0
843c94bffffffff,2.0,0.0,0.0
843c951ffffffff,1.0,0.0,0.0
843c959ffffffff,16.0,0.0,0.0
843c967ffffffff,3.0,0.0,0.0
843c9c1ffffffff,10.0,0.0,0.0
843c9cbffffffff,2.0,0.0,0.0
843c9d9ffffffff,7.0,0.0,0.0
843c9ddffffffff,2.0,0.0,0.0
843c9e9ffffffff,15.0,0.0,0.0
843c9edffffffff,1.0,0.0,0.0
843ca25ffffffff,15.0,0.0,0.0
843ca2dffffffff,2.0,0.0,0.0
843ca83ffffffff,4.0,0.0,0.0
843ca87ffffffff,8.0,0.0,0.0
843ca8dffffffff,18.0,0.0,0.0
843ca93ffffffff,5.0,0.0,0.0
843ca95ffffffff,12.0,0.0,0.0
843ca97ffffffff,64.0,0.0,0.0
843ca9dffffffff,23.0,0.0,0.0
843cab1ffffffff,12.0,0.0,0.0
843cab5ffffffff,1.0,0.0,0.0
843cab7ffffffff,3.0,0.0,0.0
843cab9ffffffff,3.0,0.0,0.0
843cabbffffffff,3.0,0.0,0.0
843cac7ffffffff,3.0,0.0,0.0
843cae3ffffffff,3.0,0.0,0.0
843cb01ffffffff,2.0,0.0,0.0
843cb03ffffffff,27.0,0.0,0.0
843cb0bffffffff,3.0,0.0,0.0
843cb11ffffffff,39.0,0.0,0.0
843cb13ffffffff,3.0,0.0,0.0
843cb15ffffffff,54.0,0.0,0.0
843cb19ffffffff,46.0,0.0,0.0
843cb1bffffffff,1.0,0.0,0.0
843cb1dffffffff,316.0,0.0,0.0
843cb39ffffffff,20.0,0.0,0.0
843cb3bffffffff,2.0,0.0,0.0
843cb45ffffffff,10.0,0.0,0.0
843cb47ffffffff,3.0,0.0,0.0
843cb4dffffffff,1.0,0.0,0.0
843cb5dffffffff,12.0,0.0,0.0
843cb61ffffffff,2.0,0.0,0.0
843cb65ffffffff,3.0,0.0,0.0
843cb69ffffffff,11.0,0.0,0.0
