cell_id,Anthus correndera,Anthus correndera [correndera Group],Anthus correndera grayi
848e663ffffffff,2.0,0.0,0.0
84a9051ffffffff,14.0,0.0,0.0
84a9619ffffffff,2.0,0.0,0.0
84b2453ffffffff,13.0,0.0,0.0
84b248bffffffff,6.0,0.0,0.0
84b2491ffffffff,1.0,0.0,0.0
84b2495ffffffff,2.0,0.0,0.0
84b2497ffffffff,1.0,0.0,0.0
84b2499ffffffff,2.0,0.0,0.0
84b249dffffffff,9.0,0.0,0.0
84b24b3ffffffff,3.0,0.0,0.0
84b24d1ffffffff,6.0,0.0,0.0
84b24d3ffffffff,24.0,0.0,0.0
84b24d7ffffffff,13.0,0.0,0.0
84b24dbffffffff,16.0,0.0,0.0
84b268bffffffff,3.0,0.0,0.0
84b2693ffffffff,2.0,0.0,0.0
84b26a5ffffffff,2.0,0.0,0.0
84b26b3ffffffff,3.0,0.0,0.0
84b2749ffffffff,1.0,0.0,0.0
84b2c0dffffffff,42.0,2.0,0.0
84b2c41ffffffff,18.0,14.0,0.0
84b2c43ffffffff,2.0,0.0,0.0
84b2c47ffffffff,2.0,0.0,0.0
84b2c55ffffffff,3.0,0.0,0.0
84b2c5dffffffff,13.0,10.0,0.0
84b2cc7ffffffff,1.0,0.0,0.0
84b2e27ffffffff,23.0,0.0,0.0
84b2e85ffffffff,17.0,0.0,0.0
84b2eebffffffff,1.0,0.0,0.0
84b304bffffffff,3.0,0.0,0.0
84b3059ffffffff,2.0,0.0,0.0
84b305dffffffff,2.0,1.0,0.0
84b30c5ffffffff,11.0,0.0,0.0
84b30edffffffff,2.0,0.0,0.0
84b31dbffffffff,15.0,0.0,0.0
84b3235ffffffff,4.0,0.0,0.0
84b32a5ffffffff,10.0,0.0,0.0
84b3511ffffffff,5.0,0.0,0.0
84b3515ffffffff,6.0,0.0,0.0
84b3539ffffffff,1.0,0.0,0.0
84b354bffffffff,3.0,0.0,0.0
84b355dffffffff,3.0,0.0,0.0
84b35e5ffffffff,1.0,0.0,0.0
84b35e9ffffffff,5.0,0.0,0.0
84c21bbffffffff,5.0,5.0,0.0
84c2893ffffffff,1.0,0.0,0.0
84c2c23ffffffff,8.0,0.0,0.0
84c2c57ffffffff,5.0,0.0,0.0
84c2c91ffffffff,2.0,0.0,0.0
84c2c97ffffffff,2.0,0.0,0.0
84c2c99ffffffff,9.0,0.0,0.0
84c2cd3ffffffff,24.0,0.0,0.0
84c2d09ffffffff,2.0,0.0,0.0
84c2d0dffffffff,3.0,0.0,0.0
84c2d21ffffffff,1.0,0.0,0.0
84c2d43ffffffff,2.0,0.0,0.0
84c2d45ffffffff,5.0,0.0,0.0
84c2d4dffffffff,2.0,0.0,0.0
84c2e39ffffffff,12.0,0.0,0.0
84c2e3dffffffff,5.0,0.0,0.0
84c2e99ffffffff,64.0,0.0,0.0
84c2e9bffffffff,6.0,0.0,0.0
84c2eadffffffff,1.0,0.0,0.0
84c2ebbffffffff,9.0,0.0,0.0
84c2f15ffffffff,4.0,0.0,0.0
84c2f39ffffffff,7.0,0.0,0.0
84c343bffffffff,18.0,0.0,0.0
84c3487ffffffff,7.0,0.0,0.0
84c349bffffffff,1.0,0.0,0.0
84c34b7ffffffff,1.0,0.0,0.0
84c34bdffffffff,27.0,0.0,0.0
84ce839ffffffff,4.0,0.0,0.0
84ce8c1ffffffff,2.0,0.0,0.0
84cea35ffffffff,1.0,1.0,0.0
84cf123ffffffff,2.0,0.0,0.0
84cf129ffffffff,7.0,0.0,0.0
84cf163ffffffff,1.0,0.0,0.0
84cf8c5ffffffff,2.0,0.0,0.0
84cfa27ffffffff,3.0,0.0,0.0
84cfa47ffffffff,3.0,3.0,0.0
84cfa49ffffffff,7.0,0.0,0.0
84cfa4bffffffff,2.0,0.0,0.0
84de62dffffffff,5.0,0.0,5.0
84de665ffffffff,1.0,0.0,1.0
84de707ffffffff,11.0,0.0,11.0
84de719ffffffff,1.0,0.0,0.0
84de71dffffffff,2.0,0.0,2.0
84df419ffffffff,5.0,0.0,0.0
84df683ffffffff,2.0,0.0,0.0
84df68bffffffff,2.0,0.0,0.0
84df699ffffffff,2.0,0.0,0.0
84df69dffffffff,2.0,0.0,0.0
84df6a7ffffffff,3.0,0.0,0.0
84df6b5ffffffff,2.0,0.0,0.0
84df6b7ffffffff,2.0,2.0,0.0
84df6d7ffffffff,2.0,0.0,0.0
