cell_id,Apalis nigriceps,Apalis nigriceps nigriceps,Apalis nigriceps collaris
835883fffffffff,1.0,0.0,0.0
836ac0fffffffff,2.0,0.0,0.0
836ac1fffffffff,2.0,0.0,0.0
836acdfffffffff,4.0,0.0,0.0
836adcfffffffff,8.0,0.0,0.0
836aeafffffffff,18.0,0.0,0.0
837508fffffffff,81.0,4.0,0.0
83750dfffffffff,40.0,0.0,0.0
837519fffffffff,1.0,0.0,0.0
83751dfffffffff,1.0,0.0,0.0
837520fffffffff,4.0,0.0,0.0
837529fffffffff,187.0,19.0,0.0
83752bfffffffff,2.0,0.0,0.0
83752dfffffffff,1.0,0.0,0.0
83752efffffffff,1.0,0.0,0.0
837581fffffffff,1.0,0.0,0.0
8375a0fffffffff,4.0,0.0,0.0
8375a8fffffffff,1.0,0.0,0.0
8375abfffffffff,2.0,0.0,0.0
8375b5fffffffff,1.0,0.0,0.0
83828afffffffff,1.0,0.0,0.0
83828bfffffffff,1.0,0.0,0.0
8382a3fffffffff,8.0,0.0,0.0
8382aafffffffff,1.0,0.0,0.0
8382b1fffffffff,1.0,0.0,0.0
8382d0fffffffff,15.0,10.0,0.0
8382d2fffffffff,17.0,0.0,0.0
8382d3fffffffff,2.0,0.0,0.0
8382d4fffffffff,1.0,0.0,0.0
