cell_id,Ammospiza maritima,Ammospiza maritima maritima/macgillivraii,Ammospiza maritima nigrescens,Ammospiza maritima [sennetti Group],Ammospiza maritima mirabilis
822a07fffffffff,4.0,0.0,0.0,0.0,0.0
822a17fffffffff,7696.0,598.0,0.0,0.0,0.0
822a37fffffffff,592.0,53.0,0.0,0.0,0.0
822aaffffffffff,10862.0,1057.0,0.0,0.0,0.0
822ad7fffffffff,884.0,2.0,0.0,0.0,0.0
822af7fffffffff,1928.0,108.0,0.0,0.0,0.0
824417fffffffff,131.0,0.0,0.0,0.0,127.0
82441ffffffffff,216.0,0.0,0.0,20.0,0.0
824447fffffffff,183.0,0.0,0.0,0.0,0.0
824457fffffffff,1750.0,0.0,0.0,102.0,0.0
824467fffffffff,514.0,0.0,0.0,0.0,0.0
82446ffffffffff,4203.0,0.0,0.0,179.0,0.0
824477fffffffff,1684.0,0.0,0.0,0.0,0.0
8244d7fffffffff,1749.0,76.0,0.0,0.0,0.0
8244e7fffffffff,676.0,0.0,0.0,72.0,0.0
8244f7fffffffff,1379.0,159.0,0.0,2.0,0.0
824897fffffffff,1577.0,0.0,0.0,44.0,0.0
