cell_id,Gulosus aristotelis,Gulosus aristotelis aristotelis,Gulosus aristotelis desmarestii,Gulosus aristotelis riggenbachi
840130bffffffff,1.0,0.0,0.0,0.0
840755bffffffff,2.0,2.0,0.0,0.0
84075c7ffffffff,2.0,2.0,0.0,0.0
84075d1ffffffff,2.0,0.0,0.0,0.0
84075d9ffffffff,4.0,0.0,0.0,0.0
84075ddffffffff,2.0,0.0,0.0,0.0
84075ebffffffff,2.0,0.0,0.0,0.0
8407733ffffffff,1.0,1.0,0.0,0.0
8409937ffffffff,6.0,0.0,0.0,0.0
8409981ffffffff,3.0,0.0,0.0,0.0
8409991ffffffff,1.0,0.0,0.0,0.0
8409993ffffffff,2.0,0.0,0.0,0.0
8418059ffffffff,7.0,3.0,0.0,0.0
84182c9ffffffff,4.0,0.0,0.0,0.0
84182cbffffffff,1.0,0.0,0.0,0.0
84182e5ffffffff,6.0,0.0,0.0,0.0
841846dffffffff,2.0,0.0,0.0,0.0
8418495ffffffff,27.0,0.0,0.0,0.0
84184b9ffffffff,5.0,0.0,0.0,0.0
84184bdffffffff,1.0,0.0,0.0,0.0
84185b1ffffffff,6.0,2.0,0.0,0.0
84185b5ffffffff,5.0,0.0,0.0,0.0
84185bbffffffff,67.0,6.0,1.0,0.0
8418623ffffffff,2.0,0.0,0.0,0.0
841862bffffffff,2.0,0.0,0.0,0.0
841870dffffffff,5.0,1.0,0.0,0.0
841901bffffffff,3.0,0.0,0.0,0.0
84190c5ffffffff,2.0,0.0,0.0,0.0
84190cdffffffff,2.0,0.0,0.0,0.0
8419403ffffffff,1.0,0.0,0.0,0.0
8419411ffffffff,6.0,2.0,0.0,0.0
8419413ffffffff,2.0,2.0,0.0,0.0
8419423ffffffff,2.0,0.0,0.0,0.0
8419427ffffffff,5.0,2.0,0.0,0.0
8419431ffffffff,13.0,0.0,0.0,0.0
8419437ffffffff,6.0,0.0,0.0,0.0
841943bffffffff,2.0,0.0,0.0,0.0
8419485ffffffff,1.0,0.0,0.0,0.0
84194c5ffffffff,3.0,0.0,0.0,0.0
84194d5ffffffff,2.0,0.0,0.0,0.0
84194ddffffffff,5.0,1.0,0.0,0.0
84194e7ffffffff,1.0,0.0,0.0,0.0
84194e9ffffffff,1.0,1.0,0.0,0.0
84194ebffffffff,2.0,0.0,0.0,0.0
8419557ffffffff,2.0,0.0,0.0,0.0
8419591ffffffff,3.0,0.0,0.0,0.0
841959bffffffff,4.0,2.0,0.0,0.0
84195c1ffffffff,2.0,0.0,0.0,0.0
84195cbffffffff,1.0,0.0,0.0,0.0
84195d3ffffffff,3.0,0.0,0.0,0.0
84195d5ffffffff,1.0,0.0,0.0,0.0
84195ddffffffff,1.0,0.0,0.0,0.0
841e127ffffffff,1.0,0.0,0.0,0.0
841e12dffffffff,1.0,0.0,1.0,0.0
841e9a9ffffffff,1.0,0.0,0.0,0.0
841ea0bffffffff,1.0,0.0,0.0,0.0
841ea53ffffffff,5.0,0.0,1.0,0.0
841eb49ffffffff,2.0,0.0,0.0,0.0
841ec37ffffffff,1.0,0.0,1.0,0.0
841ec91ffffffff,3.0,0.0,0.0,0.0
841eca9ffffffff,3.0,0.0,0.0,0.0
841ed13ffffffff,1.0,0.0,0.0,0.0
841ee91ffffffff,2.0,0.0,0.0,0.0
841eeb7ffffffff,3.0,0.0,0.0,0.0
841f21dffffffff,1.0,1.0,0.0,0.0
841f25dffffffff,1.0,0.0,0.0,0.0
