cell_id,Laterallus jamaicensis,Laterallus jamaicensis jamaicensis/coturniculus,Laterallus jamaicensis salinasi/murivagans,Laterallus jamaicensis tuerosi
832a4cfffffffff,1.0,0.0,0.0,0.0
832ad5fffffffff,1.0,0.0,0.0,0.0
834432fffffffff,2.0,0.0,0.0,0.0
834436fffffffff,9.0,0.0,0.0,0.0
83446efffffffff,2.0,0.0,0.0,0.0
8344a9fffffffff,1.0,0.0,0.0,0.0
834505fffffffff,2.0,0.0,0.0,0.0
834521fffffffff,1.0,0.0,0.0,0.0
834523fffffffff,12.0,0.0,0.0,0.0
83452afffffffff,16.0,0.0,0.0,0.0
83452cfffffffff,13.0,0.0,0.0,0.0
83452efffffffff,13.0,0.0,0.0,0.0
834532fffffffff,4.0,0.0,0.0,0.0
834536fffffffff,17.0,0.0,0.0,0.0
834583fffffffff,2.0,0.0,0.0,0.0
834588fffffffff,14.0,0.0,0.0,0.0
8345a3fffffffff,6.0,0.0,0.0,0.0
834843fffffffff,8.0,0.0,0.0,0.0
83485dfffffffff,4.0,0.0,0.0,0.0
8366a6fffffffff,5.0,0.0,0.0,0.0
836790fffffffff,3.0,0.0,0.0,0.0
83802bfffffffff,9.0,0.0,0.0,0.0
838054fffffffff,18.0,2.0,0.0,0.0
838073fffffffff,12.0,0.0,0.0,0.0
838e62fffffffff,27.0,0.0,5.0,0.0
838e64fffffffff,3.0,0.0,0.0,3.0
838e66fffffffff,3.0,0.0,0.0,3.0
838e75fffffffff,3.0,0.0,3.0,0.0
838f5efffffffff,2.0,0.0,0.0,0.0
83b200fffffffff,9.0,0.0,0.0,0.0
83b203fffffffff,230.0,0.0,0.0,0.0
83b219fffffffff,16.0,0.0,0.0,0.0
83b21dfffffffff,28.0,0.0,0.0,0.0
83b2c0fffffffff,280.0,0.0,12.0,0.0
83b2c2fffffffff,2.0,0.0,0.0,0.0
83b2c3fffffffff,2.0,0.0,0.0,0.0
83b2c4fffffffff,11.0,0.0,0.0,0.0
83b2c5fffffffff,88.0,0.0,2.0,0.0
83b2d8fffffffff,30.0,0.0,0.0,0.0
83b2d9fffffffff,2.0,0.0,0.0,0.0
83b2dafffffffff,11.0,0.0,0.0,0.0
83b2dbfffffffff,11.0,0.0,0.0,0.0
83b2dcfffffffff,23.0,0.0,0.0,0.0
83b2e6fffffffff,5.0,0.0,0.0,0.0
83b300fffffffff,12.0,0.0,0.0,0.0
83b304fffffffff,5.0,0.0,0.0,0.0
83b330fffffffff,1.0,0.0,0.0,0.0
83ce88fffffffff,9.0,0.0,0.0,0.0
83ce8afffffffff,4.0,0.0,0.0,0.0
83ce8cfffffffff,49.0,0.0,0.0,0.0
83ce8efffffffff,24.0,0.0,0.0,0.0
83ceaafffffffff,4.0,0.0,0.0,0.0
