cell_id,Oceanites oceanicus,Oceanites oceanicus oceanicus/exasperatus,Oceanites oceanicus chilensis
84074e9ffffffff,1.0,0.0,0.0
840e491ffffffff,8.0,0.0,0.0
840e493ffffffff,29.0,0.0,0.0
840e49bffffffff,26.0,0.0,0.0
8418015ffffffff,2.0,0.0,0.0
8418019ffffffff,1.0,0.0,0.0
841801dffffffff,1.0,0.0,0.0
8418051ffffffff,1.0,0.0,0.0
8418053ffffffff,55.0,0.0,0.0
8418059ffffffff,5.0,0.0,0.0
84180c9ffffffff,2.0,0.0,0.0
84180cdffffffff,5.0,0.0,0.0
8418425ffffffff,10.0,0.0,0.0
8418443ffffffff,1.0,0.0,0.0
8418455ffffffff,1.0,0.0,0.0
8418461ffffffff,2.0,0.0,0.0
8418467ffffffff,2.0,0.0,0.0
841846bffffffff,4.0,0.0,0.0
8418495ffffffff,15.0,0.0,0.0
84184a3ffffffff,1.0,0.0,0.0
84184a5ffffffff,1.0,0.0,0.0
84184b1ffffffff,14.0,0.0,0.0
84184bdffffffff,12.0,0.0,0.0
84184ebffffffff,5.0,0.0,0.0
84184edffffffff,2.0,0.0,0.0
8418551ffffffff,1.0,0.0,0.0
8418553ffffffff,6.0,0.0,0.0
8418557ffffffff,16.0,0.0,0.0
8418595ffffffff,1.0,0.0,0.0
84185bbffffffff,7.0,0.0,0.0
84186a5ffffffff,1.0,0.0,0.0
8418705ffffffff,3.0,0.0,0.0
8418709ffffffff,5.0,0.0,0.0
841870dffffffff,7.0,2.0,0.0
8418729ffffffff,12.0,0.0,0.0
8418763ffffffff,6.0,0.0,0.0
841aa03ffffffff,2.0,0.0,0.0
841aa07ffffffff,3.0,0.0,0.0
841aa35ffffffff,2.0,0.0,0.0
841ab03ffffffff,9.0,0.0,0.0
841ab1bffffffff,1.0,0.0,0.0
841ab61ffffffff,1.0,0.0,0.0
841ab69ffffffff,2.0,0.0,0.0
841b823ffffffff,8.0,0.0,0.0
841b825ffffffff,1.0,0.0,0.0
841b831ffffffff,5.0,0.0,0.0
841b9a5ffffffff,1.0,0.0,0.0
841b9cdffffffff,1.0,0.0,0.0
842803dffffffff,2.0,0.0,0.0
8428045ffffffff,2.0,0.0,0.0
842806bffffffff,7.0,0.0,0.0
8428319ffffffff,33.0,0.0,0.0
8428341ffffffff,8.0,0.0,0.0
8428343ffffffff,67.0,0.0,0.0
8428349ffffffff,212.0,8.0,0.0
842834bffffffff,19.0,0.0,0.0
842834dffffffff,36.0,0.0,0.0
8428351ffffffff,1.0,0.0,0.0
8428355ffffffff,139.0,0.0,0.0
842835dffffffff,677.0,35.0,0.0
8428c63ffffffff,1.0,0.0,0.0
8428c6bffffffff,18.0,0.0,0.0
8428e61ffffffff,2.0,0.0,0.0
8428e65ffffffff,7.0,0.0,0.0
8428e67ffffffff,10.0,0.0,0.0
8429101ffffffff,11.0,0.0,0.0
8429103ffffffff,2.0,0.0,0.0
8429107ffffffff,11.0,0.0,0.0
8429123ffffffff,4.0,0.0,0.0
8429129ffffffff,4.0,0.0,0.0
8429139ffffffff,8.0,0.0,0.0
8429161ffffffff,1.0,0.0,0.0
8429165ffffffff,1.0,0.0,0.0
842916dffffffff,22.0,0.0,0.0
84291a7ffffffff,13.0,0.0,0.0
84291e5ffffffff,6.0,0.0,0.0
8429a41ffffffff,1.0,0.0,0.0
8429a49ffffffff,12.0,0.0,0.0
8429a4bffffffff,48.0,6.0,0.0
8429a57ffffffff,5.0,0.0,0.0
8429ad1ffffffff,4.0,0.0,0.0
8429ad9ffffffff,19.0,0.0,0.0
842a009ffffffff,8.0,0.0,0.0
842a00bffffffff,2.0,0.0,0.0
842a021ffffffff,3.0,0.0,0.0
842a023ffffffff,3.0,0.0,0.0
842a025ffffffff,3.0,0.0,0.0
842a027ffffffff,4.0,0.0,0.0
842a029ffffffff,2.0,0.0,0.0
842a02bffffffff,9.0,0.0,0.0
842a02dffffffff,2.0,0.0,0.0
842a041ffffffff,2.0,0.0,0.0
842a043ffffffff,7.0,0.0,0.0
842a047ffffffff,2.0,0.0,0.0
842a049ffffffff,2.0,0.0,0.0
842a055ffffffff,4.0,0.0,0.0
842a063ffffffff,1.0,0.0,0.0
842a065ffffffff,90.0,0.0,0.0
842a067ffffffff,1.0,0.0,0.0
842a101ffffffff,2.0,0.0,0.0
842a103ffffffff,22.0,0.0,0.0
842a107ffffffff,60.0,0.0,0.0
842a10bffffffff,1.0,0.0,0.0
842a10dffffffff,4.0,0.0,0.0
842a111ffffffff,39.0,0.0,0.0
842a113ffffffff,63.0,0.0,0.0
842a115ffffffff,16.0,0.0,0.0
842a117ffffffff,68.0,0.0,0.0
842a11bffffffff,14.0,0.0,0.0
842a11dffffffff,10.0,0.0,0.0
842a133ffffffff,1.0,0.0,0.0
842a139ffffffff,27.0,0.0,0.0
842a13bffffffff,9.0,0.0,0.0
842a159ffffffff,69.0,0.0,0.0
842a15dffffffff,11.0,0.0,0.0
842a181ffffffff,103.0,0.0,0.0
842a185ffffffff,465.0,0.0,0.0
842a187ffffffff,107.0,0.0,0.0
842a18dffffffff,286.0,0.0,0.0
842a195ffffffff,6.0,0.0,0.0
842a1a1ffffffff,92.0,6.0,0.0
842a1a3ffffffff,17.0,0.0,0.0
842a1a5ffffffff,2.0,0.0,0.0
842a1a9ffffffff,217.0,0.0,0.0
842a1abffffffff,16.0,0.0,0.0
842a1adffffffff,29.0,0.0,0.0
842a1b5ffffffff,9.0,0.0,0.0
842a1b7ffffffff,4.0,0.0,0.0
842a1bdffffffff,11.0,0.0,0.0
842a1c1ffffffff,102.0,0.0,0.0
842a1c5ffffffff,6.0,0.0,0.0
842a1c7ffffffff,36.0,0.0,0.0
842a1c9ffffffff,69.0,0.0,0.0
842a1cdffffffff,107.0,0.0,0.0
842a1e1ffffffff,18.0,0.0,0.0
842a1e3ffffffff,32.0,0.0,0.0
842a1e7ffffffff,59.0,0.0,0.0
842a1e9ffffffff,5.0,0.0,0.0
842a235ffffffff,2.0,0.0,0.0
842a241ffffffff,4.0,0.0,0.0
842a24bffffffff,1.0,0.0,0.0
842a251ffffffff,10.0,0.0,0.0
842a265ffffffff,2.0,0.0,0.0
842a26dffffffff,2.0,0.0,0.0
842a301ffffffff,2.0,0.0,0.0
842a303ffffffff,22.0,0.0,0.0
842a309ffffffff,118.0,0.0,0.0
842a30bffffffff,1.0,0.0,0.0
842a311ffffffff,7.0,0.0,0.0
842a313ffffffff,5.0,0.0,0.0
842a315ffffffff,10.0,0.0,0.0
