cell_id,Troglodytes aedon,Troglodytes aedon [aedon Group],Troglodytes aedon [brunneicollis Group]
820e4ffffffffff,8.0,0.0,0.0
820e87fffffffff,1.0,0.0,0.0
820ec7fffffffff,3.0,0.0,0.0
820ecffffffffff,2.0,0.0,0.0
82125ffffffffff,5.0,0.0,0.0
82128ffffffffff,9.0,0.0,0.0
8212affffffffff,2.0,0.0,0.0
8212c7fffffffff,2.0,0.0,0.0
8212cffffffffff,32.0,5.0,0.0
8212d7fffffffff,21.0,4.0,0.0
8212dffffffffff,12.0,3.0,0.0
8212e7fffffffff,7.0,0.0,0.0
8212f7fffffffff,1.0,0.0,0.0
82138ffffffffff,7.0,0.0,0.0
821aa7fffffffff,6.0,0.0,0.0
822607fffffffff,18.0,5.0,0.0
82260ffffffffff,102.0,37.0,0.0
822617fffffffff,9.0,0.0,0.0
822627fffffffff,4.0,0.0,0.0
82262ffffffffff,34.0,0.0,0.0
822647fffffffff,37.0,2.0,0.0
82264ffffffffff,252.0,11.0,0.0
822657fffffffff,114.0,7.0,0.0
82265ffffffffff,64.0,14.0,0.0
822667fffffffff,79.0,8.0,0.0
82266ffffffffff,26.0,0.0,0.0
822677fffffffff,39.0,7.0,0.0
822687fffffffff,203.0,2.0,0.0
82268ffffffffff,343.0,25.0,0.0
822697fffffffff,139.0,26.0,0.0
82269ffffffffff,84.0,2.0,0.0
8226a7fffffffff,31.0,0.0,0.0
8226affffffffff,153.0,8.0,0.0
8226b7fffffffff,5.0,3.0,0.0
8226c7fffffffff,8.0,0.0,0.0
8226cffffffffff,10.0,0.0,0.0
8226d7fffffffff,32.0,2.0,0.0
8226dffffffffff,26.0,0.0,0.0
8226e7fffffffff,25.0,0.0,0.0
8226effffffffff,41.0,0.0,0.0
8226f7fffffffff,56.0,0.0,0.0
822707fffffffff,34.0,0.0,0.0
82270ffffffffff,6.0,6.0,0.0
822717fffffffff,5.0,1.0,0.0
82271ffffffffff,2.0,0.0,0.0
822747fffffffff,40.0,4.0,0.0
82274ffffffffff,484.0,13.0,0.0
822757fffffffff,18.0,3.0,0.0
82275ffffffffff,76.0,2.0,0.0
822767fffffffff,6.0,0.0,0.0
82276ffffffffff,26.0,0.0,0.0
822777fffffffff,62.0,0.0,0.0
822787fffffffff,20.0,1.0,0.0
822797fffffffff,29.0,7.0,0.0
82279ffffffffff,18.0,0.0,0.0
8227a7fffffffff,16.0,0.0,0.0
8227affffffffff,15.0,0.0,0.0
8227b7fffffffff,7.0,0.0,0.0
822807fffffffff,63.0,17.0,0.0
822817fffffffff,37.0,2.0,0.0
82281ffffffffff,64.0,4.0,0.0
822837fffffffff,2988.0,74.0,0.0
822887fffffffff,151.0,9.0,0.0
82288ffffffffff,19.0,0.0,0.0
822897fffffffff,28.0,2.0,0.0
82289ffffffffff,38.0,10.0,0.0
8228affffffffff,9.0,2.0,0.0
8228b7fffffffff,25.0,0.0,0.0
8228c7fffffffff,7.0,1.0,0.0
8228d7fffffffff,295.0,8.0,0.0
8228dffffffffff,26.0,2.0,0.0
8228f7fffffffff,93.0,7.0,0.0
822917fffffffff,8.0,3.0,0.0
82291ffffffffff,25.0,13.0,0.0
822987fffffffff,32.0,0.0,0.0
82298ffffffffff,34.0,26.0,0.0
822997fffffffff,51.0,6.0,0.0
8229a7fffffffff,203.0,17.0,0.0
8229affffffffff,82.0,21.0,0.0
8229b7fffffffff,123.0,24.0,0.0
822a07fffffffff,39.0,27.0,0.0
822a17fffffffff,6798.0,372.0,0.0
822a1ffffffffff,6.0,0.0,0.0
822a37fffffffff,499.0,103.0,0.0
822a4ffffffffff,5.0,0.0,0.0
822a87fffffffff,33.0,8.0,0.0
822a8ffffffffff,161.0,3.0,0.0
822a97fffffffff,17.0,0.0,0.0
822a9ffffffffff,32.0,4.0,0.0
822aa7fffffffff,99.0,20.0,0.0
822aaffffffffff,1305.0,157.0,0.0
822ab7fffffffff,862.0,304.0,0.0
822ad7fffffffff,30.0,8.0,0.0
822af7fffffffff,36.0,7.0,0.0
822b07fffffffff,49.0,4.0,0.0
822b0ffffffffff,80.0,0.0,0.0
822b17fffffffff,82.0,0.0,0.0
822b1ffffffffff,102.0,3.0,0.0
822b37fffffffff,2.0,0.0,0.0
822b87fffffffff,101.0,37.0,0.0
822b8ffffffffff,467.0,75.0,0.0
822b97fffffffff,42.0,3.0,0.0
822b9ffffffffff,575.0,36.0,0.0
822ba7fffffffff,28.0,0.0,0.0
822baffffffffff,295.0,26.0,0.0
822bb7fffffffff,4.0,0.0,0.0
824417fffffffff,5.0,0.0,0.0
82441ffffffffff,113.0,58.0,0.0
824447fffffffff,190.0,0.0,0.0
82444ffffffffff,27.0,0.0,0.0
824457fffffffff,94.0,0.0,0.0
82445ffffffffff,2.0,0.0,0.0
824467fffffffff,13.0,0.0,0.0
82446ffffffffff,33.0,5.0,0.0
824477fffffffff,7.0,0.0,0.0
824487fffffffff,1.0,0.0,0.0
8244a7fffffffff,7.0,1.0,0.0
8244affffffffff,35.0,2.0,0.0
8244c7fffffffff,78.0,3.0,0.0
8244cffffffffff,238.0,8.0,0.0
8244d7fffffffff,68.0,0.0,0.0
8244dffffffffff,188.0,20.0,0.0
8244e7fffffffff,25.0,0.0,0.0
8244effffffffff,24.0,0.0,0.0
8244f7fffffffff,68.0,5.0,0.0
824807fffffffff,1.0,0.0,0.0
82480ffffffffff,3.0,3.0,0.0
824817fffffffff,19.0,3.0,15.0
824827fffffffff,2.0,0.0,0.0
824837fffffffff,20.0,13.0,7.0
824847fffffffff,3.0,0.0,0.0
82484ffffffffff,3.0,2.0,0.0
82485ffffffffff,129.0,18.0,0.0
824887fffffffff,6.0,0.0,0.0
82488ffffffffff,19.0,3.0,0.0
824897fffffffff,14.0,0.0,0.0
82489ffffffffff,43.0,2.0,0.0
8248a7fffffffff,9.0,3.0,6.0
8248affffffffff,4.0,0.0,2.0
8248b7fffffffff,43.0,3.0,0.0
8248c7fffffffff,61.0,0.0,23.0
8248cffffffffff,141.0,41.0,0.0
8248d7fffffffff,33.0,7.0,0.0
8248dffffffffff,42.0,4.0,0.0
8248e7fffffffff,8.0,0.0,1.0
8248effffffffff,461.0,102.0,87.0
8248f7fffffffff,37.0,4.0,0.0
82490ffffffffff,1.0,1.0,0.0
824987fffffffff,2.0,2.0,0.0
824997fffffffff,95.0,18.0,45.0
82499ffffffffff,16.0,7.0,8.0
8249affffffffff,21.0,4.0,9.0
8249b7fffffffff,13.0,7.0,6.0
826d37fffffffff,24.0,16.0,2.0
