cell_id,Melaniparus rufiventris,Melaniparus rufiventris rufiventris/masukuensis,Melaniparus rufiventris pallidiventris
8483125ffffffff,3.0,1.0,0.0
8483335ffffffff,3.0,0.0,0.0
8483337ffffffff,6.0,0.0,0.0
848333dffffffff,1.0,0.0,0.0
84838c7ffffffff,1.0,0.0,0.0
84838edffffffff,1.0,0.0,0.0
8483a8dffffffff,1.0,0.0,0.0
8496001ffffffff,1.0,1.0,0.0
8496003ffffffff,2.0,0.0,0.0
8496009ffffffff,12.0,7.0,0.0
849600dffffffff,1.0,0.0,0.0
8496015ffffffff,8.0,4.0,0.0
849602dffffffff,15.0,0.0,0.0
8496039ffffffff,8.0,7.0,0.0
849603bffffffff,11.0,1.0,0.0
8496047ffffffff,3.0,1.0,0.0
849608dffffffff,5.0,1.0,0.0
8496093ffffffff,3.0,2.0,0.0
84960a3ffffffff,1.0,1.0,0.0
84960b1ffffffff,2.0,0.0,0.0
84960b5ffffffff,1.0,0.0,0.0
84960bdffffffff,1.0,0.0,0.0
84960e9ffffffff,3.0,0.0,0.0
84960edffffffff,2.0,2.0,0.0
849610dffffffff,1.0,0.0,0.0
8496151ffffffff,2.0,0.0,0.0
8496159ffffffff,1.0,0.0,0.0
849615dffffffff,23.0,10.0,0.0
8496233ffffffff,3.0,1.0,0.0
849623bffffffff,35.0,3.0,0.0
8496287ffffffff,2.0,0.0,0.0
84962a5ffffffff,1.0,0.0,0.0
84962abffffffff,3.0,0.0,0.0
84962b1ffffffff,1.0,1.0,0.0
84962b9ffffffff,1.0,0.0,0.0
84962c9ffffffff,1.0,0.0,0.0
84962e5ffffffff,3.0,3.0,0.0
8496329ffffffff,2.0,0.0,0.0
8496365ffffffff,26.0,0.0,0.0
8496569ffffffff,1.0,0.0,0.0
8496693ffffffff,1.0,0.0,0.0
8496701ffffffff,3.0,0.0,0.0
8496703ffffffff,1.0,0.0,0.0
8496745ffffffff,1.0,0.0,0.0
8496999ffffffff,1.0,0.0,0.0
8496a59ffffffff,14.0,0.0,0.0
8496a5dffffffff,1.0,0.0,0.0
8496a89ffffffff,1.0,0.0,0.0
8496a8dffffffff,2.0,0.0,0.0
8496b63ffffffff,56.0,0.0,0.0
849702bffffffff,7.0,0.0,0.0
8497035ffffffff,12.0,0.0,3.0
849703dffffffff,16.0,0.0,1.0
849719bffffffff,1.0,0.0,0.0
84971c1ffffffff,1.0,0.0,1.0
84971cbffffffff,17.0,0.0,11.0
84974abffffffff,2.0,1.0,0.0
84974b9ffffffff,6.0,1.0,0.0
84974bdffffffff,3.0,3.0,0.0
8497515ffffffff,1.0,0.0,0.0
8497885ffffffff,8.0,0.0,0.0
8497895ffffffff,1.0,0.0,0.0
849789dffffffff,1.0,0.0,0.0
84978b3ffffffff,1.0,0.0,0.0
84978e3ffffffff,2.0,0.0,0.0
8497a85ffffffff,6.0,0.0,0.0
8497aa1ffffffff,1.0,0.0,0.0
8497ab1ffffffff,2.0,0.0,0.0
8497ac7ffffffff,1.0,0.0,0.0
84ac969ffffffff,7.0,0.0,0.0
84ac999ffffffff,1.0,0.0,0.0
