cell_id,Actinodura ramsayi,Actinodura ramsayi radcliffei/yunnanensis,Actinodura ramsayi ramsayi
8440297ffffffff,1.0,0.0,0.0
8440299ffffffff,1.0,0.0,0.0
84402d7ffffffff,1.0,0.0,0.0
8441487ffffffff,1.0,0.0,0.0
844149bffffffff,2.0,0.0,0.0
84414c3ffffffff,73.0,0.0,0.0
8441585ffffffff,2.0,0.0,0.0
8441591ffffffff,2.0,0.0,0.0
8441593ffffffff,7.0,0.0,0.0
844159bffffffff,1.0,0.0,0.0
84415a1ffffffff,15.0,0.0,0.0
84415a3ffffffff,1.0,0.0,0.0
84415a9ffffffff,1.0,0.0,0.0
84415abffffffff,2.0,0.0,0.0
8464827ffffffff,4.0,0.0,0.0
846482bffffffff,402.0,0.0,23.0
8464911ffffffff,790.0,0.0,50.0
8464949ffffffff,2.0,0.0,0.0
846494bffffffff,1.0,0.0,0.0
8464953ffffffff,1.0,0.0,0.0
8464981ffffffff,3.0,0.0,0.0
8464983ffffffff,75.0,7.0,0.0
8464985ffffffff,3.0,3.0,0.0
8464987ffffffff,8.0,0.0,0.0
