cell_id,Argya striata,Argya striata [striata Group],Argya striata somervillei
83209afffffffff,303.0,0.0,0.0
833c02fffffffff,6.0,0.0,0.0
833c06fffffffff,3.0,0.0,0.0
833c0afffffffff,85.0,1.0,0.0
833c11fffffffff,37.0,0.0,0.0
833c13fffffffff,52.0,0.0,0.0
833c14fffffffff,11.0,0.0,0.0
833c15fffffffff,338.0,0.0,0.0
833c16fffffffff,148.0,0.0,0.0
833c18fffffffff,21.0,0.0,0.0
833c19fffffffff,357.0,4.0,0.0
833c1afffffffff,41.0,0.0,0.0
833c1bfffffffff,274.0,2.0,0.0
833c1cfffffffff,370.0,0.0,0.0
833c1dfffffffff,100.0,0.0,0.0
833c1efffffffff,26.0,0.0,0.0
833c30fffffffff,2.0,0.0,0.0
833c31fffffffff,4.0,0.0,0.0
833c32fffffffff,7.0,0.0,0.0
833c33fffffffff,102.0,0.0,0.0
833c36fffffffff,103.0,0.0,0.0
833c52fffffffff,11.0,0.0,0.0
833c80fffffffff,162.0,0.0,0.0
833c82fffffffff,6.0,0.0,0.0
833c83fffffffff,111.0,0.0,0.0
833c84fffffffff,17.0,0.0,0.0
833c85fffffffff,2.0,0.0,0.0
833c88fffffffff,135.0,0.0,0.0
833c89fffffffff,354.0,2.0,0.0
833c8afffffffff,18.0,0.0,0.0
833c8cfffffffff,265.0,0.0,0.0
833c8dfffffffff,416.0,6.0,0.0
833c8efffffffff,1179.0,0.0,0.0
833c90fffffffff,187.0,0.0,0.0
833c91fffffffff,29.0,0.0,0.0
833c92fffffffff,113.0,0.0,0.0
833c93fffffffff,106.0,0.0,0.0
833c94fffffffff,222.0,0.0,0.0
833c95fffffffff,26.0,0.0,0.0
833c96fffffffff,31.0,0.0,0.0
833c9cfffffffff,14.0,0.0,0.0
833c9dfffffffff,64.0,0.0,0.0
833c9efffffffff,4.0,0.0,0.0
833ca0fffffffff,9.0,0.0,0.0
833ca1fffffffff,2.0,0.0,0.0
833ca2fffffffff,213.0,0.0,0.0
833ca3fffffffff,12.0,0.0,0.0
833ca4fffffffff,125.0,0.0,0.0
833ca5fffffffff,13.0,0.0,0.0
833ca6fffffffff,17.0,0.0,0.0
833ca8fffffffff,186.0,0.0,0.0
833ca9fffffffff,533.0,4.0,0.0
833cabfffffffff,199.0,0.0,0.0
833cacfffffffff,89.0,0.0,0.0
833cadfffffffff,84.0,0.0,0.0
833caefffffffff,13.0,0.0,0.0
833cb0fffffffff,69.0,0.0,0.0
833cb1fffffffff,460.0,0.0,0.0
833cb2fffffffff,16.0,0.0,0.0
833cb3fffffffff,131.0,0.0,0.0
