cell_id,Chlorospingus flavigularis,Chlorospingus flavigularis hypophaeus,Chlorospingus flavigularis flavigularis/marginatus
82660ffffffffff,14.0,0.0,0.0
82661ffffffffff,1796.0,0.0,79.0
8266a7fffffffff,167.0,9.0,0.0
8266b7fffffffff,2.0,0.0,0.0
8266c7fffffffff,875.0,0.0,6.0
8266d7fffffffff,7089.0,0.0,818.0
8266dffffffffff,1421.0,0.0,198.0
8266e7fffffffff,117.0,0.0,0.0
8266f7fffffffff,1120.0,0.0,26.0
828b67fffffffff,1072.0,0.0,26.0
828b6ffffffffff,36.0,0.0,0.0
828b77fffffffff,3.0,0.0,0.0
828e67fffffffff,47.0,0.0,0.0
828f0ffffffffff,460.0,0.0,72.0
828f2ffffffffff,228.0,0.0,9.0
828f47fffffffff,102.0,0.0,12.0
828f4ffffffffff,66.0,0.0,0.0
828f57fffffffff,18.0,0.0,0.0
828f5ffffffffff,13.0,0.0,0.0
828f77fffffffff,1166.0,0.0,137.0
