cell_id,Mionectes oleagineus,Mionectes oleagineus assimilis,Mionectes oleagineus parcus,Mionectes oleagineus pacificus,Mionectes oleagineus [oleagineus Group]
824527fffffffff,3.0,0.0,0.0,0.0,0.0
82452ffffffffff,13.0,0.0,0.0,0.0,0.0
824997fffffffff,10.0,0.0,0.0,0.0,0.0
825f5ffffffffff,3.0,0.0,0.0,0.0,0.0
826617fffffffff,2.0,0.0,0.0,0.0,0.0
82661ffffffffff,5.0,0.0,0.0,0.0,0.0
8266a7fffffffff,2.0,0.0,0.0,0.0,0.0
8266b7fffffffff,11.0,0.0,0.0,0.0,0.0
8266d7fffffffff,6.0,0.0,0.0,0.0,0.0
8266dffffffffff,2.0,0.0,0.0,0.0,0.0
826747fffffffff,2.0,0.0,0.0,0.0,0.0
82674ffffffffff,1.0,0.0,0.0,0.0,0.0
82675ffffffffff,5.0,0.0,0.0,0.0,0.0
826d27fffffffff,5.0,0.0,0.0,0.0,0.0
826d2ffffffffff,8.0,0.0,0.0,0.0,0.0
826d37fffffffff,4.0,0.0,0.0,0.0,0.0
826d67fffffffff,6.0,0.0,0.0,0.0,0.0
826d6ffffffffff,6.0,0.0,0.0,0.0,0.0
826d77fffffffff,26.0,0.0,0.0,0.0,0.0
828187fffffffff,2.0,0.0,0.0,0.0,0.0
828f0ffffffffff,2.0,0.0,0.0,0.0,0.0
828f77fffffffff,1.0,0.0,0.0,0.0,0.0
